metric,value
candidate_rows,11671.0
unique_links,2103.0
unique_units,76.0
units_with_network_layer_diversity,107.0
units_with_physical_diversity_cable,76.0
units_with_physical_diversity_corridor,76.0
units_with_network_physical_mismatch_cable,76.0
units_with_network_physical_mismatch_corridor,76.0
median_network_layer_diversity_score,4.8934898302372805
median_cable_physical_candidate_diversity_score,2.9698436120794867
median_corridor_physical_candidate_diversity_score,1.4112479173729138
cable_mismatch_network_high_physical_low,15.0
cable_mismatch_network_high_physical_high,23.0
cable_mismatch_network_low_physical_low,23.0
cable_mismatch_network_low_physical_high,15.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,31.0
corridor_mismatch_network_low_physical_low,31.0
corridor_mismatch_network_low_physical_high,7.0
cable_corridor_target_quadrant_preserved,5.0
cable_corridor_target_quadrant_jaccard,0.29411764705882354
cable_corridor_target_quadrant_recall_from_cable,0.3333333333333333
cable_corridor_target_quadrant_precision_to_corridor,0.7142857142857143
mean_corridor_minus_cable_physical_diversity,-2.4138786417106406
cable_corridor_quadrant_agreement_rate,0.631578947368421
spearman_cable_corridor_physical_diversity_score,0.5272735905640284
