probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
BZ,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CA,B-Root,dns_root,anycast,284,275,66,0.2323943661971831,0.9683098591549296,268,84,1,1,0.0,True,True,auditable,,probe_country_service
CD,B-Root,dns_root,anycast,3,3,0,0.0,1.0,3,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
CG,B-Root,dns_root,anycast,2,2,0,0.0,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CH,B-Root,dns_root,anycast,332,318,36,0.10843373493975904,0.9578313253012049,320,81,1,1,0.0,True,True,auditable,,probe_country_service
CI,B-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CK,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CL,B-Root,dns_root,anycast,82,40,0,0.0,0.4878048780487805,76,33,1,1,0.0,True,True,auditable,,probe_country_service
CM,B-Root,dns_root,anycast,2,2,2,1.0,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CN,B-Root,dns_root,anycast,51,47,9,0.17647058823529413,0.9215686274509803,50,23,1,1,0.0,True,True,auditable,,probe_country_service
CO,B-Root,dns_root,anycast,32,30,2,0.0625,0.9375,31,22,1,1,0.0,True,True,auditable,,probe_country_service
CR,B-Root,dns_root,anycast,17,12,0,0.0,0.7058823529411765,16,8,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
CU,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CV,B-Root,dns_root,anycast,4,4,4,1.0,1.0,4,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CW,B-Root,dns_root,anycast,2,2,1,0.5,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CY,B-Root,dns_root,anycast,13,12,9,0.6923076923076923,0.9230769230769231,13,6,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
CZ,B-Root,dns_root,anycast,290,287,2,0.006896551724137931,0.9896551724137931,276,112,1,1,0.0,True,True,auditable,,probe_country_service
DE,B-Root,dns_root,anycast,1673,1627,18,0.010759115361625823,0.972504482964734,1592,375,1,1,0.0,True,True,auditable,,probe_country_service
DJ,B-Root,dns_root,anycast,3,3,3,1.0,1.0,3,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
DK,B-Root,dns_root,anycast,113,106,106,0.9380530973451328,0.9380530973451328,108,35,1,1,0.0,True,True,auditable,,probe_country_service
DO,B-Root,dns_root,anycast,9,9,4,0.4444444444444444,1.0,9,7,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
DZ,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
EC,B-Root,dns_root,anycast,24,23,0,0.0,0.9583333333333334,23,18,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
EE,B-Root,dns_root,anycast,38,33,23,0.6052631578947368,0.868421052631579,37,21,1,1,0.0,True,True,auditable,,probe_country_service
EG,B-Root,dns_root,anycast,2,2,0,0.0,1.0,2,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
ES,B-Root,dns_root,anycast,234,223,11,0.04700854700854701,0.9529914529914529,229,73,1,1,0.0,True,True,auditable,,probe_country_service
ET,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
FI,B-Root,dns_root,anycast,149,143,112,0.7516778523489933,0.959731543624161,142,50,1,1,0.0,True,True,auditable,,probe_country_service
FJ,B-Root,dns_root,anycast,2,1,1,0.5,0.5,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
FM,B-Root,dns_root,anycast,2,1,1,0.5,0.5,2,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
FR,B-Root,dns_root,anycast,987,943,0,0.0,0.955420466058764,947,162,1,1,0.0,True,True,auditable,,probe_country_service
GB,B-Root,dns_root,anycast,550,521,1,0.0018181818181818182,0.9472727272727273,524,185,1,1,0.0,True,True,auditable,,probe_country_service
GE,B-Root,dns_root,anycast,11,11,0,0.0,1.0,10,6,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
GF,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
