metric,value
candidate_rows,3140.0
unique_links,1070.0
unique_units,48.0
units_with_network_layer_diversity,88.0
units_with_physical_diversity_cable,48.0
units_with_physical_diversity_corridor,48.0
units_with_network_physical_mismatch_cable,48.0
units_with_network_physical_mismatch_corridor,48.0
median_network_layer_diversity_score,3.567319054035017
median_cable_physical_candidate_diversity_score,1.1314795203906094
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,7.0
cable_mismatch_network_high_physical_high,17.0
cable_mismatch_network_low_physical_low,17.0
cable_mismatch_network_low_physical_high,7.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,17.0
corridor_mismatch_network_low_physical_low,21.0
corridor_mismatch_network_low_physical_high,3.0
cable_corridor_target_quadrant_preserved,5.0
cable_corridor_target_quadrant_jaccard,0.5555555555555556
cable_corridor_target_quadrant_recall_from_cable,0.7142857142857143
cable_corridor_target_quadrant_precision_to_corridor,0.7142857142857143
mean_corridor_minus_cable_physical_diversity,-0.40029249691793334
cable_corridor_quadrant_agreement_rate,0.7916666666666666
spearman_cable_corridor_physical_diversity_score,0.6690068006354708
