metric,value
candidate_rows,8360.0
unique_links,1698.0
unique_units,62.0
units_with_network_layer_diversity,101.0
units_with_physical_diversity_cable,62.0
units_with_physical_diversity_corridor,62.0
units_with_network_physical_mismatch_cable,62.0
units_with_network_physical_mismatch_corridor,62.0
median_network_layer_diversity_score,4.583599155470558
median_cable_physical_candidate_diversity_score,1.9988619977799358
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,14.0
cable_mismatch_network_high_physical_high,17.0
cable_mismatch_network_low_physical_low,17.0
cable_mismatch_network_low_physical_high,14.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,24.0
corridor_mismatch_network_low_physical_low,25.0
corridor_mismatch_network_low_physical_high,6.0
cable_corridor_target_quadrant_preserved,7.0
cable_corridor_target_quadrant_jaccard,0.5
cable_corridor_target_quadrant_recall_from_cable,0.5
cable_corridor_target_quadrant_precision_to_corridor,1.0
mean_corridor_minus_cable_physical_diversity,-1.493124832377171
cable_corridor_quadrant_agreement_rate,0.7258064516129032
spearman_cable_corridor_physical_diversity_score,0.7453987809834431
