probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
CD,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0054::landing_region_0650,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
CH,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,52,52.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,19,9,1,1.0,0.0,probe_country_service
CK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8,8.0,3,landing_region_0089::landing_region_0089,0.5,0.75,1.0,2.82842712474619,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.75,0.25,probe_country_service
CL,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0230::landing_region_0230,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
CM,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0006::landing_region_0556,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
CN,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,204,204.0,11,landing_region_0230::landing_region_0230,0.3480392156862745,0.5833333333333333,0.6813725490196079,6.044522900889003,broad_corridor_observation_distribution,False,False,True,True,auditable,,19,10,1,0.6813725490196079,0.31862745098039214,probe_country_service
CO,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,22,22.0,4,landing_region_0174::landing_region_0243,0.3181818181818182,0.5909090909090908,0.8181818181818181,3.917261006495293,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,0.0,1.0,probe_country_service
CU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0174::landing_region_0213,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
CV,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,14,14.0,3,landing_region_0239::landing_region_0239,0.42857142857142855,0.8571428571428571,1.0,2.729838563103603,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.8571428571428571,0.14285714285714285,probe_country_service
CW,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,3,landing_region_0174::landing_region_0603,0.5,0.75,1.0,2.82842712474619,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,probe_country_service
CY,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8,8.0,1,landing_region_0431::landing_region_0734,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.0,1.0,probe_country_service
DE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,64,64.0,5,landing_region_0376::landing_region_0376,0.484375,0.734375,0.953125,3.331570153336601,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,4,1,0.515625,0.484375,probe_country_service
DJ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0330::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,probe_country_service
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,396,396.0,4,landing_region_0051::landing_region_0051,0.8080808080808081,0.9494949494949495,0.9898989898989898,1.8680148815937776,severe_corridor_observation_concentration,True,True,True,True,auditable,,74,27,1,0.9595959595959596,0.04040404040404041,probe_country_service
DO,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0174::landing_region_0783,0.75,1.0,1.0,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,probe_country_service
EC,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,15,15.0,2,landing_region_0174::landing_region_0465,0.5333333333333333,1.0,1.0,1.9955571994469739,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,1,0.5333333333333333,0.4666666666666667,probe_country_service
EE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,15,15.0,1,landing_region_0512::landing_region_0640,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,6,1,0.0,1.0,probe_country_service
ES,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,31,31.0,8,landing_region_0126::landing_region_0431,0.2903225806451613,0.5483870967741935,0.6774193548387097,6.124281786878206,broad_corridor_observation_distribution,False,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,3,1,0.7096774193548387,0.2903225806451613,probe_country_service
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,131,131.0,6,landing_region_0351::landing_region_0512,0.549618320610687,0.7938931297709924,0.8702290076335878,3.5208391750231423,weak_corridor_observation_concentration,True,True,True,True,auditable,,37,11,1,0.3816793893129771,0.6183206106870229,probe_country_service
FJ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0041::landing_region_0041,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
FM,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0014::landing_region_0014,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,1.0,0.0,probe_country_service
FR,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,126,126.0,3,landing_region_0041::landing_region_0041,0.7301587301587301,0.873015873015873,1.0,2.159061187891577,moderate_corridor_observation_concentration,True,True,True,True,auditable,,12,10,1,1.0,0.0,probe_country_service
GB,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,40,40.0,3,landing_region_0041::landing_region_0041,0.55,0.9500000000000001,1.0,2.3282414889191574,moderate_corridor_observation_concentration,True,True,True,True,auditable,,11,4,1,1.0,0.0,probe_country_service
GG,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0077::landing_region_0077,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
GH,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0006::landing_region_0556,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
GP,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0105::landing_region_0106,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
GQ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,2.0,2,landing_region_0131::landing_region_0556,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
GT,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0591::landing_region_0975,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
GU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,27,27.0,4,landing_region_0014::landing_region_0014,0.8148148148148148,0.8888888888888888,0.9629629629629629,1.9630928428655745,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.8888888888888888,0.1111111111111111,probe_country_service
HK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,205,205.0,7,landing_region_0230::landing_region_0230,0.4292682926829268,0.8390243902439024,0.8975609756097561,3.482419597404852,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18,14,1,0.9463414634146341,0.05365853658536585,probe_country_service
HN,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0591::landing_region_0975,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
ID,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,330,330.0,8,landing_region_0061::landing_region_0061,0.8939393939393939,0.9272727272727272,0.9515151515151515,1.6711727751714829,severe_corridor_observation_concentration,True,True,True,True,auditable,,65,49,1,1.0,0.0,probe_country_service
IL,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,79,79.0,2,landing_region_0083::landing_region_0083,0.7848101265822784,1.0,1.0,1.6832933004826205,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18,8,1,0.7848101265822784,0.21518987341772153,probe_country_service
