probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AD,K-Root,dns_root,anycast,6,6,6,1.0,1.0,3,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AE,K-Root,dns_root,anycast,40,38,3,0.075,0.95,20,14,1,1,0.925,True,True,auditable,,probe_country_service
AF,K-Root,dns_root,anycast,12,12,0,0.0,1.0,6,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,K-Root,dns_root,anycast,46,40,2,0.043478260869565216,0.8695652173913043,23,14,1,1,0.8260869565217391,True,True,auditable,,probe_country_service
AM,K-Root,dns_root,anycast,28,28,0,0.0,1.0,14,7,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AO,K-Root,dns_root,anycast,19,19,0,0.0,1.0,10,4,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AR,K-Root,dns_root,anycast,104,95,2,0.019230769230769232,0.9134615384615384,52,40,1,1,0.9134615384615384,True,True,auditable,,probe_country_service
AT,K-Root,dns_root,anycast,416,376,2,0.004807692307692308,0.9038461538461539,207,82,1,1,0.8846153846153846,True,True,auditable,,probe_country_service
AU,K-Root,dns_root,anycast,479,418,295,0.615866388308977,0.872651356993737,240,71,1,1,0.872651356993737,True,True,auditable,,probe_country_service
AX,K-Root,dns_root,anycast,4,4,4,1.0,1.0,2,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
