output_name,physical_level,rows,median_network_effective_diversity,median_physical_candidate_diversity_upper_bound,median_network_to_physical_compression_ratio,median_log_network_physical_compression_gap,median_physical_coverage_ratio,strict_upper_bound_mismatch_rate,no_compression_rows,weak_compression_rows,moderate_compression_rows,severe_compression_rows
country_cross_layer_audit,cable,114,2.7060787095020333,4.5,0.5043142022966319,-0.4601567945673537,1.9830359364216716,0.03508771929824561,89,19,5,1
country_cross_layer_audit,corridor,114,2.7060787095020333,12.0,0.30817088005717064,-0.9526056361965843,3.2467127521827646,0.02631578947368421,104,6,3,1
paper_country_cross_layer_audit,corridor,114,2.7060787095020333,12.0,0.30817088005717064,-0.9526056361965843,3.2467127521827646,0.02631578947368421,104,6,3,1
paper_service_country_cross_layer_audit,corridor,114,2.7060787095020333,12.0,0.30817088005717064,-0.9526056361965843,3.2467127521827646,0.02631578947368421,104,6,3,1
service_country_cross_layer_audit,cable,114,2.7060787095020333,4.5,0.5043142022966319,-0.4601567945673537,1.9830359364216716,0.03508771929824561,89,19,5,1
service_country_cross_layer_audit,corridor,114,2.7060787095020333,12.0,0.30817088005717064,-0.9526056361965843,3.2467127521827646,0.02631578947368421,104,6,3,1
unit_cross_layer_audit,cable,114,2.7060787095020333,4.5,0.5043142022966319,-0.4601567945673537,1.9830359364216716,0.03508771929824561,89,19,5,1
unit_cross_layer_audit,corridor,114,2.7060787095020333,12.0,0.30817088005717064,-0.9526056361965843,3.2467127521827646,0.02631578947368421,104,6,3,1
