network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
as_only,cable,conservative_set,strong_only,5,0,0.0,0.0,0.3684210526315789,0.23968393327480245,19,0.8695652173913043,high,"as_only network definition, cable-level, conservative feasible-set view, strong projections only"
as_only,cable,conservative_set,strong_or_moderate,7,0,0.05,0.07142857142857142,0.59375,0.0281801422637268,64,0.7391304347826086,high,"as_only network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
as_only,cable,weighted_support,all,11,1,0.19047619047619047,0.2857142857142857,0.6436781609195402,0.33740952964804466,87,0.6847826086956522,high,"as_only network definition, cable-level, weighted support view, all projections"
as_only,cable,weighted_support,strong_only,5,0,0.0,0.0,0.3684210526315789,0.2212467076382792,19,0.8695652173913043,high,"as_only network definition, cable-level, weighted support view, strong projections only"
as_only,cable,weighted_support,strong_or_moderate,8,0,0.047619047619047616,0.07142857142857142,0.59375,0.04219675024532935,64,0.7391304347826086,high,"as_only network definition, cable-level, weighted support view, strong/moderate projections only"
as_only,corridor,conservative_set,all,14,2,0.5555555555555556,0.7142857142857143,0.8771929824561403,0.8249630253145123,114,0.6385869565217391,high,"as_only network definition, corridor-level, conservative feasible-set view, all projections"
as_only,corridor,conservative_set,strong_only,3,0,0.0,0.0,0.47368421052631576,0.12521973200128958,19,0.8695652173913043,high,"as_only network definition, corridor-level, conservative feasible-set view, strong projections only"
as_only,corridor,conservative_set,strong_or_moderate,12,0,0.04,0.07142857142857142,0.53125,0.03012882908872041,64,0.7391304347826086,high,"as_only network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
as_only,corridor,weighted_support,all,11,1,0.19047619047619047,0.2857142857142857,0.6896551724137931,0.450571936399338,87,0.6847826086956522,high,"as_only network definition, corridor-level, weighted support view, all projections"
as_only,corridor,weighted_support,strong_only,3,0,0.0,0.0,0.47368421052631576,0.02285716273054501,19,0.8695652173913043,high,"as_only network definition, corridor-level, weighted support view, strong projections only"
as_only,corridor,weighted_support,strong_or_moderate,8,0,0.047619047619047616,0.07142857142857142,0.609375,0.05299715477617583,64,0.7391304347826086,high,"as_only network definition, corridor-level, weighted support view, strong/moderate projections only"
as_pair_primary,cable,conservative_set,all,14,2,0.3333333333333333,0.5,0.7280701754385965,0.5389222548911007,114,0.6385869565217391,high,"as_pair_primary network definition, cable-level, conservative feasible-set view, all projections"
as_pair_primary,cable,conservative_set,strong_only,5,0,0.0,0.0,0.3684210526315789,0.23968393327480245,19,0.8695652173913043,high,"as_pair_primary network definition, cable-level, conservative feasible-set view, strong projections only"
as_pair_primary,cable,conservative_set,strong_or_moderate,7,0,0.05,0.07142857142857142,0.59375,0.0281801422637268,64,0.7391304347826086,high,"as_pair_primary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
as_pair_primary,cable,weighted_support,all,11,1,0.19047619047619047,0.2857142857142857,0.6436781609195402,0.33740952964804466,87,0.6847826086956522,high,"as_pair_primary network definition, cable-level, weighted support view, all projections"
as_pair_primary,cable,weighted_support,strong_only,5,0,0.0,0.0,0.3684210526315789,0.2212467076382792,19,0.8695652173913043,high,"as_pair_primary network definition, cable-level, weighted support view, strong projections only"
as_pair_primary,cable,weighted_support,strong_or_moderate,8,0,0.047619047619047616,0.07142857142857142,0.59375,0.04219675024532935,64,0.7391304347826086,high,"as_pair_primary network definition, cable-level, weighted support view, strong/moderate projections only"
as_pair_primary,corridor,conservative_set,all,14,2,0.5555555555555556,0.7142857142857143,0.8771929824561403,0.8249630253145123,114,0.6385869565217391,high,"as_pair_primary network definition, corridor-level, conservative feasible-set view, all projections"
as_pair_primary,corridor,conservative_set,strong_only,3,0,0.0,0.0,0.47368421052631576,0.12521973200128958,19,0.8695652173913043,high,"as_pair_primary network definition, corridor-level, conservative feasible-set view, strong projections only"
as_pair_primary,corridor,conservative_set,strong_or_moderate,12,0,0.04,0.07142857142857142,0.53125,0.03012882908872041,64,0.7391304347826086,high,"as_pair_primary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
as_pair_primary,corridor,weighted_support,all,11,1,0.19047619047619047,0.2857142857142857,0.6896551724137931,0.450571936399338,87,0.6847826086956522,high,"as_pair_primary network definition, corridor-level, weighted support view, all projections"
as_pair_primary,corridor,weighted_support,strong_only,3,0,0.0,0.0,0.47368421052631576,0.02285716273054501,19,0.8695652173913043,high,"as_pair_primary network definition, corridor-level, weighted support view, strong projections only"
as_pair_primary,corridor,weighted_support,strong_or_moderate,8,0,0.047619047619047616,0.07142857142857142,0.609375,0.05299715477617583,64,0.7391304347826086,high,"as_pair_primary network definition, corridor-level, weighted support view, strong/moderate projections only"
combined_supplementary,cable,conservative_set,all,12,1,0.23809523809523808,0.35714285714285715,0.7105263157894737,0.4701139898947428,114,0.6385869565217391,high,"combined_supplementary network definition, cable-level, conservative feasible-set view, all projections"
combined_supplementary,cable,conservative_set,strong_only,5,0,0.0,0.0,0.3684210526315789,0.2108037093938487,19,0.8695652173913043,high,"combined_supplementary network definition, cable-level, conservative feasible-set view, strong projections only"
combined_supplementary,cable,conservative_set,strong_or_moderate,6,1,0.05263157894736842,0.07142857142857142,0.609375,-0.02635978475225843,64,0.7391304347826086,high,"combined_supplementary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
combined_supplementary,cable,weighted_support,all,11,1,0.08695652173913043,0.14285714285714285,0.6091954022988506,0.25346464266761737,87,0.6847826086956522,high,"combined_supplementary network definition, cable-level, weighted support view, all projections"
combined_supplementary,cable,weighted_support,strong_only,5,0,0.0,0.0,0.3684210526315789,0.21939449237996528,19,0.8695652173913043,high,"combined_supplementary network definition, cable-level, weighted support view, strong projections only"
combined_supplementary,cable,weighted_support,strong_or_moderate,8,1,0.047619047619047616,0.07142857142857142,0.59375,0.0015802129868860396,64,0.7391304347826086,high,"combined_supplementary network definition, cable-level, weighted support view, strong/moderate projections only"
