physical_level,network_physical_mismatch_category,unit_count,unit_share,mode,network_definition
corridor,network_high_physical_high,28,0.3218390804597701,fused_dual_core_corridor,country_only
corridor,network_low_physical_low,28,0.3218390804597701,fused_dual_core_corridor,country_only
corridor,network_low_physical_high,15,0.1724137931034483,fused_dual_core_corridor,country_only
corridor,network_high_physical_low,16,0.1839080459770115,geo_only_corridor,country_only
corridor,network_high_physical_high,28,0.3218390804597701,geo_only_corridor,country_only
corridor,network_low_physical_low,28,0.3218390804597701,geo_only_corridor,country_only
corridor,network_low_physical_high,15,0.1724137931034483,geo_only_corridor,country_only
corridor,network_high_physical_low,15,0.1724137931034483,as_only_corridor,country_only
corridor,network_high_physical_high,29,0.3333333333333333,as_only_corridor,country_only
corridor,network_low_physical_low,29,0.3333333333333333,as_only_corridor,country_only
corridor,network_low_physical_high,14,0.16091954022988506,as_only_corridor,country_only
corridor,network_high_physical_low,15,0.1744186046511628,high_confidence_subset_corridor,country_only
corridor,network_high_physical_high,28,0.32558139534883723,high_confidence_subset_corridor,country_only
corridor,network_low_physical_low,28,0.32558139534883723,high_confidence_subset_corridor,country_only
corridor,network_low_physical_high,15,0.1744186046511628,high_confidence_subset_corridor,country_only
cable,network_high_physical_low,12,0.13793103448275862,fused_dual_core_cable,probe_target_only
cable,network_high_physical_high,32,0.367816091954023,fused_dual_core_cable,probe_target_only
cable,network_low_physical_low,32,0.367816091954023,fused_dual_core_cable,probe_target_only
cable,network_low_physical_high,11,0.12643678160919541,fused_dual_core_cable,probe_target_only
cable,network_high_physical_low,12,0.13793103448275862,geo_only_cable,probe_target_only
cable,network_high_physical_high,32,0.367816091954023,geo_only_cable,probe_target_only
cable,network_low_physical_low,32,0.367816091954023,geo_only_cable,probe_target_only
cable,network_low_physical_high,11,0.12643678160919541,geo_only_cable,probe_target_only
cable,network_high_physical_low,11,0.12643678160919541,as_only_cable,probe_target_only
cable,network_high_physical_high,33,0.3793103448275862,as_only_cable,probe_target_only
cable,network_low_physical_low,33,0.3793103448275862,as_only_cable,probe_target_only
cable,network_low_physical_high,10,0.11494252873563218,as_only_cable,probe_target_only
cable,network_high_physical_low,11,0.12790697674418605,high_confidence_subset_cable,probe_target_only
cable,network_high_physical_high,32,0.37209302325581395,high_confidence_subset_cable,probe_target_only
cable,network_low_physical_low,32,0.37209302325581395,high_confidence_subset_cable,probe_target_only
cable,network_low_physical_high,11,0.12790697674418605,high_confidence_subset_cable,probe_target_only
corridor,network_high_physical_low,12,0.13793103448275862,fused_dual_core_corridor,probe_target_only
corridor,network_high_physical_high,32,0.367816091954023,fused_dual_core_corridor,probe_target_only
corridor,network_low_physical_low,32,0.367816091954023,fused_dual_core_corridor,probe_target_only
corridor,network_low_physical_high,11,0.12643678160919541,fused_dual_core_corridor,probe_target_only
corridor,network_high_physical_low,12,0.13793103448275862,geo_only_corridor,probe_target_only
corridor,network_high_physical_high,32,0.367816091954023,geo_only_corridor,probe_target_only
corridor,network_low_physical_low,32,0.367816091954023,geo_only_corridor,probe_target_only
corridor,network_low_physical_high,11,0.12643678160919541,geo_only_corridor,probe_target_only
corridor,network_high_physical_low,12,0.13793103448275862,as_only_corridor,probe_target_only
corridor,network_high_physical_high,32,0.367816091954023,as_only_corridor,probe_target_only
corridor,network_low_physical_low,32,0.367816091954023,as_only_corridor,probe_target_only
corridor,network_low_physical_high,11,0.12643678160919541,as_only_corridor,probe_target_only
corridor,network_high_physical_low,10,0.11627906976744186,high_confidence_subset_corridor,probe_target_only
corridor,network_high_physical_high,33,0.38372093023255816,high_confidence_subset_corridor,probe_target_only
corridor,network_low_physical_low,33,0.38372093023255816,high_confidence_subset_corridor,probe_target_only
corridor,network_low_physical_high,10,0.11627906976744186,high_confidence_subset_corridor,probe_target_only
cable,network_high_physical_low,12,0.13793103448275862,fused_dual_core_cable,as_egress_primary
cable,network_high_physical_high,32,0.367816091954023,fused_dual_core_cable,as_egress_primary
cable,network_low_physical_low,32,0.367816091954023,fused_dual_core_cable,as_egress_primary
cable,network_low_physical_high,11,0.12643678160919541,fused_dual_core_cable,as_egress_primary
cable,network_high_physical_low,12,0.13793103448275862,geo_only_cable,as_egress_primary
cable,network_high_physical_high,32,0.367816091954023,geo_only_cable,as_egress_primary
cable,network_low_physical_low,32,0.367816091954023,geo_only_cable,as_egress_primary
cable,network_low_physical_high,11,0.12643678160919541,geo_only_cable,as_egress_primary
cable,network_high_physical_low,11,0.12643678160919541,as_only_cable,as_egress_primary
cable,network_high_physical_high,33,0.3793103448275862,as_only_cable,as_egress_primary
cable,network_low_physical_low,33,0.3793103448275862,as_only_cable,as_egress_primary
cable,network_low_physical_high,10,0.11494252873563218,as_only_cable,as_egress_primary
cable,network_high_physical_low,11,0.12790697674418605,high_confidence_subset_cable,as_egress_primary
cable,network_high_physical_high,32,0.37209302325581395,high_confidence_subset_cable,as_egress_primary
cable,network_low_physical_low,32,0.37209302325581395,high_confidence_subset_cable,as_egress_primary
cable,network_low_physical_high,11,0.12790697674418605,high_confidence_subset_cable,as_egress_primary
corridor,network_high_physical_low,11,0.12643678160919541,fused_dual_core_corridor,as_egress_primary
corridor,network_high_physical_high,33,0.3793103448275862,fused_dual_core_corridor,as_egress_primary
corridor,network_low_physical_low,33,0.3793103448275862,fused_dual_core_corridor,as_egress_primary
corridor,network_low_physical_high,10,0.11494252873563218,fused_dual_core_corridor,as_egress_primary
corridor,network_high_physical_low,11,0.12643678160919541,geo_only_corridor,as_egress_primary
corridor,network_high_physical_high,33,0.3793103448275862,geo_only_corridor,as_egress_primary
corridor,network_low_physical_low,33,0.3793103448275862,geo_only_corridor,as_egress_primary
corridor,network_low_physical_high,10,0.11494252873563218,geo_only_corridor,as_egress_primary
corridor,network_high_physical_low,11,0.12643678160919541,as_only_corridor,as_egress_primary
corridor,network_high_physical_high,33,0.3793103448275862,as_only_corridor,as_egress_primary
corridor,network_low_physical_low,33,0.3793103448275862,as_only_corridor,as_egress_primary
corridor,network_low_physical_high,10,0.11494252873563218,as_only_corridor,as_egress_primary
corridor,network_high_physical_low,9,0.10465116279069768,high_confidence_subset_corridor,as_egress_primary
corridor,network_high_physical_high,34,0.3953488372093023,high_confidence_subset_corridor,as_egress_primary
corridor,network_low_physical_low,34,0.3953488372093023,high_confidence_subset_corridor,as_egress_primary
corridor,network_low_physical_high,9,0.10465116279069768,high_confidence_subset_corridor,as_egress_primary
cable,network_high_physical_low,11,0.12643678160919541,fused_dual_core_cable,as_pair_primary
cable,network_high_physical_high,33,0.3793103448275862,fused_dual_core_cable,as_pair_primary
cable,network_low_physical_low,33,0.3793103448275862,fused_dual_core_cable,as_pair_primary
cable,network_low_physical_high,10,0.11494252873563218,fused_dual_core_cable,as_pair_primary
cable,network_high_physical_low,11,0.12643678160919541,geo_only_cable,as_pair_primary
cable,network_high_physical_high,33,0.3793103448275862,geo_only_cable,as_pair_primary
cable,network_low_physical_low,33,0.3793103448275862,geo_only_cable,as_pair_primary
cable,network_low_physical_high,10,0.11494252873563218,geo_only_cable,as_pair_primary
cable,network_high_physical_low,10,0.11494252873563218,as_only_cable,as_pair_primary
cable,network_high_physical_high,34,0.39080459770114945,as_only_cable,as_pair_primary
cable,network_low_physical_low,34,0.39080459770114945,as_only_cable,as_pair_primary
cable,network_low_physical_high,9,0.10344827586206896,as_only_cable,as_pair_primary
cable,network_high_physical_low,10,0.11627906976744186,high_confidence_subset_cable,as_pair_primary
cable,network_high_physical_high,33,0.38372093023255816,high_confidence_subset_cable,as_pair_primary
cable,network_low_physical_low,33,0.38372093023255816,high_confidence_subset_cable,as_pair_primary
cable,network_low_physical_high,10,0.11627906976744186,high_confidence_subset_cable,as_pair_primary
corridor,network_high_physical_low,11,0.12643678160919541,fused_dual_core_corridor,as_pair_primary
corridor,network_high_physical_high,33,0.3793103448275862,fused_dual_core_corridor,as_pair_primary
corridor,network_low_physical_low,33,0.3793103448275862,fused_dual_core_corridor,as_pair_primary
corridor,network_low_physical_high,10,0.11494252873563218,fused_dual_core_corridor,as_pair_primary
corridor,network_high_physical_low,11,0.12643678160919541,geo_only_corridor,as_pair_primary
corridor,network_high_physical_high,33,0.3793103448275862,geo_only_corridor,as_pair_primary
corridor,network_low_physical_low,33,0.3793103448275862,geo_only_corridor,as_pair_primary
corridor,network_low_physical_high,10,0.11494252873563218,geo_only_corridor,as_pair_primary
corridor,network_high_physical_low,10,0.11494252873563218,as_only_corridor,as_pair_primary
corridor,network_high_physical_high,34,0.39080459770114945,as_only_corridor,as_pair_primary
corridor,network_low_physical_low,34,0.39080459770114945,as_only_corridor,as_pair_primary
corridor,network_low_physical_high,9,0.10344827586206896,as_only_corridor,as_pair_primary
corridor,network_high_physical_low,10,0.11627906976744186,high_confidence_subset_corridor,as_pair_primary
corridor,network_high_physical_high,33,0.38372093023255816,high_confidence_subset_corridor,as_pair_primary
corridor,network_low_physical_low,33,0.38372093023255816,high_confidence_subset_corridor,as_pair_primary
corridor,network_low_physical_high,10,0.11627906976744186,high_confidence_subset_corridor,as_pair_primary
cable,network_high_physical_low,11,0.12643678160919541,fused_dual_core_cable,dst_asn_primary
cable,network_high_physical_high,33,0.3793103448275862,fused_dual_core_cable,dst_asn_primary
cable,network_low_physical_low,33,0.3793103448275862,fused_dual_core_cable,dst_asn_primary
cable,network_low_physical_high,10,0.11494252873563218,fused_dual_core_cable,dst_asn_primary
cable,network_high_physical_low,11,0.12643678160919541,geo_only_cable,dst_asn_primary
cable,network_high_physical_high,33,0.3793103448275862,geo_only_cable,dst_asn_primary
cable,network_low_physical_low,33,0.3793103448275862,geo_only_cable,dst_asn_primary
cable,network_low_physical_high,10,0.11494252873563218,geo_only_cable,dst_asn_primary
cable,network_high_physical_low,10,0.11494252873563218,as_only_cable,dst_asn_primary
cable,network_high_physical_high,34,0.39080459770114945,as_only_cable,dst_asn_primary
cable,network_low_physical_low,34,0.39080459770114945,as_only_cable,dst_asn_primary
cable,network_low_physical_high,9,0.10344827586206896,as_only_cable,dst_asn_primary
cable,network_high_physical_low,11,0.12790697674418605,high_confidence_subset_cable,dst_asn_primary
cable,network_high_physical_high,32,0.37209302325581395,high_confidence_subset_cable,dst_asn_primary
cable,network_low_physical_low,32,0.37209302325581395,high_confidence_subset_cable,dst_asn_primary
cable,network_low_physical_high,11,0.12790697674418605,high_confidence_subset_cable,dst_asn_primary
corridor,network_high_physical_low,11,0.12643678160919541,fused_dual_core_corridor,dst_asn_primary
corridor,network_high_physical_high,33,0.3793103448275862,fused_dual_core_corridor,dst_asn_primary
