Country,Root,Aggregation_Mode,Confidence_Filter,Owner_Multi_Entity_Mode,Total_Traces,Submarine_Traces,Dependency_Rate,Top_Cable,Top_Cable_Expected_Vol,Top_Cable_Share,Top2_Cable,Top2_Cable_Expected_Vol,Top2_Cable_Share,Dominance_Margin,Unique_CrossBorder_AS_Pairs,Top_CrossBorder_AS_Pair,Top_CrossBorder_AS_Pair_Count,Top_CrossBorder_AS_Pair_Share,Top2_CrossBorder_AS_Pair,Top2_CrossBorder_AS_Pair_Count,Top2_CrossBorder_AS_Pair_Share,CrossBorder_AS_Pair_Dominance_Margin,Cable_vs_ASPair_Concentration_Gap,Top_Owner,Top_Owner_Expected_Vol,Top_Owner_Share,Top2_Owner,Top2_Owner_Expected_Vol,Top2_Owner_Share,Owner_Dominance_Margin,Cable_Owner_Concentration_Gap,High_Bucket_Traces,Medium_Bucket_Traces,Ambiguous_Bucket_Traces
CY,anchor,weighted,all,full,1151,435,0.3779,TE North/TGN-Eurasia/SEACOM/Alexandros/Medex,218.5761,0.1899,MedNautilus Submarine System,26.1958,0.0228,0.1671,347,AS5504->AS1299,191,0.1659,AS6866->AS3356,149,0.1295,0.0365,0.024,Telecom Egypt,349.2421,0.3034,PCCW,330.6546,0.2873,0.0161,0.1135,191,183,61
FI,anchor,weighted,all,full,14571,4969,0.341,Baltic Sea Submarine Cable,2468.57,0.1694,Eastern Light Sweden-Finland I,2288.5865,0.1571,0.0124,2353,AS16086->AS174,391,0.0268,AS12552->AS6939,269,0.0185,0.0084,0.1426,Eastern Light,2037.1075,0.1398,CITIC Telecom International,1141.7522,0.0784,0.0614,-0.0296,116,480,4373
ID,anchor,weighted,all,full,9847,3279,0.333,Asia Connect Cable-1 (ACC-1),1152.5818,0.117,Indonesia Global Gateway (IGG) System,978.8339,0.0994,0.0176,2638,AS136106->AS6939,378,0.0384,AS38158->AS6939,335,0.034,0.0044,0.0787,Singtel,751.0804,0.0763,Telin,654.7932,0.0665,0.0098,-0.0408,54,210,3015
CK,anchor,weighted,all,full,96,31,0.3229,Hawaiki Nui 1,14.298,0.1489,SeaMeWe-4,2.7806,0.029,0.12,38,AS10131->AS45177,39,0.4062,AS10131->AS6939,8,0.0833,0.3229,-0.2573,BW Digital,22.0,0.2292,Singtel,3.1551,0.0329,0.1963,0.0802,0,0,31
PE,anchor,weighted,all,full,2241,715,0.3191,South America-1 (SAm-1),393.9042,0.1758,South American Crossing (SAC),38.4917,0.0172,0.1586,518,AS3549->AS3356,145,0.0647,AS18678->AS1299,122,0.0544,0.0103,0.1111,Telxius,577.6978,0.2578,Sparkle,56.996,0.0254,0.2324,0.082,46,596,73
GT,anchor,weighted,all,full,863,269,0.3117,South America-1 (SAm-1),137.7909,0.1597,Asia Connect Cable-1 (ACC-1),6.9976,0.0081,0.1516,228,AS267828->AS174,88,0.102,AS23243->AS1299,52,0.0603,0.0417,0.0577,Telxius,223.2088,0.2586,Meta,10.0133,0.0116,0.247,0.099,8,224,37
CM,anchor,weighted,all,full,192,56,0.2917,South America-1 (SAm-1),30.2496,0.1576,America Movil Submarine Cable System-1 (AMX-1),25.5655,0.1332,0.0244,84,AS15964->AS12956,94,0.4896,AS60171->AS6939,27,0.1406,0.349,-0.332,Telxius,22.2756,0.116,América Móvil (Claro),12.7392,0.0664,0.0497,-0.0415,6,8,42
GU,anchor,weighted,all,full,864,248,0.287,Tabua,120.4306,0.1394,SEA-US,100.8372,0.1167,0.0227,185,AS3605->AS2914,98,0.1134,AS14593->AS137074,32,0.037,0.0764,0.026,Google,118.2538,0.1369,Globe Telecom,85.0901,0.0985,0.0384,-0.0025,0,217,31
KW,anchor,weighted,all,full,275,78,0.2836,2Africa,21.9983,0.08,FALCON,12.5255,0.0455,0.0344,95,AS47589->AS39386,91,0.3309,AS39386->AS3356,24,0.0873,0.2436,-0.2509,Telecom Egypt,44.0,0.16,China Mobile,42.453,0.1544,0.0056,0.08,0,44,34
NZ,anchor,weighted,all,full,9472,2667,0.2816,Southern Cross NEXT,643.6774,0.068,Southern Cross Cable Network (SCCN),551.9704,0.0583,0.0097,1651,AS55850->AS1299,638,0.0674,AS64073->AS6939,385,0.0406,0.0267,0.0006,Southern Cross Cable Network,710.0665,0.075,BW Digital,703.9421,0.0743,0.0006,0.007,127,177,2363
PH,anchor,weighted,all,full,15470,4148,0.2681,APCN-2,1904.1005,0.1231,Asia Direct Cable (ADC),1803.3152,0.1166,0.0065,2332,AS9299->AS6939,917,0.0593,AS9299->AS1299,616,0.0398,0.0195,0.0638,Singtel,2843.0786,0.1838,China Telecom,2680.2365,0.1733,0.0105,0.0607,79,560,3509
BF,anchor,weighted,all,full,414,109,0.2633,2Africa,53.9677,0.1304,West Africa Cable System (WACS),49.7374,0.1201,0.0102,154,AS8075->AS37721,72,0.1739,AS8075->AS6713,24,0.058,0.1159,-0.0436,Bayobab,57.436,0.1387,Orange,55.89,0.135,0.0037,0.0084,1,6,102
