metric,value
candidate_rows,489781.0
unique_links,104772.0
unique_units,87.0
units_with_network_layer_diversity,114.0
units_with_physical_diversity_cable,87.0
units_with_physical_diversity_corridor,87.0
units_with_network_physical_mismatch_cable,87.0
units_with_network_physical_mismatch_corridor,87.0
median_network_layer_diversity_score,7.442304840407116
median_cable_physical_candidate_diversity_score,2.8058257838670384
median_corridor_physical_candidate_diversity_score,3.510112685168948
cable_mismatch_network_high_physical_low,11.0
cable_mismatch_network_high_physical_high,33.0
cable_mismatch_network_low_physical_low,33.0
cable_mismatch_network_low_physical_high,10.0
corridor_mismatch_network_high_physical_low,11.0
corridor_mismatch_network_high_physical_high,33.0
corridor_mismatch_network_low_physical_low,33.0
corridor_mismatch_network_low_physical_high,10.0
cable_corridor_target_quadrant_preserved,7.0
cable_corridor_target_quadrant_jaccard,0.4666666666666667
cable_corridor_target_quadrant_recall_from_cable,0.6363636363636364
cable_corridor_target_quadrant_precision_to_corridor,0.6363636363636364
mean_corridor_minus_cable_physical_diversity,1.77320310115671
cable_corridor_quadrant_agreement_rate,0.8160919540229885
spearman_cable_corridor_physical_diversity_score,0.79669619278169
