network_definition,mode,physical_level,num_units_compared,baseline_target_units,mode_target_units,shared_target_units,target_jaccard_vs_baseline,target_precision_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate
application_observation_supplementary,as_only_cable,cable,87,12,11,11,0.9166666666666666,1.0,0.9166666666666666,0.9770114942528736
application_observation_supplementary,fused_dual_core_cable,cable,87,12,12,12,1.0,1.0,1.0,1.0
application_observation_supplementary,geo_only_cable,cable,87,12,12,12,1.0,1.0,1.0,1.0
application_observation_supplementary,high_confidence_subset_cable,cable,86,12,11,11,0.9166666666666666,1.0,0.9166666666666666,1.0
application_observation_supplementary,as_only_corridor,corridor,87,12,12,8,0.5,0.6666666666666666,0.6666666666666666,0.8160919540229885
application_observation_supplementary,fused_dual_core_corridor,corridor,87,12,12,8,0.5,0.6666666666666666,0.6666666666666666,0.8160919540229885
application_observation_supplementary,geo_only_corridor,corridor,87,12,12,8,0.5,0.6666666666666666,0.6666666666666666,0.8160919540229885
application_observation_supplementary,high_confidence_subset_corridor,corridor,86,12,10,6,0.375,0.6,0.5,0.813953488372093
as_egress_primary,as_only_cable,cable,87,12,11,11,0.9166666666666666,1.0,0.9166666666666666,0.9770114942528736
as_egress_primary,fused_dual_core_cable,cable,87,12,12,12,1.0,1.0,1.0,1.0
as_egress_primary,geo_only_cable,cable,87,12,12,12,1.0,1.0,1.0,1.0
as_egress_primary,high_confidence_subset_cable,cable,86,12,11,11,0.9166666666666666,1.0,0.9166666666666666,0.9883720930232558
as_egress_primary,as_only_corridor,corridor,87,12,11,9,0.6428571428571429,0.8181818181818182,0.75,0.8160919540229885
as_egress_primary,fused_dual_core_corridor,corridor,87,12,11,9,0.6428571428571429,0.8181818181818182,0.75,0.8160919540229885
as_egress_primary,geo_only_corridor,corridor,87,12,11,9,0.6428571428571429,0.8181818181818182,0.75,0.8160919540229885
as_egress_primary,high_confidence_subset_corridor,corridor,86,12,9,7,0.5,0.7777777777777778,0.5833333333333334,0.8023255813953488
as_only,as_only_cable,cable,87,11,10,10,0.9090909090909091,1.0,0.9090909090909091,0.9770114942528736
as_only,fused_dual_core_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
as_only,geo_only_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
as_only,high_confidence_subset_cable,cable,86,11,10,10,0.9090909090909091,1.0,0.9090909090909091,0.9883720930232558
as_only,as_only_corridor,corridor,87,11,10,7,0.5,0.7,0.6363636363636364,0.8160919540229885
as_only,fused_dual_core_corridor,corridor,87,11,11,8,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.8160919540229885
as_only,geo_only_corridor,corridor,87,11,11,8,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.8160919540229885
as_only,high_confidence_subset_corridor,corridor,86,11,10,7,0.5,0.7,0.6363636363636364,0.813953488372093
as_pair_primary,as_only_cable,cable,87,11,10,10,0.9090909090909091,1.0,0.9090909090909091,0.9770114942528736
as_pair_primary,fused_dual_core_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
as_pair_primary,geo_only_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
as_pair_primary,high_confidence_subset_cable,cable,86,11,10,10,0.9090909090909091,1.0,0.9090909090909091,0.9883720930232558
as_pair_primary,as_only_corridor,corridor,87,11,10,7,0.5,0.7,0.6363636363636364,0.8160919540229885
as_pair_primary,fused_dual_core_corridor,corridor,87,11,11,8,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.8160919540229885
as_pair_primary,geo_only_corridor,corridor,87,11,11,8,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.8160919540229885
as_pair_primary,high_confidence_subset_corridor,corridor,86,11,10,7,0.5,0.7,0.6363636363636364,0.813953488372093
combined_supplementary,as_only_cable,cable,87,11,10,10,0.9090909090909091,1.0,0.9090909090909091,0.9770114942528736
combined_supplementary,fused_dual_core_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
combined_supplementary,geo_only_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
combined_supplementary,high_confidence_subset_cable,cable,86,11,11,11,1.0,1.0,1.0,0.9883720930232558
combined_supplementary,as_only_corridor,corridor,87,11,11,7,0.4666666666666667,0.6363636363636364,0.6363636363636364,0.8160919540229885
combined_supplementary,fused_dual_core_corridor,corridor,87,11,11,7,0.4666666666666667,0.6363636363636364,0.6363636363636364,0.8160919540229885
combined_supplementary,geo_only_corridor,corridor,87,11,11,7,0.4666666666666667,0.6363636363636364,0.6363636363636364,0.8160919540229885
combined_supplementary,high_confidence_subset_corridor,corridor,86,11,9,6,0.42857142857142855,0.6666666666666666,0.5454545454545454,0.813953488372093
composite,as_only_cable,cable,87,11,10,10,0.9090909090909091,1.0,0.9090909090909091,0.9770114942528736
composite,fused_dual_core_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
composite,geo_only_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
composite,high_confidence_subset_cable,cable,86,11,11,11,1.0,1.0,1.0,0.9883720930232558
composite,as_only_corridor,corridor,87,11,11,7,0.4666666666666667,0.6363636363636364,0.6363636363636364,0.8160919540229885
composite,fused_dual_core_corridor,corridor,87,11,11,7,0.4666666666666667,0.6363636363636364,0.6363636363636364,0.8160919540229885
composite,geo_only_corridor,corridor,87,11,11,7,0.4666666666666667,0.6363636363636364,0.6363636363636364,0.8160919540229885
composite,high_confidence_subset_corridor,corridor,86,11,9,6,0.42857142857142855,0.6666666666666666,0.5454545454545454,0.813953488372093
country_only,as_only_cable,cable,87,14,13,13,0.9285714285714286,1.0,0.9285714285714286,0.9770114942528736
country_only,fused_dual_core_cable,cable,87,14,14,14,1.0,1.0,1.0,1.0
country_only,geo_only_cable,cable,87,14,14,14,1.0,1.0,1.0,1.0
country_only,high_confidence_subset_cable,cable,86,14,14,14,1.0,1.0,1.0,0.9883720930232558
country_only,as_only_corridor,corridor,87,14,15,11,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.8160919540229885
country_only,fused_dual_core_corridor,corridor,87,14,16,12,0.6666666666666666,0.75,0.8571428571428571,0.8160919540229885
country_only,geo_only_corridor,corridor,87,14,16,12,0.6666666666666666,0.75,0.8571428571428571,0.8160919540229885
country_only,high_confidence_subset_corridor,corridor,86,14,15,11,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.8023255813953488
dst_asn_primary,as_only_cable,cable,87,11,10,10,0.9090909090909091,1.0,0.9090909090909091,0.9770114942528736
dst_asn_primary,fused_dual_core_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
dst_asn_primary,geo_only_cable,cable,87,11,11,11,1.0,1.0,1.0,1.0
dst_asn_primary,high_confidence_subset_cable,cable,86,11,11,11,1.0,1.0,1.0,0.9883720930232558
dst_asn_primary,as_only_corridor,corridor,87,11,10,7,0.5,0.7,0.6363636363636364,0.8160919540229885
dst_asn_primary,fused_dual_core_corridor,corridor,87,11,11,8,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.8160919540229885
dst_asn_primary,geo_only_corridor,corridor,87,11,11,8,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.8160919540229885
dst_asn_primary,high_confidence_subset_corridor,corridor,86,11,9,7,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.813953488372093
geographic_transition_supplementary,as_only_cable,cable,87,14,13,13,0.9285714285714286,1.0,0.9285714285714286,0.9770114942528736
geographic_transition_supplementary,fused_dual_core_cable,cable,87,14,14,14,1.0,1.0,1.0,1.0
geographic_transition_supplementary,geo_only_cable,cable,87,14,14,14,1.0,1.0,1.0,1.0
geographic_transition_supplementary,high_confidence_subset_cable,cable,86,14,14,14,1.0,1.0,1.0,0.9883720930232558
geographic_transition_supplementary,as_only_corridor,corridor,87,14,15,11,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.8160919540229885
geographic_transition_supplementary,fused_dual_core_corridor,corridor,87,14,16,12,0.6666666666666666,0.75,0.8571428571428571,0.8160919540229885
geographic_transition_supplementary,geo_only_corridor,corridor,87,14,16,12,0.6666666666666666,0.75,0.8571428571428571,0.8160919540229885
geographic_transition_supplementary,high_confidence_subset_corridor,corridor,86,14,15,11,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.8023255813953488
probe_target_only,as_only_cable,cable,87,12,11,11,0.9166666666666666,1.0,0.9166666666666666,0.9770114942528736
probe_target_only,fused_dual_core_cable,cable,87,12,12,12,1.0,1.0,1.0,1.0
probe_target_only,geo_only_cable,cable,87,12,12,12,1.0,1.0,1.0,1.0
probe_target_only,high_confidence_subset_cable,cable,86,12,11,11,0.9166666666666666,1.0,0.9166666666666666,1.0
probe_target_only,as_only_corridor,corridor,87,12,12,8,0.5,0.6666666666666666,0.6666666666666666,0.8160919540229885
probe_target_only,fused_dual_core_corridor,corridor,87,12,12,8,0.5,0.6666666666666666,0.6666666666666666,0.8160919540229885
probe_target_only,geo_only_corridor,corridor,87,12,12,8,0.5,0.6666666666666666,0.6666666666666666,0.8160919540229885
probe_target_only,high_confidence_subset_corridor,corridor,86,12,10,6,0.375,0.6,0.5,0.813953488372093
