country,pdb_num_ixps,pdb_num_facilities,pdb_num_networks,pdb_num_network_facility_presence,pdb_num_ixp_participants,pdb_ixp_participant_entropy,pdb_facility_participant_entropy,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier
AE,2,15,169,187,145,0.5654001452743456,1.252359465175292,10.82475905840779,0.6847826086956522,high
AF,1,0,16,0,16,-0.0,0.0,3.5263605246161616,0.25,low
AG,0,1,0,0,0,0.0,0.0,0.6931471805599453,0.024456521739130436,low
AL,1,6,28,19,23,-0.0,1.156135669649826,7.162488829251559,0.5108695652173914,medium
AM,2,9,38,9,32,-0.0,1.6769877743224173,8.74174680211422,0.5652173913043478,medium
AO,2,8,35,28,38,0.6779471359178069,1.3644867010839494,8.921789641462196,0.5815217391304348,medium
AQ,1,2,0,0,0,0.0,0.0,1.791759469228055,0.07608695652173914,low
AR,5,70,450,583,410,0.3716265109536794,3.0611965279540003,15.598729724679728,0.8478260869565217,high
AT,6,56,299,504,229,0.8832602326962405,2.7672729493361916,15.343277073578498,0.8315217391304348,high
AU,36,163,752,2126,1703,2.8047520506896526,3.6771247147273556,21.816726333685327,0.9565217391304348,high
AZ,0,7,8,14,0,0.0,1.5670812292933243,5.84374734830938,0.41847826086956524,medium
BA,1,1,9,2,9,-0.0,-0.0,3.6888794541139367,0.2826086956521739,low
BD,10,36,198,92,385,1.5522390498596152,2.70387702785346,15.558234087880162,0.842391304347826,high
BE,2,42,173,365,109,0.5952456262452992,2.7886508058681008,13.402764135689601,0.7608695652173914,high
BF,2,3,17,8,22,0.5859526183035508,0.9743147528693494,6.935545778857066,0.4782608695652174,medium
BG,8,30,362,469,401,1.6151499861121996,2.1580861356426757,15.298850737841093,0.8260869565217391,high
BH,2,8,28,8,27,-0.0,1.3862943611198906,8.049427057110695,0.5489130434782609,medium
BI,1,2,9,0,9,-0.0,0.0,4.094344562222101,0.32608695652173914,low
BJ,1,1,6,1,5,-0.0,-0.0,3.332204510175204,0.21467391304347827,low
BL,1,1,12,4,11,-0.0,-0.0,3.951243718581427,0.30978260869565216,low
BN,1,4,11,3,11,-0.0,1.0986122886681096,5.886104031450156,0.42391304347826086,medium
BO,2,2,23,2,23,0.5235863374812598,0.6931471805599453,6.59201192572537,0.45652173913043476,medium
BQ,1,1,7,1,7,-0.0,-0.0,3.465735902799726,0.2391304347826087,low
BR,53,348,2731,3565,5130,2.523519934691111,4.103444677660139,24.383809801808635,0.9891304347826086,high
BS,1,1,2,2,0,0.0,-0.0,2.4849066497880004,0.1358695652173913,low
BT,1,3,15,2,15,-0.0,-0.0,4.852030263919617,0.358695652173913,medium
BW,2,1,2,1,1,-0.0,-0.0,2.8903717578961645,0.16304347826086957,low
BY,1,2,6,6,4,-0.0,0.6365141682948128,4.374183786578181,0.33695652173913043,low
CA,28,166,825,1262,899,2.4100143594577137,3.944190291480141,21.55608906686206,0.9510869565217391,high
CD,4,5,34,17,52,1.2913609875208751,1.1407201964134568,9.3886266270859,0.6141304347826086,medium
CG,2,3,11,3,9,-0.0,0.6365141682948128,5.6063274678708135,0.3967391304347826,medium
CH,15,78,1042,762,1307,1.9673338591199077,3.1174718861643593,19.17669877499184,0.9239130434782609,high
CI,1,5,17,9,14,-0.0,0.34883209584303193,5.724110503527197,0.40217391304347827,medium
CL,8,49,233,262,208,0.9711634680575265,2.740022434913147,15.27575460109274,0.8206521739130435,high
