country,pdb_num_ixps,pdb_num_facilities,pdb_num_networks,pdb_num_network_facility_presence,pdb_num_ixp_participants,pdb_ixp_participant_entropy,pdb_facility_participant_entropy,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier
CM,3,7,21,23,22,1.0361987848192837,1.7154642164188132,9.30844135739614,0.6032608695652174,medium
CN,21,38,129,79,163,2.5446722934320296,3.0598525873828337,17.226663430758407,0.8913043478260869,high
CO,7,23,172,255,178,1.6857039958133195,2.382878770814087,14.479369733152968,0.7934782608695652,high
CR,3,8,46,4,47,0.15841057013179086,0.5623351446188083,8.154412254916767,0.5543478260869565,medium
CV,1,1,6,2,5,-0.0,-0.0,3.332204510175204,0.21467391304347827,low
CW,1,2,10,8,8,-0.0,0.6615632381579821,4.8512179801844075,0.3532608695652174,medium
CY,2,2,10,4,7,0.6829081047004717,-0.0,5.278027954835062,0.3804347826086957,medium
CZ,6,32,343,345,381,0.9326733672479625,1.9358985892636025,14.151631324406758,0.7771739130434783,high
DE,58,330,2695,4058,3821,2.909365611239764,4.065502527167364,24.754048429722108,0.9945652173913043,high
DJ,1,3,27,18,20,-0.0,-0.0,5.4116460518550396,0.3858695652173913,medium
DK,8,37,191,262,210,1.7205258439756927,2.3038348822386414,15.116666835304722,0.8152173913043478,high
DM,1,0,3,0,3,-0.0,0.0,2.0794415416798357,0.10054347826086957,low
DO,4,4,67,26,72,1.0219688000431382,1.2834332506236321,9.743785580711078,0.6467391304347826,medium
EC,10,15,61,34,70,1.8708041783974823,1.877203285664431,13.045625844145155,0.7391304347826086,high
EE,4,8,134,88,121,0.9714269565985998,1.677704542645853,11.361068767453204,0.7065217391304348,high
EG,3,6,47,32,41,0.8942550595139518,1.3470115978555293,9.444672178452576,0.6195652173913043,medium
ES,17,71,540,828,686,2.11796991974832,2.882102940337579,18.4605300158446,0.907608695652174,high
ET,1,2,3,3,3,-0.0,0.6365141682948128,3.814567998642758,0.29347826086956524,low
FI,14,36,292,285,356,2.1005576623065325,3.0043823571024406,17.104080742172474,0.8858695652173914,high
FJ,1,0,3,0,3,-0.0,0.0,2.0794415416798357,0.10054347826086957,low
FM,0,1,0,0,0,0.0,0.0,0.6931471805599453,0.024456521739130436,low
FR,26,225,1106,2624,1406,2.3141232732936476,4.070451119293561,22.11035519057246,0.967391304347826,high
GA,1,4,11,11,8,-0.0,1.162225544921092,5.9497172877031375,0.43478260869565216,medium
GB,30,248,1610,3314,1921,1.8113521674360853,3.8196782660080517,21.96708091757096,0.9619565217391305,high
GD,1,0,12,0,12,-0.0,0.0,3.258096538021482,0.1983695652173913,low
GE,1,5,22,17,14,-0.0,1.2831726480161034,6.903573513733253,0.47282608695652173,medium
GF,1,1,6,6,3,-0.0,-0.0,3.332204510175204,0.21467391304347827,low
GH,3,7,53,73,53,0.9969800101251025,1.4856268724308397,9.937326831919943,0.657608695652174,medium
GM,1,1,3,1,2,-0.0,-0.0,2.772588722239781,0.15760869565217392,low
GN,1,1,8,5,4,-0.0,-0.0,3.58351893845611,0.26358695652173914,low
GP,0,1,4,4,0,0.0,-0.0,2.3025850929940455,0.11956521739130435,low
GQ,0,1,1,1,0,0.0,-0.0,1.3862943611198906,0.05434782608695652,low
GR,8,10,156,206,186,1.7783690403512278,1.9127954371785847,13.34253013301271,0.7554347826086957,high
GT,2,6,44,18,42,0.6615632381579821,0.42584844923858145,7.938596614890306,0.5380434782608695,medium
GU,4,6,29,26,25,1.14225140799707,1.466177585091562,9.564974436240202,0.6304347826086957,medium
HK,18,56,844,1070,956,2.0138683578973717,2.6531145158957763,18.393809748151313,0.9021739130434783,high
HN,3,1,37,0,40,0.3250829733914482,0.0,6.04211067479767,0.44021739130434784,medium
HR,2,12,56,62,39,-0.0,1.4883910836528638,9.19500399761706,0.5978260869565217,medium
HT,1,0,4,0,4,-0.0,0.0,2.3025850929940455,0.11956521739130435,low
HU,1,7,132,146,103,-0.0,1.0810552604247115,8.743993110886247,0.5706521739130435,medium
ID,78,202,1461,3924,4741,3.0113227758702306,3.757985864277498,23.73952311196626,0.9836956521739131,high
IE,6,24,167,292,206,1.208434884230952,2.329509764863223,13.826694602420947,0.7717391304347826,high
IL,3,21,61,95,40,0.8324075743474855,2.594279633972705,12.031158407843488,0.717391304347826,high
IM,1,1,0,0,0,0.0,0.0,1.3862943611198906,0.05434782608695652,low
IN,40,245,1199,2429,1908,2.7418517336863,4.160553777966522,23.211385950065583,0.9782608695652174,high
IQ,2,3,36,2,34,0.21903252178902116,-0.0,6.314857084221246,0.44565217391304346,medium
IR,2,3,4,2,3,-0.0,-0.0,4.0943445622221,0.32065217391304346,low
IS,3,20,36,57,28,0.336495757583516,2.233059263066676,10.611289732137728,0.6684782608695652,medium
IT,22,102,735,1245,1143,2.197758259775652,3.232596215060909,19.801807797724223,0.9347826086956522,high
JM,1,0,6,0,6,-0.0,0.0,2.6390573296152584,0.14945652173913043,low
JO,1,4,23,11,19,-0.0,1.240684291953396,6.721323215295387,0.46195652173913043,medium
JP,27,112,913,1171,1689,2.504633348495344,3.36263889532103,20.74469514415807,0.9402173913043478,high
KE,8,14,202,437,286,1.334232489424357,2.0096558489987237,13.562369095903298,0.7663043478260869,high
KG,3,2,25,3,27,0.6089338553200506,0.6365141682948128,6.988451211424346,0.483695652173913,medium
KH,4,9,56,19,53,0.2539469479418864,1.6765309642820887,9.885552185486672,0.6521739130434783,medium
KN,1,0,12,0,12,-0.0,0.0,3.258096538021482,0.1983695652173913,low
KR,7,47,157,211,122,1.026971196470649,2.8016533438915294,14.84186212597687,0.8097826086956522,high
KW,1,3,16,2,15,-0.0,0.6931471805599453,5.605802066295997,0.391304347826087,medium
KZ,15,7,35,17,81,2.5601026626136942,1.6499886811375826,12.645640546127003,0.7282608695652174,high
LA,0,3,1,1,0,0.0,-0.0,2.0794415416798357,0.10054347826086957,low
LB,3,3,41,1,50,1.0773581867505757,-0.0,7.587616527273726,0.5271739130434783,medium
LI,2,4,49,6,48,0.5106886688599794,0.45056120886630463,7.58132308425664,0.5217391304347826,medium
LK,1,1,7,0,7,-0.0,0.0,3.465735902799726,0.2391304347826087,low
LR,0,1,2,2,0,0.0,-0.0,1.791759469228055,0.07608695652173914,low
LS,1,0,3,0,3,-0.0,0.0,2.0794415416798357,0.10054347826086957,low
LT,4,12,81,49,102,0.9994880275900389,1.4749816957492672,11.055576240499196,0.6956521739130435,high
LU,1,16,121,167,83,-0.0,2.1572817603402523,10.48766332968967,0.6630434782608695,medium
LV,5,11,114,64,106,1.0447935121972296,1.212478095384569,11.278869854961103,0.7010869565217391,high
LY,1,0,0,0,0,0.0,0.0,0.6931471805599453,0.024456521739130436,low
MA,2,5,8,6,6,0.6931471805599453,1.329661348854758,7.110404864647087,0.5,medium
MD,2,5,26,12,33,0.6839884329677817,0.2868359830561607,7.157033039924436,0.5054347826086957,medium
ME,1,0,2,0,2,-0.0,0.0,1.791759469228055,0.07608695652173914,low
MF,2,1,11,4,9,0.6931471805599453,-0.0,4.969813299576001,0.3695652173913043,medium
MG,1,1,5,0,5,-0.0,0.0,3.1780538303479453,0.18478260869565216,low
MK,1,5,19,9,17,-0.0,1.5229550675313182,7.003593990873309,0.4945652173913043,medium
ML,1,2,5,1,5,-0.0,-0.0,3.58351893845611,0.26358695652173914,low
MM,3,8,56,10,68,0.7961352038774844,1.2275294114572126,9.650234821625357,0.6413043478260869,medium
MN,3,0,15,0,21,0.6645284386549151,0.0,4.823411522014586,0.34782608695652173,medium
MO,0,1,2,2,0,0.0,-0.0,1.791759469228055,0.07608695652173914,low
MP,0,2,2,2,0,0.0,0.6931471805599453,2.890371757896165,0.17119565217391305,low
MQ,1,1,5,5,2,-0.0,-0.0,3.1780538303479453,0.18478260869565216,low
MU,1,7,23,8,21,-0.0,0.9002560512685369,6.850898603856264,0.4673913043478261,medium
MV,1,1,9,2,8,-0.0,-0.0,3.6888794541139367,0.2826086956521739,low
MW,2,1,12,0,14,0.5982695885852573,0.0,4.954978415274849,0.3641304347826087,medium
MX,9,54,153,301,118,1.6794396400488647,2.940637663037827,15.966948183726839,0.8586956521739131,high
MY,7,43,200,311,188,1.0848672828715522,2.5112583090040337,14.76306167553276,0.8043478260869565,high
MZ,1,7,23,16,18,-0.0,1.0397207708399179,6.990363323427645,0.4891304347826087,medium
NA,1,1,7,2,6,-0.0,-0.0,3.465735902799726,0.2391304347826087,low
NC,1,2,5,2,5,-0.0,-0.0,3.58351893845611,0.26358695652173914,low
NG,6,18,177,281,235,1.2493769518626303,1.8065348566636483,13.128044487040116,0.75,high
NI,0,1,0,0,0,0.0,0.0,0.6931471805599453,0.024456521739130436,low
NL,38,160,2414,3431,3660,2.53956191254596,3.8715058222031473,22.945488311949887,0.9728260869565217,high
NO,11,49,165,267,173,1.8896431284098314,2.867081072978157,16.265641644960677,0.8641304347826086,high
NP,2,8,31,4,48,0.6575285638010246,1.3862943611198906,8.805395693724972,0.5760869565217391,medium
NZ,12,93,252,719,329,1.8273576565257166,3.6817860901907933,18.150777375175572,0.8967391304347826,high
OM,2,5,32,35,17,0.6846162778013047,0.9320645743499893,8.00356017151394,0.5434782608695652,medium
PA,2,9,43,32,31,0.4175732119168012,1.4348752970201721,9.03783552451739,0.592391304347826,medium
PE,14,15,157,152,189,1.890086578495322,1.9059872969615592,14.339307831825838,0.782608695652174,high
PG,3,2,13,0,19,0.8246593237664703,0.0,5.948623303169729,0.42934782608695654,medium
PH,14,25,243,364,395,2.0727082885665062,2.2159237491584864,15.751947002141888,0.8532608695652174,high
PK,3,19,20,26,8,-0.0,2.091091617205307,9.517640689602612,0.625,medium
PL,17,80,1044,1408,1871,2.129048219923697,2.923698809085342,19.289340105976553,0.9293478260869565,high
PR,2,11,56,58,30,0.13269142083987176,1.8769578760717978,9.63621950320233,0.6358695652173914,medium
PS,2,3,23,18,23,0.38721237518636065,0.42584844923858145,6.476021304560889,0.45108695652173914,medium
PT,6,14,133,132,156,1.3419457391272582,1.3749155587774953,12.268661448013187,0.7228260869565217,high
PY,3,10,58,33,73,1.076813220784695,1.9213050005561436,10.859845299164819,0.6902173913043478,high
QA,2,6,35,25,37,0.5897093148175168,1.4088131112702587,8.62656380226731,0.5597826086956522,medium
RE,1,0,6,0,6,-0.0,0.0,2.6390573296152584,0.14945652173913043,low
RO,7,45,220,301,209,1.1423665450762366,2.0856477275919256,14.534259912354845,0.7989130434782609,high
RS,2,10,58,58,42,-0.0,1.7719142769128526,9.345959282285053,0.6086956521739131,medium
RU,43,105,686,1088,1433,2.576357333589695,3.3520310921120453,20.908351445954416,0.9456521739130435,high
RW,1,4,18,7,16,-0.0,-0.0,5.247024072160485,0.375,medium
SA,5,22,64,66,90,1.4113129167770153,2.552187504606524,13.06514137643638,0.7445652173913043,high
SB,0,1,0,0,0,0.0,0.0,0.6931471805599453,0.024456521739130436,low
SD,1,3,5,2,4,-0.0,-0.0,3.8712010109078907,0.3016304347826087,low
SE,22,57,414,635,883,2.3994794887530175,2.8779541101571886,18.501649345616475,0.9130434782608695,high
SG,12,46,1069,1116,1170,1.6362080774751697,1.9416823438315611,16.96840130793428,0.8804347826086957,high
SI,1,11,40,36,29,-0.0,2.073122890500963,8.964748787553217,0.5869565217391305,medium
SK,5,6,131,100,139,1.0211315422620848,1.057229958289742,10.698833041421565,0.6793478260869565,high
SL,1,2,11,10,5,-0.0,0.5004024235381879,4.777068542554243,0.3423913043478261,medium
SN,1,2,5,2,5,-0.0,-0.0,3.58351893845611,0.26358695652173914,low
SO,1,2,1,1,0,0.0,-0.0,2.4849066497880004,0.1358695652173913,low
SR,1,2,8,0,8,-0.0,0.0,3.9889840465642745,0.31521739130434784,low
SS,0,1,0,0,0,0.0,0.0,0.6931471805599453,0.024456521739130436,low
SV,1,1,0,0,0,0.0,0.0,1.3862943611198906,0.05434782608695652,low
SX,1,1,5,2,5,-0.0,-0.0,3.1780538303479453,0.18478260869565216,low
SZ,1,0,0,0,0,0.0,0.0,0.6931471805599453,0.024456521739130436,low
TD,1,1,9,0,9,-0.0,0.0,3.6888794541139367,0.2826086956521739,low
TG,1,1,11,4,9,-0.0,-0.0,3.8712010109078907,0.3016304347826087,low
TH,12,40,194,441,285,2.048531797177696,2.967827011682994,16.56787979159028,0.875,high
TJ,1,1,17,2,16,-0.0,-0.0,4.276666119016055,0.33152173913043476,low
TN,1,2,4,0,4,-0.0,0.0,3.401197381662155,0.22826086956521738,low
TR,6,50,203,438,111,1.205496198129646,3.12720819404835,15.528560167801851,0.8369565217391305,high
TT,2,5,17,10,19,0.6806294878916634,0.9404479886553264,7.401820992339319,0.5163043478260869,medium
TW,10,21,367,267,448,1.6049626276103193,1.3958270175515617,14.3978103094875,0.7880434782608695,high
TZ,7,15,49,80,73,1.5800278698058865,2.4726598329254,12.81674097207905,0.7336956521739131,high
UA,25,57,455,662,977,2.1923855193073285,3.0482968339554644,18.681714711345084,0.9184782608695652,high
UG,1,2,27,12,25,-0.0,0.6365141682948128,5.7604781476980715,0.4076086956521739,medium
US,209,1380,4060,12279,7005,4.3251774009723505,5.787657301087739,30.999689913873148,1.0,high
UY,0,1,2,2,0,0.0,-0.0,1.791759469228055,0.07608695652173914,low
UZ,3,7,20,3,18,-0.0,1.0986122886681096,7.608870629191259,0.532608695652174,medium
VC,1,0,4,0,4,-0.0,0.0,2.3025850929940455,0.11956521739130435,low
VE,5,8,58,33,58,1.3299239842623845,1.2911097652385133,10.687555239970893,0.6739130434782609,high
VG,1,0,8,0,8,-0.0,0.0,2.890371757896165,0.17119565217391305,low
VN,4,15,42,58,20,1.2922874962198407,2.2515189194620513,11.687033166049336,0.7119565217391305,high
VU,1,1,6,2,6,-0.0,-0.0,3.332204510175204,0.21467391304347827,low
YE,0,1,0,0,0,0.0,0.0,0.6931471805599453,0.024456521739130436,low
ZA,12,28,713,947,1441,1.7183577721566348,2.049623716792074,16.271109638736306,0.8695652173913043,high
ZM,1,5,14,3,12,-0.0,0.6365141682948128,5.829471019185023,0.41304347826086957,medium
ZW,1,1,2,0,2,-0.0,0.0,2.4849066497880004,0.1358695652173913,low
