ambiguity_class,candidate_rows,candidate_row_share,aggregate_normalized_support,aggregate_support_share,units_affected
as_dominant_geo_ambiguous,0,0.0,0.0,0.0,0
domestic_submarine_candidate,736851,0.41430105592227334,139991.0,0.47662189537476807,78
geo_dominant_as_weak,500358,0.28133075443903427,77903.83443835957,0.26523614537343876,87
large_landing_radius,381748,0.2146412225758206,71193.73278730479,0.24239052410433512,80
many_candidates,1264452,0.7109494304317024,87825.0,0.29901435064603443,65
multi_segment_possible,144706,0.08136224093919732,43108.31592745526,0.14676920118977668,49
no_ambiguity,33304,0.01872547145411405,17737.649734307266,0.06039068394296262,71
parallel_candidate_corridor,712256,0.40047229750244584,71626.84155825674,0.24386511263727334,69
rtt_inconclusive,682571,0.3837816411213692,92727.53545796292,0.3157058218271553,94
