pdb_interconnection_footprint_tier,physical_level,network_definition,num_units,strict_upper_bound_mismatch_units,strict_upper_bound_mismatch_share,median_network_percentile,median_physical_upper_bound_percentile,median_rank_gap
low,corridor,country_only,24,0,0.0,0.21052631578947367,0.42105263157894735,-35.5
low,corridor,dst_asn_primary,24,0,0.0,0.2894736842105263,0.42105263157894735,-38.0
low,corridor,geographic_transition_supplementary,24,0,0.0,0.21052631578947367,0.42105263157894735,-35.5
low,corridor,probe_target_only,24,0,0.0,0.25877192982456143,0.42105263157894735,-22.5
medium,cable,application_observation_supplementary,30,0,0.0,0.45175438596491224,0.43859649122807015,-31.5
medium,cable,as_egress_primary,30,1,0.03333333333333333,0.5482456140350878,0.43859649122807015,-31.5
medium,cable,as_only,30,1,0.03333333333333333,0.5,0.43859649122807015,-34.5
medium,cable,as_pair_primary,30,1,0.03333333333333333,0.5,0.43859649122807015,-34.5
medium,cable,combined_supplementary,30,0,0.0,0.4956140350877193,0.43859649122807015,-34.0
medium,cable,composite,30,0,0.0,0.4956140350877193,0.43859649122807015,-34.0
medium,cable,country_only,30,0,0.0,0.44298245614035087,0.43859649122807015,-40.5
medium,cable,dst_asn_primary,30,0,0.0,0.5,0.43859649122807015,-33.0
medium,cable,geographic_transition_supplementary,30,0,0.0,0.44298245614035087,0.43859649122807015,-40.5
medium,cable,probe_target_only,30,0,0.0,0.45175438596491224,0.43859649122807015,-31.5
medium,corridor,application_observation_supplementary,30,0,0.0,0.45175438596491224,0.3179824561403509,-15.5
medium,corridor,as_egress_primary,30,1,0.03333333333333333,0.5482456140350878,0.3179824561403509,-17.0
medium,corridor,as_only,30,1,0.03333333333333333,0.5,0.3179824561403509,-19.0
medium,corridor,as_pair_primary,30,1,0.03333333333333333,0.5,0.3179824561403509,-19.0
medium,corridor,combined_supplementary,30,0,0.0,0.4956140350877193,0.3179824561403509,-18.0
medium,corridor,composite,30,0,0.0,0.4956140350877193,0.3179824561403509,-18.0
medium,corridor,country_only,30,0,0.0,0.44298245614035087,0.3179824561403509,-21.0
medium,corridor,dst_asn_primary,30,0,0.0,0.5,0.3179824561403509,-18.5
medium,corridor,geographic_transition_supplementary,30,0,0.0,0.44298245614035087,0.3179824561403509,-21.0
medium,corridor,probe_target_only,30,0,0.0,0.45175438596491224,0.3179824561403509,-15.5
unknown,cable,application_observation_supplementary,12,0,0.0,0.13596491228070176,0.2587719298245614,-43.0
unknown,cable,as_egress_primary,12,0,0.0,0.16228070175438597,0.2587719298245614,-57.5
unknown,cable,as_only,12,0,0.0,0.25,0.2587719298245614,-61.5
unknown,cable,as_pair_primary,12,0,0.0,0.25,0.2587719298245614,-61.5
unknown,cable,combined_supplementary,12,0,0.0,0.21929824561403508,0.2587719298245614,-63.0
unknown,cable,composite,12,0,0.0,0.21929824561403508,0.2587719298245614,-63.0
unknown,cable,country_only,12,0,0.0,0.2631578947368421,0.2587719298245614,-52.5
unknown,cable,dst_asn_primary,12,0,0.0,0.2412280701754386,0.2587719298245614,-61.5
unknown,cable,geographic_transition_supplementary,12,0,0.0,0.2631578947368421,0.2587719298245614,-52.5
unknown,cable,probe_target_only,12,0,0.0,0.13596491228070176,0.2587719298245614,-43.0
unknown,corridor,application_observation_supplementary,12,0,0.0,0.13596491228070176,0.29385964912280704,-20.5
unknown,corridor,as_egress_primary,12,0,0.0,0.16228070175438597,0.29385964912280704,-35.5
unknown,corridor,as_only,12,0,0.0,0.25,0.29385964912280704,-43.0
unknown,corridor,as_pair_primary,12,0,0.0,0.25,0.29385964912280704,-43.0
unknown,corridor,combined_supplementary,12,0,0.0,0.21929824561403508,0.29385964912280704,-48.5
unknown,corridor,composite,12,0,0.0,0.21929824561403508,0.29385964912280704,-48.5
unknown,corridor,country_only,12,0,0.0,0.2631578947368421,0.29385964912280704,-34.0
unknown,corridor,dst_asn_primary,12,0,0.0,0.2412280701754386,0.29385964912280704,-42.0
unknown,corridor,geographic_transition_supplementary,12,0,0.0,0.2631578947368421,0.29385964912280704,-34.0
unknown,corridor,probe_target_only,12,0,0.0,0.13596491228070176,0.29385964912280704,-20.5
