pdb_interconnection_footprint_tier,physical_level,network_definition,num_units,strict_upper_bound_mismatch_units,strict_upper_bound_mismatch_share,median_network_percentile,median_physical_upper_bound_percentile,median_rank_gap
high,cable,application_observation_supplementary,48,1,0.020833333333333332,0.793859649122807,0.7543859649122807,-8.0
high,cable,as_egress_primary,48,1,0.020833333333333332,0.7850877192982456,0.7543859649122807,-8.5
high,cable,as_only,48,1,0.020833333333333332,0.7850877192982456,0.7543859649122807,-12.5
high,cable,as_pair_primary,48,1,0.020833333333333332,0.7850877192982456,0.7543859649122807,-12.5
high,cable,combined_supplementary,48,1,0.020833333333333332,0.793859649122807,0.7543859649122807,-11.0
high,cable,composite,48,1,0.020833333333333332,0.793859649122807,0.7543859649122807,-11.0
high,cable,country_only,48,0,0.0,0.6798245614035088,0.7543859649122807,-19.5
high,cable,dst_asn_primary,48,1,0.020833333333333332,0.7850877192982456,0.7543859649122807,-10.0
high,cable,geographic_transition_supplementary,48,0,0.0,0.6798245614035088,0.7543859649122807,-19.5
high,cable,probe_target_only,48,1,0.020833333333333332,0.793859649122807,0.7543859649122807,-8.0
high,corridor,application_observation_supplementary,48,1,0.020833333333333332,0.793859649122807,0.7171052631578947,-1.5
high,corridor,as_egress_primary,48,1,0.020833333333333332,0.7850877192982456,0.7171052631578947,0.5
high,corridor,as_only,48,1,0.020833333333333332,0.7850877192982456,0.7171052631578947,-1.0
high,corridor,as_pair_primary,48,1,0.020833333333333332,0.7850877192982456,0.7171052631578947,-1.0
high,corridor,combined_supplementary,48,1,0.020833333333333332,0.793859649122807,0.7171052631578947,-1.0
high,corridor,composite,48,1,0.020833333333333332,0.793859649122807,0.7171052631578947,-1.0
high,corridor,country_only,48,0,0.0,0.6798245614035088,0.7171052631578947,-8.0
high,corridor,dst_asn_primary,48,1,0.020833333333333332,0.7850877192982456,0.7171052631578947,-0.5
high,corridor,geographic_transition_supplementary,48,0,0.0,0.6798245614035088,0.7171052631578947,-8.0
high,corridor,probe_target_only,48,1,0.020833333333333332,0.793859649122807,0.7171052631578947,-1.5
low,cable,application_observation_supplementary,24,0,0.0,0.25877192982456143,0.43859649122807015,-42.5
low,cable,as_egress_primary,24,0,0.0,0.3026315789473684,0.43859649122807015,-55.0
low,cable,as_only,24,0,0.0,0.26315789473684215,0.43859649122807015,-59.0
low,cable,as_pair_primary,24,0,0.0,0.26315789473684215,0.43859649122807015,-59.0
low,cable,combined_supplementary,24,0,0.0,0.2763157894736842,0.43859649122807015,-58.5
low,cable,composite,24,0,0.0,0.2763157894736842,0.43859649122807015,-58.5
low,cable,country_only,24,0,0.0,0.21052631578947367,0.43859649122807015,-57.0
low,cable,dst_asn_primary,24,0,0.0,0.2894736842105263,0.43859649122807015,-55.5
low,cable,geographic_transition_supplementary,24,0,0.0,0.21052631578947367,0.43859649122807015,-57.0
low,cable,probe_target_only,24,0,0.0,0.25877192982456143,0.43859649122807015,-42.5
low,corridor,application_observation_supplementary,24,0,0.0,0.25877192982456143,0.42105263157894735,-22.5
low,corridor,as_egress_primary,24,0,0.0,0.3026315789473684,0.42105263157894735,-35.0
low,corridor,as_only,24,0,0.0,0.26315789473684215,0.42105263157894735,-40.5
low,corridor,as_pair_primary,24,0,0.0,0.26315789473684215,0.42105263157894735,-40.5
low,corridor,combined_supplementary,24,0,0.0,0.2763157894736842,0.42105263157894735,-43.0
low,corridor,composite,24,0,0.0,0.2763157894736842,0.42105263157894735,-43.0
