country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
FI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,252,13,1299->1299,0.503968253968254,0.7579365079365079,0.8095238095238095,4.823197402990576,weak_network_transition_concentration,0.0,True,True,auditable,,135,48,0.09523809523809523,0.9047619047619048
FJ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6,3,24390->7575,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
GH,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6,2,37721->37721,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0
GP,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,1,21351->21351,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1,9246->9246,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
HK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,182,8,174->174,0.7912087912087912,0.8791208791208791,0.923076923076923,2.3263177094674177,moderate_network_transition_concentration,0.0,True,True,auditable,,104,52,0.0,1.0
HN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,17,2,23520->23520,0.5294117647058824,1.0,1.0,1.996540789103284,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,7,0.0,1.0
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,93,26,38158->38158,0.16129032258064516,0.25806451612903225,0.34408602150537637,18.735563133298342,broad_network_transition_distribution,0.0,True,True,auditable,,51,35,0.5483870967741935,0.45161290322580644
IN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,152,11,6453->6453,0.2894736842105263,0.5657894736842106,0.6842105263157895,6.575987505344858,broad_network_transition_distribution,0.0,True,True,auditable,,88,44,0.13157894736842105,0.868421052631579
IT,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,61,3,174->174,0.7868852459016393,0.9344262295081966,1.0,1.9147703258454083,moderate_network_transition_concentration,0.0,True,True,auditable,,22,14,0.3770491803278688,0.6229508196721312
