country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,9,5,4,0,0.5555555555555556,0.4444444444444444,0.0,2,8966->5384,0.6,1.0,1.0,1.9601317042077895,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1
AU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,267,20,194,53,0.0749063670411985,0.7265917602996255,0.19850187265917604,4,4764->174,0.6,0.8,0.9,2.9710040966100055,moderate_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,12,4
BH,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8,8,0,0,1.0,0.0,0.0,1,5416->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2
BJ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8,8,0,0,1.0,0.0,0.0,2,28683->174,0.75,1.0,1.0,1.7547653506033232,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
CA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,43,2,41,0,0.046511627906976744,0.9534883720930233,0.0,2,12212->174,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
CV,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,37575->8657,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CW,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,12,2,10,0,0.16666666666666666,0.8333333333333334,0.0,1,23520->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
CY,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,18,15,3,0,0.8333333333333334,0.16666666666666666,0.0,2,6866->174,0.7333333333333333,1.0,1.0,1.7858869300686604,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",8,3
DK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,11,11,0,0,1.0,0.0,0.0,1,2603->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,3
DO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,10,8,2,0,0.8,0.2,0.0,1,64126->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,4
EE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,60,11,49,0,0.18333333333333332,0.8166666666666667,0.0,2,2586->6667,0.6363636363636364,1.0,1.0,1.9260702242522327,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,3
ES,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4,2,2,0,0.5,0.5,0.0,1,3352->12956,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
