probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8529->8529,as_transition,intra_as_hop_pair,2,2,0.4,1,True,False,False,False,5,4,4,0,2
AE,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8966->8966,as_transition,intra_as_hop_pair,2,2,0.4,2,False,True,False,False,5,4,4,2,0
AE,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,5384->8966,as_transition,cross_as_transition,1,1,0.2,3,False,False,True,False,5,4,4,1,0
AE,C-Root,resolved_entry_only,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8529->8529,as_transition,intra_as_hop_pair,2,2,0.4,1,True,False,False,False,5,4,4,0,2
AE,C-Root,resolved_entry_only,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8966->8966,as_transition,intra_as_hop_pair,2,2,0.4,2,False,True,False,False,5,4,4,2,0
AE,C-Root,resolved_entry_only,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,5384->8966,as_transition,cross_as_transition,1,1,0.2,3,False,False,True,False,5,4,4,1,0
AF,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
AF,C-Root,resolved_entry_only,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
AM,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,4,4,1.0,1,True,False,False,False,4,2,1,0,4
AM,C-Root,resolved_entry_only,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,4,4,1.0,1,True,False,False,False,4,2,1,0,4
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,83,83,0.3824884792626728,1,True,False,False,False,217,101,41,83,0
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->AU,country_fallback,country_fallback,40,40,0.18433179723502305,2,False,True,False,True,217,101,41,40,0
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1221->1221,as_transition,intra_as_hop_pair,31,31,0.14285714285714285,3,False,False,True,False,217,101,41,31,0
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4764->174,as_transition,cross_as_transition,12,12,0.055299539170506916,4,False,False,False,False,217,101,41,0,12
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4764->4764,as_transition,intra_as_hop_pair,11,11,0.05069124423963134,5,False,False,False,False,217,101,41,0,11
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,7575->7575,as_transition,intra_as_hop_pair,7,7,0.03225806451612903,6,False,False,False,False,217,101,41,0,7
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,7545->7545,as_transition,intra_as_hop_pair,6,6,0.027649769585253458,7,False,False,False,False,217,101,41,6,0
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6453->174,as_transition,cross_as_transition,6,6,0.027649769585253458,8,False,False,False,False,217,101,41,0,6
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,136557->136557,as_transition,intra_as_hop_pair,6,6,0.027649769585253458,9,False,False,False,False,217,101,41,6,0
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2914->2914,as_transition,intra_as_hop_pair,5,5,0.02304147465437788,10,False,False,False,False,217,101,41,0,5
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,3257->3257,as_transition,intra_as_hop_pair,4,4,0.018433179723502304,11,False,False,False,False,217,101,41,4,0
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4804->7474,as_transition,cross_as_transition,2,2,0.009216589861751152,12,False,False,False,False,217,101,41,2,0
AU,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->SG,country_fallback,country_fallback,2,2,0.009216589861751152,13,False,False,False,True,217,101,41,0,2
