country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,19,6,8966->5384,0.3157894736842105,0.5789473684210527,0.7368421052631579,5.13301438603457,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,15,15,0.7368421052631579,0.2631578947368421
AL,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1,1,6939->6939,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
AO,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1,1,37468->11845,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
AU,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,314,47,7578->7578,0.3980891719745223,0.4968152866242038,0.5573248407643312,13.383205807576145,broad_network_transition_distribution,0.0,True,True,auditable,,216,102,0.7866242038216561,0.21337579617834396
AX,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BH,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,4,4,8529->42961,0.25,0.5,0.75,4.0,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.0,1.0
BJ,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,2,2,28683->174,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
BR,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,72,22,52320->52320,0.3333333333333333,0.4583333333333333,0.5694444444444444,11.237900712965521,broad_network_transition_distribution,0.0,True,True,auditable,,71,59,0.6944444444444444,0.3055555555555556
CA,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,48,17,174->174,0.1875,0.3125,0.4375,12.979116828887827,broad_network_transition_distribution,0.0,True,True,auditable,,48,25,0.020833333333333332,0.9791666666666666
CM,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,13,7,58453->58453,0.23076923076923078,0.46153846153846156,0.6153846153846154,6.32570490835827,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,12,0.6923076923076923,0.3076923076923077
CO,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,3,1,52320->52320,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
CW,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8,2,23520->23520,0.875,1.0,1.0,1.4575692649810903,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,5,0.0,1.0
CY,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8,5,5504->1299,0.25,0.5,0.75,4.756828460010884,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,5,0.0,1.0
DJ,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,6,4,6939->6939,0.5,0.6666666666666666,0.8333333333333333,3.464101615137755,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,5,0.0,1.0
DK,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,36,5,174->174,0.7777777777777778,0.8611111111111112,0.9166666666666666,2.2778612215303347,moderate_network_transition_concentration,0.0,True,True,auditable,,36,29,0.0,1.0
DO,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,7,5,64126->174,0.42857142857142855,0.5714285714285714,0.7142857142857142,4.371369344007118,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,7,0.2857142857142857,0.7142857142857143
EE,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,16,5,2586->6667,0.3125,0.5625,0.8125,4.436424665235825,weak_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,16,11,0.0,1.0
ES,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,35,9,6939->6939,0.5142857142857142,0.7714285714285714,0.8285714285714285,4.324351303524044,weak_network_transition_concentration,0.0,True,True,auditable,,35,28,0.02857142857142857,0.9714285714285714
FI,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,123,28,1299->1299,0.35772357723577236,0.43902439024390244,0.5121951219512195,13.223222753538012,broad_network_transition_distribution,0.0,True,True,auditable,,113,46,0.12195121951219512,0.8780487804878049
FJ,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,6,5,38442->38442,0.3333333333333333,0.5,0.6666666666666666,4.7622031559046,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,5,0.0,1.0
FR,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,317,66,1299->1299,0.24290220820189273,0.4605678233438486,0.5331230283911672,18.24648827795061,broad_network_transition_distribution,0.0,True,True,auditable,,317,191,0.0,1.0
GB,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,3,1,174->174,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
GH,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1,1,37468->37468,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GU,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,10,5,174->174,0.3,0.6,0.8,4.503200128402044,weak_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,7,0.0,1.0
HK,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,93,49,58453->58453,0.10752688172043011,0.1827956989247312,0.24731182795698925,36.390740561499584,broad_network_transition_distribution,0.0,True,True,auditable,,92,68,0.0,1.0
HN,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8,4,263725->54082,0.375,0.625,0.875,3.7467482975009925,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,7,0.0,1.0
