probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AD,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,1,1,1.0,1,True,False,False,False,1,1,1,0,1
AE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,5384->5384,as_transition,intra_as_hop_pair,2,2,0.25,1,True,False,False,False,8,6,5,2,0
AE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8529->8529,as_transition,intra_as_hop_pair,1,1,0.125,2,False,True,False,False,8,6,5,0,1
AE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8966->5384,as_transition,cross_as_transition,1,1,0.125,3,False,False,True,False,8,6,5,1,0
AE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1299->1299,as_transition,intra_as_hop_pair,1,1,0.125,4,False,False,False,False,8,6,5,0,1
AE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8966->4755,as_transition,cross_as_transition,1,1,0.125,5,False,False,False,False,8,6,5,0,1
AE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,2914->2914,as_transition,intra_as_hop_pair,1,1,0.125,6,False,False,False,False,8,6,5,0,1
AE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8966->8966,as_transition,intra_as_hop_pair,1,1,0.125,7,False,False,False,False,8,6,5,1,0
AE,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8966->5384,as_transition,cross_as_transition,1,1,0.2,1,True,False,False,False,5,3,3,1,0
AE,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,5384->5384,as_transition,intra_as_hop_pair,1,1,0.2,2,False,True,False,False,5,3,3,1,0
AE,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1299->1299,as_transition,intra_as_hop_pair,1,1,0.2,3,False,False,True,False,5,3,3,0,1
AE,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8966->4755,as_transition,cross_as_transition,1,1,0.2,4,False,False,False,False,5,3,3,0,1
AE,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,8966->8966,as_transition,intra_as_hop_pair,1,1,0.2,5,False,False,False,False,5,3,3,1,0
AF,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1299->1299,as_transition,intra_as_hop_pair,1,1,1.0,1,True,False,False,False,1,1,1,1,0
AL,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,2,2,0.6666666666666666,1,True,False,False,False,3,2,2,0,2
AL,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1299->1299,as_transition,intra_as_hop_pair,1,1,0.3333333333333333,2,False,True,False,False,3,2,2,0,1
AL,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,2,2,0.6666666666666666,1,True,False,False,False,3,2,2,0,2
AL,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1299->1299,as_transition,intra_as_hop_pair,1,1,0.3333333333333333,2,False,True,False,False,3,2,2,0,1
AM,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,12552->202780,as_transition,cross_as_transition,1,1,0.5,1,True,False,False,False,2,2,2,1,0
AM,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1299->1299,as_transition,intra_as_hop_pair,1,1,0.5,2,False,True,False,False,2,2,2,0,1
AM,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,12552->202780,as_transition,cross_as_transition,1,1,0.5,1,True,False,False,False,2,2,2,1,0
AM,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1299->1299,as_transition,intra_as_hop_pair,1,1,0.5,2,False,True,False,False,2,2,2,0,1
AO,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,12956->12956,as_transition,intra_as_hop_pair,2,2,0.6666666666666666,1,True,False,False,False,3,3,2,0,2
AO,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,37468->174,as_transition,cross_as_transition,1,1,0.3333333333333333,2,False,True,False,False,3,3,2,0,1
AO,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,12956->12956,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,2,2,0,2
AR,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,58453->58453,as_transition,intra_as_hop_pair,1,1,0.125,1,True,False,False,False,8,8,8,0,1
AR,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,4229->4229,as_transition,intra_as_hop_pair,1,1,0.125,2,False,True,False,False,8,8,8,0,1
AR,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,7578->137409,as_transition,cross_as_transition,1,1,0.125,3,False,False,True,False,8,8,8,0,1
AR,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,9002->4761,as_transition,cross_as_transition,1,1,0.125,4,False,False,False,False,8,8,8,0,1
AR,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,64049->64049,as_transition,intra_as_hop_pair,1,1,0.125,5,False,False,False,False,8,8,8,1,0
