analysis_scope,country,network_atomic_segments,corridor_atomic_segments,shared_atomic_segments,network_only_atomic_segments,corridor_only_atomic_segments,segment_population_aligned,probe_country,service_id,path_scope_stratum
transition_near_country,AE,19,19,19,0,0,True,,,
transition_near_country,AL,1,1,1,0,0,True,,,
transition_near_country,AO,1,1,1,0,0,True,,,
transition_near_country,AU,314,314,314,0,0,True,,,
transition_near_country,AX,1,1,1,0,0,True,,,
transition_near_country,BH,4,4,4,0,0,True,,,
transition_near_country,BJ,2,2,2,0,0,True,,,
transition_near_country,BR,72,72,72,0,0,True,,,
transition_near_country,CA,48,48,48,0,0,True,,,
transition_near_country,CM,1,1,1,0,0,True,,,
transition_near_country,CN,13,13,13,0,0,True,,,
transition_near_country,CO,3,3,3,0,0,True,,,
transition_near_country,CW,8,8,8,0,0,True,,,
transition_near_country,CY,8,8,8,0,0,True,,,
transition_near_country,DJ,6,6,6,0,0,True,,,
transition_near_country,DK,36,36,36,0,0,True,,,
transition_near_country,DO,7,7,7,0,0,True,,,
transition_near_country,EE,16,16,16,0,0,True,,,
transition_near_country,ES,35,35,35,0,0,True,,,
transition_near_country,FI,123,123,123,0,0,True,,,
transition_near_country,FJ,6,6,6,0,0,True,,,
transition_near_country,FR,317,317,317,0,0,True,,,
transition_near_country,GB,3,3,3,0,0,True,,,
transition_near_country,GH,1,1,1,0,0,True,,,
transition_near_country,GU,10,10,10,0,0,True,,,
transition_near_country,HK,93,93,93,0,0,True,,,
transition_near_country,HN,8,8,8,0,0,True,,,
transition_near_country,ID,76,76,76,0,0,True,,,
transition_near_country,IE,4,4,4,0,0,True,,,
transition_near_country,IL,4,4,4,0,0,True,,,
transition_near_country,IN,53,53,53,0,0,True,,,
transition_near_country,IT,23,23,23,0,0,True,,,
transition_near_country,JP,10,10,10,0,0,True,,,
transition_near_country,KE,3,3,3,0,0,True,,,
transition_near_country,KY,1,1,1,0,0,True,,,
transition_near_country,LC,2,2,2,0,0,True,,,
transition_near_country,LK,9,9,9,0,0,True,,,
transition_near_country,LY,3,3,3,0,0,True,,,
transition_near_country,MM,2,2,2,0,0,True,,,
transition_near_country,MP,2,2,2,0,0,True,,,
transition_near_country,MT,2,2,2,0,0,True,,,
transition_near_country,MV,3,3,3,0,0,True,,,
transition_near_country,MX,2,2,2,0,0,True,,,
transition_near_country,MY,6,6,6,0,0,True,,,
transition_near_country,NC,4,4,4,0,0,True,,,
transition_near_country,NG,11,11,11,0,0,True,,,
transition_near_country,NO,34,34,34,0,0,True,,,
transition_near_country,NU,1,1,1,0,0,True,,,
transition_near_country,NZ,132,132,132,0,0,True,,,
transition_near_country,OM,9,9,9,0,0,True,,,
transition_near_country,PA,2,2,2,0,0,True,,,
transition_near_country,PG,1,1,1,0,0,True,,,
transition_near_country,PH,40,40,40,0,0,True,,,
transition_near_country,PK,2,2,2,0,0,True,,,
transition_near_country,PR,5,5,5,0,0,True,,,
transition_near_country,PT,45,45,45,0,0,True,,,
transition_near_country,PW,1,1,1,0,0,True,,,
transition_near_country,QA,3,3,3,0,0,True,,,
transition_near_country,RE,1,1,1,0,0,True,,,
transition_near_country,SA,2,2,2,0,0,True,,,
transition_near_country,SE,303,303,303,0,0,True,,,
transition_near_country,SG,358,358,358,0,0,True,,,
transition_near_country,SL,1,1,1,0,0,True,,,
transition_near_country,SN,1,1,1,0,0,True,,,
transition_near_country,TG,2,2,2,0,0,True,,,
transition_near_country,TH,3,3,3,0,0,True,,,
transition_near_country,TO,1,1,1,0,0,True,,,
transition_near_country,TW,110,110,110,0,0,True,,,
transition_near_country,US,234,234,234,0,0,True,,,
transition_near_country,VE,1,1,1,0,0,True,,,
transition_near_country,VI,2,2,2,0,0,True,,,
transition_near_country,ZA,26,26,26,0,0,True,,,
probe_country_service,,1,1,1,0,0,True,AD,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,8,8,8,0,0,True,AE,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,AE,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,AF,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,AL,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,AL,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,AM,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,AM,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,AO,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,AO,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,8,8,8,0,0,True,AR,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,AR,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,25,25,25,0,0,True,AT,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,18,18,18,0,0,True,AT,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,200,200,200,0,0,True,AU,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,117,117,117,0,0,True,AU,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,AX,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,AX,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,AZ,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,BA,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,BA,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,BB,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,BB,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,BD,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,BD,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,10,10,10,0,0,True,BE,Topology-IPv4-ICMP,all_publicly_visible
