probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
NO,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,71,0.28169014084507044,0.46478873239436624,0.5774647887323944,8.719643070010122,broad_network_transition_distribution,0.5774647887323944,0.704225352112676,0.8169014084507042,4.228410680480817,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,14,6,0.9859154929577465,0.014084507042253521,probe_country_service
SE,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,109,0.47706422018348627,0.5963302752293578,0.7064220183486238,5.1977675690149425,broad_network_transition_distribution,0.4954128440366973,0.8807339449541285,0.9816513761467891,2.773869427391395,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,42,7,0.4036697247706422,0.5963302752293578,probe_country_service
TW,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,38,0.5789473684210527,0.736842105263158,0.8421052631578947,3.4445490663754383,weak_network_transition_concentration,0.8947368421052632,0.9473684210526316,1.0,1.5060022429136557,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,16,4,1.0,0.0,probe_country_service
