metric,value
candidate_rows,11751.0
unique_links,1907.0
unique_units,46.0
units_with_network_layer_diversity,82.0
units_with_physical_diversity_cable,46.0
units_with_physical_diversity_corridor,46.0
units_with_network_physical_mismatch_cable,46.0
units_with_network_physical_mismatch_corridor,46.0
median_network_layer_diversity_score,4.145854083074918
median_cable_physical_candidate_diversity_score,1.844249485553981
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,6.0
cable_mismatch_network_high_physical_high,17.0
cable_mismatch_network_low_physical_low,17.0
cable_mismatch_network_low_physical_high,6.0
corridor_mismatch_network_high_physical_low,6.0
corridor_mismatch_network_high_physical_high,17.0
corridor_mismatch_network_low_physical_low,22.0
corridor_mismatch_network_low_physical_high,1.0
cable_corridor_target_quadrant_preserved,3.0
cable_corridor_target_quadrant_jaccard,0.3333333333333333
cable_corridor_target_quadrant_recall_from_cable,0.5
cable_corridor_target_quadrant_precision_to_corridor,0.5
mean_corridor_minus_cable_physical_diversity,-1.7994142746873465
cable_corridor_quadrant_agreement_rate,0.7608695652173914
spearman_cable_corridor_physical_diversity_score,0.5678109594878225
