probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
US,F-Root,dns_root,anycast,3291,3095,286,0.08690367669401398,0.9404436341537527,1646,440,1,1,0.053479185657854755,True,True,auditable,,probe_country_service
UY,F-Root,dns_root,anycast,38,38,0,0.0,1.0,19,5,1,1,0.8421052631578947,True,True,auditable,,probe_country_service
UZ,F-Root,dns_root,anycast,20,18,0,0.0,0.9,10,8,1,1,0.1,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
VA,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
VE,F-Root,dns_root,anycast,70,57,8,0.11428571428571428,0.8142857142857143,35,24,1,1,0.0,True,True,auditable,,probe_country_service
VI,F-Root,dns_root,anycast,4,4,2,0.5,1.0,2,2,1,1,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
VN,F-Root,dns_root,anycast,48,44,26,0.5416666666666666,0.9166666666666666,24,13,1,1,0.375,True,True,auditable,,probe_country_service
VU,F-Root,dns_root,anycast,2,0,0,0.0,0.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
XK,F-Root,dns_root,anycast,4,4,0,0.0,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
YE,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
ZA,F-Root,dns_root,anycast,228,214,1,0.0043859649122807015,0.9385964912280702,113,63,1,1,0.07017543859649122,True,True,auditable,,probe_country_service
ZM,F-Root,dns_root,anycast,8,7,0,0.0,0.875,4,4,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
ZW,F-Root,dns_root,anycast,6,6,0,0.0,1.0,3,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
