metric,value
candidate_rows,38606.0
unique_links,4716.0
unique_units,75.0
units_with_network_layer_diversity,104.0
units_with_physical_diversity_cable,75.0
units_with_physical_diversity_corridor,75.0
units_with_network_physical_mismatch_cable,75.0
units_with_network_physical_mismatch_corridor,75.0
median_network_layer_diversity_score,5.086494890539628
median_cable_physical_candidate_diversity_score,3.99989032912295
median_corridor_physical_candidate_diversity_score,1.386027914582992
cable_mismatch_network_high_physical_low,12.0
cable_mismatch_network_high_physical_high,26.0
cable_mismatch_network_low_physical_low,26.0
cable_mismatch_network_low_physical_high,11.0
corridor_mismatch_network_high_physical_low,10.0
corridor_mismatch_network_high_physical_high,28.0
corridor_mismatch_network_low_physical_low,28.0
corridor_mismatch_network_low_physical_high,9.0
cable_corridor_target_quadrant_preserved,6.0
cable_corridor_target_quadrant_jaccard,0.375
cable_corridor_target_quadrant_recall_from_cable,0.5
cable_corridor_target_quadrant_precision_to_corridor,0.6
mean_corridor_minus_cable_physical_diversity,-3.339835814768289
cable_corridor_quadrant_agreement_rate,0.68
spearman_cable_corridor_physical_diversity_score,0.5007443153499892
