network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
as_only,cable,weighted_support,strong_or_moderate,8,0,0.0,0.0,0.2,0.09332307273014286,0,,,"as_only network definition, cable-level, weighted support view, strong/moderate projections only"
as_only,corridor,conservative_set,all,15,1,0.6190476190476191,0.6842105263157895,0.8461538461538461,0.6957109352235705,0,,,"as_only network definition, corridor-level, conservative feasible-set view, all projections"
as_only,corridor,conservative_set,strong_only,0,0,0.0,0.0,0.0,0.0,0,,,"as_only network definition, corridor-level, conservative feasible-set view, strong projections only"
as_only,corridor,conservative_set,strong_or_moderate,8,0,0.0,0.0,0.2,0.09332307273014286,0,,,"as_only network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
as_only,corridor,weighted_support,all,11,1,0.07142857142857142,0.10526315789473684,0.56,0.3503373762950447,0,,,"as_only network definition, corridor-level, weighted support view, all projections"
as_only,corridor,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"as_only network definition, corridor-level, weighted support view, strong projections only"
as_only,corridor,weighted_support,strong_or_moderate,8,0,0.0,0.0,0.2,0.10542517132815424,0,,,"as_only network definition, corridor-level, weighted support view, strong/moderate projections only"
as_pair_primary,cable,conservative_set,all,14,1,0.1,0.15789473684210525,0.5480769230769231,0.14395200467903402,0,,,"as_pair_primary network definition, cable-level, conservative feasible-set view, all projections"
as_pair_primary,cable,conservative_set,strong_only,0,0,0.0,0.0,0.0,0.0,0,,,"as_pair_primary network definition, cable-level, conservative feasible-set view, strong projections only"
as_pair_primary,cable,conservative_set,strong_or_moderate,6,2,0.0,0.0,0.4,0.21939953810623558,0,,,"as_pair_primary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
