feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,240,0.19704433497536947
3,859,0.7052545155993432
4,51,0.04187192118226601
5,37,0.030377668308702793
7,14,0.011494252873563218
8,17,0.013957307060755337
