country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
PH,landing_region_0133::landing_region_0901,landing_region_0133 -> landing_region_0901,0.25,1,1,1,1,1,0.0043859649122807015,19,False,False,False,0.25,0.0
PH,landing_region_0179::landing_region_0179,landing_region_0179 -> landing_region_0179,0.25,1,1,1,1,1,0.0043859649122807015,20,False,False,False,0.25,0.0
PH,landing_region_0179::landing_region_0220,landing_region_0179 -> landing_region_0220,0.25,1,1,1,1,1,0.0043859649122807015,21,False,False,False,0.25,0.0
PH,landing_region_0179::landing_region_0814,landing_region_0179 -> landing_region_0814,0.25,1,1,1,1,1,0.0043859649122807015,22,False,False,False,0.25,0.0
PH,landing_region_0199::landing_region_0250,landing_region_0199 -> landing_region_0250,0.25,1,1,1,1,1,0.0043859649122807015,23,False,False,False,0.25,0.0
PH,landing_region_0220::landing_region_0814,landing_region_0220 -> landing_region_0814,0.25,1,1,1,1,1,0.0043859649122807015,24,False,False,False,0.25,0.0
PH,landing_region_0098::landing_region_0133,landing_region_0098 -> landing_region_0133,0.2,1,1,1,1,1,0.0035087719298245615,25,False,False,False,0.2,0.0
PH,landing_region_0099::landing_region_0250,landing_region_0099 -> landing_region_0250,0.2,1,1,1,1,1,0.0035087719298245615,26,False,False,False,0.2,0.0
PH,landing_region_0133::landing_region_0177,landing_region_0133 -> landing_region_0177,0.2,1,1,1,1,1,0.0035087719298245615,27,False,False,False,0.2,0.0
PH,landing_region_0133::landing_region_0254,landing_region_0133 -> landing_region_0254,0.2,1,1,1,1,1,0.0035087719298245615,28,False,False,False,0.2,0.0
PH,landing_region_0250::landing_region_0254,landing_region_0250 -> landing_region_0254,0.2,1,1,1,1,1,0.0035087719298245615,29,False,False,False,0.2,0.0
PH,landing_region_0098::landing_region_0177,landing_region_0098 -> landing_region_0177,0.1111111111111111,1,1,1,1,1,0.001949317738791423,30,False,False,False,0.1111111111111111,0.0
PH,landing_region_0098::landing_region_0254,landing_region_0098 -> landing_region_0254,0.1111111111111111,1,1,1,1,1,0.001949317738791423,31,False,False,False,0.1111111111111111,0.0
PH,landing_region_0098::landing_region_0594,landing_region_0098 -> landing_region_0594,0.1111111111111111,1,1,1,1,1,0.001949317738791423,32,False,False,False,0.1111111111111111,0.0
PH,landing_region_0099::landing_region_0177,landing_region_0099 -> landing_region_0177,0.1111111111111111,1,1,1,1,1,0.001949317738791423,33,False,False,False,0.1111111111111111,0.0
PH,landing_region_0177::landing_region_0177,landing_region_0177 -> landing_region_0177,0.1111111111111111,1,1,1,1,1,0.001949317738791423,34,False,False,False,0.1111111111111111,0.0
PH,landing_region_0177::landing_region_0254,landing_region_0177 -> landing_region_0254,0.1111111111111111,1,1,1,1,1,0.001949317738791423,35,False,False,False,0.1111111111111111,0.0
PH,landing_region_0177::landing_region_0594,landing_region_0177 -> landing_region_0594,0.1111111111111111,1,1,1,1,1,0.001949317738791423,36,False,False,False,0.1111111111111111,0.0
PH,landing_region_0254::landing_region_0254,landing_region_0254 -> landing_region_0254,0.1111111111111111,1,1,1,1,1,0.001949317738791423,37,False,False,False,0.1111111111111111,0.0
PH,landing_region_0254::landing_region_0594,landing_region_0254 -> landing_region_0594,0.1111111111111111,1,1,1,1,1,0.001949317738791423,38,False,False,False,0.1111111111111111,0.0
PH,landing_region_0098::landing_region_0179,landing_region_0098 -> landing_region_0179,0.1,1,1,1,1,1,0.0017543859649122807,39,False,False,False,0.1,0.0
PH,landing_region_0098::landing_region_0220,landing_region_0098 -> landing_region_0220,0.1,1,1,1,1,1,0.0017543859649122807,40,False,False,False,0.1,0.0
PH,landing_region_0098::landing_region_0814,landing_region_0098 -> landing_region_0814,0.1,1,1,1,1,1,0.0017543859649122807,41,False,False,False,0.1,0.0
PH,landing_region_0099::landing_region_0814,landing_region_0099 -> landing_region_0814,0.1,1,1,1,1,1,0.0017543859649122807,42,False,False,False,0.1,0.0
PH,landing_region_0177::landing_region_0179,landing_region_0177 -> landing_region_0179,0.1,1,1,1,1,1,0.0017543859649122807,43,False,False,False,0.1,0.0
PH,landing_region_0177::landing_region_0220,landing_region_0177 -> landing_region_0220,0.1,1,1,1,1,1,0.0017543859649122807,44,False,False,False,0.1,0.0
PH,landing_region_0177::landing_region_0814,landing_region_0177 -> landing_region_0814,0.1,1,1,1,1,1,0.0017543859649122807,45,False,False,False,0.1,0.0
PH,landing_region_0179::landing_region_0254,landing_region_0179 -> landing_region_0254,0.1,1,1,1,1,1,0.0017543859649122807,46,False,False,False,0.1,0.0
PH,landing_region_0220::landing_region_0254,landing_region_0220 -> landing_region_0254,0.1,1,1,1,1,1,0.0017543859649122807,47,False,False,False,0.1,0.0
PH,landing_region_0254::landing_region_0814,landing_region_0254 -> landing_region_0814,0.1,1,1,1,1,1,0.0017543859649122807,48,False,False,False,0.1,0.0
PR,landing_region_0174::landing_region_0290,landing_region_0174 -> landing_region_0290,1.0,2,2,2,2,2,0.5,1,True,False,False,0.0,1.0
PR,landing_region_0174::landing_region_0751,landing_region_0174 -> landing_region_0751,1.0,2,2,2,2,2,0.5,2,False,True,False,0.0,1.0
PT,landing_region_0186::landing_region_0239,landing_region_0186 -> landing_region_0239,14.0,14,14,14,14,3,0.7,1,True,False,False,0.0,14.0
PT,landing_region_0204::landing_region_0239,landing_region_0204 -> landing_region_0239,2.0,2,2,2,2,2,0.1,2,False,True,False,2.0,0.0
PT,landing_region_0239::landing_region_0431,landing_region_0239 -> landing_region_0431,2.0,2,2,2,2,2,0.1,3,False,False,True,0.0,2.0
PT,landing_region_0239::landing_region_0239,landing_region_0239 -> landing_region_0239,0.5,1,1,1,1,1,0.025,4,False,False,False,0.5,0.0
PT,landing_region_0239::landing_region_0872,landing_region_0239 -> landing_region_0872,0.5,1,1,1,1,1,0.025,5,False,False,False,0.5,0.0
PT,landing_region_0380::landing_region_0380,landing_region_0380 -> landing_region_0380,0.5,1,1,1,1,1,0.025,6,False,False,False,0.5,0.0
PT,landing_region_0380::landing_region_0765,landing_region_0380 -> landing_region_0765,0.5,1,1,1,1,1,0.025,7,False,False,False,0.5,0.0
SE,landing_region_0051::landing_region_0512,landing_region_0051 -> landing_region_0512,35.5,61,61,58,58,22,0.4226190476190476,1,True,False,False,27.5,8.0
SE,landing_region_0181::landing_region_0512,landing_region_0181 -> landing_region_0512,25.5,51,51,48,48,19,0.30357142857142855,2,False,True,False,25.5,0.0
SE,landing_region_0051::landing_region_0051,landing_region_0051 -> landing_region_0051,9.666666666666666,15,15,14,14,10,0.11507936507936507,3,False,False,True,8.666666666666666,1.0
SE,landing_region_0428::landing_region_0428,landing_region_0428 -> landing_region_0428,5.0,6,6,4,4,3,0.05952380952380952,4,False,False,False,5.0,0.0
SE,landing_region_0051::landing_region_0181,landing_region_0051 -> landing_region_0181,4.666666666666666,10,10,9,9,7,0.055555555555555546,5,False,False,False,3.6666666666666665,1.0
SE,landing_region_0235::landing_region_0335,landing_region_0235 -> landing_region_0335,1.0,1,1,1,1,1,0.011904761904761904,6,False,False,False,0.0,1.0
SE,landing_region_0428::landing_region_0881,landing_region_0428 -> landing_region_0881,1.0,2,2,2,2,1,0.011904761904761904,7,False,False,False,1.0,0.0
SE,landing_region_0512::landing_region_0699,landing_region_0512 -> landing_region_0699,1.0,1,1,1,1,1,0.011904761904761904,8,False,False,False,1.0,0.0
SE,landing_region_0181::landing_region_0181,landing_region_0181 -> landing_region_0181,0.6666666666666666,2,2,2,2,1,0.007936507936507936,9,False,False,False,0.6666666666666666,0.0
SG,landing_region_0132::landing_region_0266,landing_region_0132 -> landing_region_0266,119.0,119,119,119,119,56,0.8947368421052632,1,True,False,False,0.0,119.0
SG,landing_region_0132::landing_region_0230,landing_region_0132 -> landing_region_0230,7.0,7,7,7,7,5,0.05263157894736842,2,False,True,False,0.0,7.0
SG,landing_region_0132::landing_region_0132,landing_region_0132 -> landing_region_0132,1.6666666666666665,5,5,5,5,3,0.012531328320802004,3,False,False,True,1.6666666666666665,0.0
SG,landing_region_0132::landing_region_0487,landing_region_0132 -> landing_region_0487,1.6666666666666665,5,5,5,5,3,0.012531328320802004,4,False,False,False,1.6666666666666665,0.0
SG,landing_region_0132::landing_region_0807,landing_region_0132 -> landing_region_0807,1.6666666666666665,5,5,5,5,3,0.012531328320802004,5,False,False,False,1.6666666666666665,0.0
SG,landing_region_0132::landing_region_0867,landing_region_0132 -> landing_region_0867,1.0,1,1,1,1,1,0.007518796992481203,6,False,False,False,0.0,1.0
SG,landing_region_0132::landing_region_0634,landing_region_0132 -> landing_region_0634,0.5,1,1,1,1,1,0.0037593984962406013,7,False,False,False,0.0,0.5
SG,landing_region_0132::landing_region_0655,landing_region_0132 -> landing_region_0655,0.5,1,1,1,1,1,0.0037593984962406013,8,False,False,False,0.0,0.5
SL,landing_region_0239::landing_region_0374,landing_region_0239 -> landing_region_0374,1.0,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
TH,landing_region_0132::landing_region_0892,landing_region_0132 -> landing_region_0892,12.0,12,12,12,12,8,0.6,1,True,False,False,0.0,12.0
TH,landing_region_0741::landing_region_0892,landing_region_0741 -> landing_region_0892,5.0,5,5,3,3,3,0.25,2,False,True,False,5.0,0.0
TH,landing_region_0230::landing_region_0892,landing_region_0230 -> landing_region_0892,3.0,3,3,3,3,2,0.15,3,False,False,True,0.0,3.0
TN,landing_region_0166::landing_region_0431,landing_region_0166 -> landing_region_0431,1.0,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
TO,landing_region_0701::landing_region_0903,landing_region_0701 -> landing_region_0903,1.0,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
TW,landing_region_0266::landing_region_0719,landing_region_0266 -> landing_region_0719,41.0,41,41,41,41,13,0.5694444444444444,1,True,False,False,0.0,41.0
TW,landing_region_0719::landing_region_0719,landing_region_0719 -> landing_region_0719,13.5,15,15,7,7,4,0.1875,2,False,True,False,13.5,0.0
TW,landing_region_0719::landing_region_1011,landing_region_0719 -> landing_region_1011,8.0,10,10,9,9,6,0.1111111111111111,3,False,False,True,8.0,0.0
TW,landing_region_0196::landing_region_0719,landing_region_0196 -> landing_region_0719,2.1666666666666665,6,6,6,6,4,0.03009259259259259,4,False,False,False,2.1666666666666665,0.0
TW,landing_region_0132::landing_region_0719,landing_region_0132 -> landing_region_0719,2.0,2,2,2,2,2,0.027777777777777776,5,False,False,False,0.0,2.0
