country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8966->36236,as_transition,2,2,0.6666666666666666,1,True,False,False,False,3,2,1,2,0
AE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8966->8966,as_transition,1,1,0.3333333333333333,2,False,True,False,False,3,2,1,1,0
AL,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6939->6939,as_transition,4,4,1.0,1,True,False,False,False,4,2,2,0,4
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,1221->1221,as_transition,64,64,0.5,1,True,False,False,False,128,50,28,64,0
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,-1->-1,as_transition,18,18,0.140625,2,False,True,False,False,128,50,28,18,0
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,136557->136557,as_transition,10,10,0.078125,3,False,False,True,False,128,50,28,10,0
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,134697->134697,as_transition,6,6,0.046875,4,False,False,False,False,128,50,28,6,0
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7575->7575,as_transition,4,4,0.03125,5,False,False,False,False,128,50,28,4,0
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7545->7545,as_transition,3,3,0.0234375,6,False,False,False,False,128,50,28,3,0
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,18390->18390,as_transition,2,2,0.015625,7,False,False,False,False,128,50,28,2,0
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,-1->7545,as_transition,2,2,0.015625,8,False,False,False,False,128,50,28,2,0
