country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1,8966->36236,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,128,7,97,24,0.0546875,0.7578125,0.1875,4,63956->36236,0.2857142857142857,0.5714285714285714,0.8571428571428571,3.8643132978583434,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
BH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,5416->36236,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0
BR,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7,4,0,3,0.5714285714285714,0.0,0.42857142857142855,2,4230->3549,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
CA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,97,63,34,0,0.6494845360824743,0.35051546391752575,0.0,3,852->3257,0.9523809523809523,0.9841269841269841,1.0,1.2482646171547034,severe_as_boundary_transition_concentration,True,auditable,33,4
CN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,11,11,0,0,1.0,0.0,0.0,1,9808->58453,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",7,2
CO,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9,4,5,0,0.4444444444444444,0.5555555555555556,0.0,2,13489->6762,0.75,1.0,1.0,1.7547653506033232,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
CV,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,37575->6939,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CW,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,13,4,9,0,0.3076923076923077,0.6923076923076923,0.0,1,23520->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1
CY,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,1,5504->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
DK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,22,16,2,4,0.7272727272727273,0.09090909090909091,0.18181818181818182,2,2603->1299,0.75,1.0,1.0,1.7547653506033232,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",8,5
EE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,49,8,41,0,0.16326530612244897,0.8367346938775511,0.0,1,2586->6667,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2
FI,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,146,12,130,4,0.0821917808219178,0.8904109589041096,0.0273972602739726,2,719->6667,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",6,2
FJ,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6,2,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,24390->7575,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
HK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7,1,6,0,0.14285714285714285,0.8571428571428571,0.0,1,30058->5580,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
HN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,19,12,7,0,0.631578947368421,0.3684210526315789,0.0,2,263725->54082,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,4
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,15,17451->6453,0.1794871794871795,0.33333333333333337,0.4358974358974359,12.692309886937892,broad_as_boundary_transition_distribution,True,auditable,20,15
IN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,139,65,66,8,0.4676258992805755,0.4748201438848921,0.05755395683453238,2,9498->36236,0.9846153846153847,1.0,1.0,1.0827314873966858,severe_as_boundary_transition_concentration,True,auditable,49,21
KY,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,36549->3855,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
LK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17,4,13,0,0.23529411764705882,0.7647058823529411,0.0,3,17470->15412,0.5,0.75,1.0,2.82842712474619,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",3,3
MT,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,4,0,0,1.0,0.0,0.0,1,15735->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
MV,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,24016->45489,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
MX,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,4,0,0,1.0,0.0,0.0,1,265539->23520,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
NC,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,10,10,0,0,1.0,0.0,0.0,1,18200->36236,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2
NG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,22,1,20,1,0.045454545454545456,0.9090909090909091,0.045454545454545456,1,36937->30844,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
NO,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,81,6,75,0,0.07407407407407407,0.9259259259259259,0.0,2,49409->57829,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
NU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,55885->38800,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0
NZ,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,219,19,174,26,0.0867579908675799,0.7945205479452054,0.1187214611872146,4,9500->36236,0.3684210526315789,0.6842105263157894,0.894736842105263,3.657908838077672,weak_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,12,6
PA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,11556->23520,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,36,22,14,0,0.6111111111111112,0.3888888888888889,0.0,1,3356->3549,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,11,5
PG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,17828->36236,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,72,7,65,0,0.09722222222222222,0.9027777777777778,0.0,4,137818->132021,0.2857142857142857,0.5714285714285714,0.8571428571428571,3.8643132978583434,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,4
PR,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,2,5786->20080,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
PT,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,2860->6453,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PW,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,17893->140627,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
SE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,378,2,376,0,0.005291005291005291,0.9947089947089947,0.0,1,8434->29518,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0
SG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,242,18,193,31,0.0743801652892562,0.7975206611570248,0.128099173553719,6,58453->3491,0.3333333333333333,0.6666666666666666,0.7777777777777777,4.673147082971281,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,11,8
SL,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,329109->60171,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
SN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,8346->6453,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
TW,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,129,5,41,83,0.03875968992248062,0.3178294573643411,0.6434108527131783,2,18041->7539,0.6,1.0,1.0,1.9601317042077895,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2
US,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,88,6,79,3,0.06818181818181818,0.8977272727272727,0.03409090909090909,2,36149->40300,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
VN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,7552->2914,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
ZA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,37529->6939,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
