probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8966->36236,as_transition,2,2,0.6666666666666666,1,True,False,False,False,3,2,1,2,0
AE,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8966->8966,as_transition,1,1,0.3333333333333333,2,False,True,False,False,3,2,1,1,0
AE,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8966->36236,as_transition,2,2,0.6666666666666666,1,True,False,False,False,3,2,1,2,0
AE,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8966->8966,as_transition,1,1,0.3333333333333333,2,False,True,False,False,3,2,1,1,0
AL,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6939->6939,as_transition,4,4,1.0,1,True,False,False,False,4,2,2,0,4
AL,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6939->6939,as_transition,4,4,1.0,1,True,False,False,False,4,2,2,0,4
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,1221->1221,as_transition,56,56,0.5490196078431373,1,True,False,False,False,102,41,25,56,0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,-1->-1,as_transition,15,15,0.14705882352941177,2,False,True,False,False,102,41,25,15,0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,134697->134697,as_transition,6,6,0.058823529411764705,3,False,False,True,False,102,41,25,6,0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7575->7575,as_transition,4,4,0.0392156862745098,4,False,False,False,False,102,41,25,4,0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7545->7545,as_transition,3,3,0.029411764705882353,5,False,False,False,False,102,41,25,3,0
