country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,2,15169->-1,0.8,1.0,1.0,1.6493848884661177,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1.0,0.0
AU,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,190,28,-1->-1,0.18947368421052632,0.35789473684210527,0.5157894736842106,14.029819375872814,broad_network_transition_distribution,0.0,True,True,auditable,,72,34,0.8368421052631579,0.1631578947368421
AX,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BR,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,3,3549->3356,0.4,0.8,1.0,2.8717458874925876,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.6,0.4
CA,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,20,4,6327->6327,0.7,0.7999999999999999,0.8999999999999999,2.561128517887139,weak_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,4,0.0,1.0
CM,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3,2,17816->4837,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1.0,0.0
CO,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,8,3,23520->23520,0.5,0.75,1.0,2.82842712474619,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,4,0.0,1.0
CV,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,37575->8657,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CW,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,2,23520->23520,0.8,1.0,1.0,1.6493848884661177,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.0,1.0
CY,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,7,2,5504->1299,0.5714285714285714,1.0,1.0,1.9796263300525183,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0
DK,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,73,7,31027->-1,0.3287671232876712,0.547945205479452,0.7123287671232876,5.297072914115781,broad_network_transition_distribution,0.0,True,True,auditable,,37,17,0.0,1.0
DO,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,8,3,64126->-1,0.5,0.75,1.0,2.82842712474619,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.0,1.0
EE,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,12,2,1257->1257,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,4,0.0,1.0
ES,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3,2,3352->3352,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,1.0,0.0
FI,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,49,8,1299->1299,0.24489795918367346,0.4489795918367347,0.6122448979591837,6.773049069953721,broad_network_transition_distribution,0.0,True,True,auditable,,23,10,0.42857142857142855,0.5714285714285714
FJ,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,2,9241->-1,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
GH,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,37468->37468,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GP,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,21351->21351,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GQ,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1,1,37529->37529,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
