probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
IE,B-Root,dns_root,anycast,all_publicly_visible,92,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9782608695652174,88,25,1,1,0.0,True,True,auditable,,probe_country_service
IL,B-Root,dns_root,anycast,all_publicly_visible,32,32,18,0.5625,0.5625,0.21875,0.0,0.21875,0.53125,18,0.5625,1.0,29,12,1,1,0.0,True,True,auditable,,probe_country_service
IN,B-Root,dns_root,anycast,all_publicly_visible,141,122,105,0.7446808510638298,0.7446808510638298,0.4397163120567376,0.07092198581560284,0.3900709219858156,0.6312056737588653,105,0.7446808510638298,0.8652482269503546,135,59,1,1,0.0,True,True,auditable,,probe_country_service
IR,B-Root,dns_root,anycast,all_publicly_visible,46,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.4782608695652174,44,22,1,1,0.0,True,True,auditable,,probe_country_service
IT,B-Root,dns_root,anycast,all_publicly_visible,319,303,3,0.009404388714733543,0.009404388714733543,0.009404388714733543,0.006269592476489028,0.006269592476489028,0.0,3,0.009404388714733543,0.9498432601880877,306,102,1,1,0.0,True,True,auditable,,probe_country_service
JP,B-Root,dns_root,anycast,all_publicly_visible,234,222,17,0.07264957264957266,0.07264957264957266,0.004273504273504274,0.004273504273504274,0.0,0.06837606837606838,17,0.07264957264957266,0.9487179487179487,223,99,1,1,0.0,True,True,auditable,,probe_country_service
KZ,B-Root,dns_root,anycast,all_publicly_visible,56,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,52,20,1,1,0.0,True,True,auditable,,probe_country_service
LT,B-Root,dns_root,anycast,all_publicly_visible,38,36,1,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,1,0.02631578947368421,0.9473684210526315,36,21,1,1,0.0,True,True,auditable,,probe_country_service
LU,B-Root,dns_root,anycast,all_publicly_visible,39,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9487179487179487,38,20,1,1,0.0,True,True,auditable,,probe_country_service
LV,B-Root,dns_root,anycast,all_publicly_visible,34,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,30,19,1,1,0.0,True,True,auditable,,probe_country_service
MX,B-Root,dns_root,anycast,all_publicly_visible,45,43,5,0.1111111111111111,0.1111111111111111,0.06666666666666667,0.0,0.06666666666666667,0.044444444444444446,5,0.1111111111111111,0.9555555555555556,43,22,1,1,0.0,True,True,auditable,,probe_country_service
MY,B-Root,dns_root,anycast,all_publicly_visible,33,30,17,0.5151515151515151,0.5151515151515151,0.030303030303030304,0.0,0.030303030303030304,0.5151515151515151,17,0.5151515151515151,0.9090909090909091,33,18,1,1,0.0,True,True,auditable,,probe_country_service
NA,B-Root,dns_root,anycast,all_publicly_visible,1845,1717,347,0.1880758807588076,0.1880758807588076,0.1002710027100271,0.03197831978319783,0.08130081300813008,0.13983739837398373,347,0.1880758807588076,0.9306233062330623,1744,4,1,1,0.0,True,True,auditable,,probe_country_service
NL,B-Root,dns_root,anycast,all_publicly_visible,604,580,4,0.006622516556291391,0.006622516556291391,0.0,0.0,0.0,0.006622516556291391,4,0.006622516556291391,0.9602649006622517,574,159,1,1,0.0,True,True,auditable,,probe_country_service
NO,B-Root,dns_root,anycast,all_publicly_visible,93,87,78,0.8387096774193549,0.8387096774193549,0.45161290322580644,0.3978494623655914,0.053763440860215055,0.6021505376344086,78,0.8387096774193549,0.9354838709677419,87,32,1,1,0.0,True,True,auditable,,probe_country_service
NZ,B-Root,dns_root,anycast,all_publicly_visible,103,90,82,0.7961165048543689,0.7961165048543689,0.5922330097087378,0.44660194174757284,0.4563106796116505,0.7669902912621359,82,0.7961165048543689,0.8737864077669902,98,32,1,1,0.0,True,True,auditable,,probe_country_service
PH,B-Root,dns_root,anycast,all_publicly_visible,60,56,48,0.8,0.8,0.7,0.08333333333333333,0.6833333333333333,0.6333333333333333,48,0.8,0.9333333333333333,59,33,1,1,0.0,True,True,auditable,,probe_country_service
PL,B-Root,dns_root,anycast,all_publicly_visible,210,200,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9523809523809523,202,119,1,1,0.0,True,True,auditable,,probe_country_service
PT,B-Root,dns_root,anycast,all_publicly_visible,98,93,77,0.7857142857142857,0.7857142857142857,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.7755102040816326,77,0.7857142857142857,0.9489795918367347,94,21,1,1,0.0,True,True,auditable,,probe_country_service
RE,B-Root,dns_root,anycast,all_publicly_visible,37,37,19,0.5135135135135135,0.5135135135135135,0.02702702702702703,0.0,0.02702702702702703,0.4864864864864865,19,0.5135135135135135,1.0,36,4,1,1,0.0,True,True,auditable,,probe_country_service
RO,B-Root,dns_root,anycast,all_publicly_visible,87,86,1,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.0,1,0.011494252873563218,0.9885057471264368,81,43,1,1,0.0,True,True,auditable,,probe_country_service
