probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AD,A-Root,dns_root,anycast,2,2,0,0.0,1.0,2,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AE,A-Root,dns_root,anycast,16,11,4,0.25,0.6875,16,12,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AF,A-Root,dns_root,anycast,5,5,4,0.8,1.0,5,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,A-Root,dns_root,anycast,16,15,1,0.0625,0.9375,16,11,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AM,A-Root,dns_root,anycast,11,11,0,0.0,1.0,11,5,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AO,A-Root,dns_root,anycast,7,7,0,0.0,1.0,7,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AR,A-Root,dns_root,anycast,40,31,0,0.0,0.775,40,34,1,1,0.0,True,True,auditable,,probe_country_service
AT,A-Root,dns_root,anycast,149,147,1,0.006711409395973154,0.9865771812080537,149,68,1,1,0.0,True,True,auditable,,probe_country_service
AU,A-Root,dns_root,anycast,191,153,121,0.6335078534031413,0.8010471204188482,191,60,1,1,0.0,True,True,auditable,,probe_country_service
AX,A-Root,dns_root,anycast,2,2,2,1.0,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AZ,A-Root,dns_root,anycast,8,4,0,0.0,0.5,8,7,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BA,A-Root,dns_root,anycast,12,12,0,0.0,1.0,12,5,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
BD,A-Root,dns_root,anycast,8,7,5,0.625,0.875,8,5,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BE,A-Root,dns_root,anycast,115,110,0,0.0,0.9565217391304348,114,23,1,1,0.0,True,True,auditable,,probe_country_service
