landing_station_id,landing_station_name,landing_region_id,landing_region_label,latitude,longitude,region_assignment_method
anyer-indonesia,"Anyer, Indonesia",landing_region_0071,"Anyer, Indonesia",-6.073698462562994,105.88391035900133,geographic_connected_component
aogashima-japan,"Aogashima, Japan",landing_region_0072,"Aogashima, Japan",32.45723123281979,139.76561090792202,geographic_connected_component
apia-samoa,"Apia, Samoa",landing_region_0073,"Apia, Samoa",-13.83367556515764,-171.7666841189259,geographic_connected_component
aqaba-jordan,"Aqaba, Jordan",landing_region_0074,"Aqaba, Jordan",29.581029499999897,35.005095000000225,geographic_connected_component
aracaj-brazil,"Aracajú, Brazil",landing_region_0075,"Aracajú, Brazil",-10.909604310398228,-37.07480184426858,geographic_connected_component
arawa-papua-new-guinea,"Arawa, Papua New Guinea",landing_region_0076,"Arawa, Papua New Guinea",-6.225626589587894,155.56781070933528,geographic_connected_component
archirondel-jersey,"Archirondel, Jersey",landing_region_0077,"Archirondel, Jersey",49.22527885088672,-2.021311051490342,geographic_connected_component
ardbeg-point-united-kingdom,"Ardbeg Point, United Kingdom",landing_region_0007,"Achnaba, United Kingdom",55.858590024607395,-5.063594052558523,geographic_connected_component
ardgour-united-kingdom,"Ardgour, United Kingdom",landing_region_0007,"Achnaba, United Kingdom",56.72156793829049,-5.233662291455637,geographic_connected_component
ardmair-united-kingdom,"Ardmair, United Kingdom",landing_region_0078,"Ardmair, United Kingdom",57.93407860444327,-5.196211146111312,geographic_connected_component
ardnacross-united-kingdom,"Ardnacross, United Kingdom",landing_region_0007,"Achnaba, United Kingdom",55.476548995475824,-5.533417938480915,geographic_connected_component
ardneil-bay-united-kingdom,"Ardneil Bay, United Kingdom",landing_region_0007,"Achnaba, United Kingdom",55.693046380984796,-4.889375425976623,geographic_connected_component
ardvasar-united-kingdom,"Ardvasar, United Kingdom",landing_region_0007,"Achnaba, United Kingdom",57.059371673818994,-5.906464549211167,geographic_connected_component
ardyne-point-united-kingdom,"Ardyne Point, United Kingdom",landing_region_0007,"Achnaba, United Kingdom",55.86941315469073,-5.019990567822677,geographic_connected_component
arendal-norway,"Arendal, Norway",landing_region_0079,"Arendal, Norway",58.470047,8.758665999999655,geographic_connected_component
arica-chile,"Arica, Chile",landing_region_0080,"Arica, Chile",-18.473810108334412,-70.30671189622174,geographic_connected_component
arrecife-canary-islands-spain,"Arrecife, Canary Islands, Spain",landing_region_0081,"Arrecife, Canary Islands, Spain",28.959510000000208,-13.547600000000134,geographic_connected_component
arutua-french-polynesia,"Arutua, French Polynesia",landing_region_0082,"Arutua, French Polynesia",-15.289899868101953,-146.78615295672594,geographic_connected_component
ashkelon-israel,"Ashkelon, Israel",landing_region_0083,"Ashkelon, Israel",31.669509999999626,34.55601100000069,geographic_connected_component
asilah-morocco,"Asilah, Morocco",landing_region_0084,"Asilah, Morocco",35.47077689497444,-6.03576133261609,geographic_connected_component
