metric,value
candidate_rows,10709.0
unique_links,2062.0
unique_units,66.0
units_with_network_layer_diversity,104.0
units_with_physical_diversity_cable,66.0
units_with_physical_diversity_corridor,66.0
units_with_network_physical_mismatch_cable,66.0
units_with_network_physical_mismatch_corridor,66.0
median_network_layer_diversity_score,4.601957419432001
median_cable_physical_candidate_diversity_score,2.690333844779714
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,10.0
cable_mismatch_network_high_physical_high,23.0
cable_mismatch_network_low_physical_low,23.0
cable_mismatch_network_low_physical_high,10.0
corridor_mismatch_network_high_physical_low,11.0
corridor_mismatch_network_high_physical_high,22.0
corridor_mismatch_network_low_physical_low,25.0
corridor_mismatch_network_low_physical_high,8.0
cable_corridor_target_quadrant_preserved,5.0
cable_corridor_target_quadrant_jaccard,0.3125
cable_corridor_target_quadrant_recall_from_cable,0.5
cable_corridor_target_quadrant_precision_to_corridor,0.45454545454545453
mean_corridor_minus_cable_physical_diversity,-1.6848629711980339
cable_corridor_quadrant_agreement_rate,0.7121212121212122
spearman_cable_corridor_physical_diversity_score,0.5614242198032381
