probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
GR,J-Root,dns_root,anycast,all_publicly_visible,146,86,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.589041095890411,73,26,1,1,0.0,True,True,auditable,,probe_country_service
HK,J-Root,dns_root,anycast,all_publicly_visible,98,86,83,0.8469387755102041,0.8469387755102041,0.3673469387755102,0.0,0.3673469387755102,0.8367346938775511,83,0.8469387755102041,0.8775510204081632,49,32,1,1,0.0,True,True,auditable,,probe_country_service
HR,J-Root,dns_root,anycast,all_publicly_visible,84,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7380952380952381,42,20,1,1,0.0,True,True,auditable,,probe_country_service
HU,J-Root,dns_root,anycast,all_publicly_visible,110,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9272727272727272,55,23,1,1,0.0,True,True,auditable,,probe_country_service
ID,J-Root,dns_root,anycast,all_publicly_visible,154,144,116,0.7532467532467533,0.7532467532467533,0.42857142857142855,0.3246753246753247,0.1038961038961039,0.6298701298701299,116,0.7532467532467533,0.935064935064935,77,57,1,1,0.0,True,True,auditable,,probe_country_service
IE,J-Root,dns_root,anycast,all_publicly_visible,176,139,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7897727272727273,88,25,1,1,0.0,True,True,auditable,,probe_country_service
IL,J-Root,dns_root,anycast,all_publicly_visible,60,54,52,0.8666666666666667,0.8666666666666667,0.0,0.0,0.0,0.8666666666666667,52,0.8666666666666667,0.9,30,12,1,1,0.0,True,True,auditable,,probe_country_service
IN,J-Root,dns_root,anycast,all_publicly_visible,271,166,12,0.04428044280442804,0.04428044280442804,0.03690036900369004,0.025830258302583026,0.01107011070110701,0.014760147601476014,12,0.04428044280442804,0.6125461254612546,135,59,1,1,0.0,True,True,auditable,,probe_country_service
IR,J-Root,dns_root,anycast,all_publicly_visible,88,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.38636363636363635,44,22,1,1,0.0,True,True,auditable,,probe_country_service
IT,J-Root,dns_root,anycast,all_publicly_visible,607,435,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7166392092257001,305,101,1,1,0.0,True,True,auditable,,probe_country_service
JP,J-Root,dns_root,anycast,all_publicly_visible,450,403,15,0.03333333333333333,0.03333333333333333,0.008888888888888889,0.0,0.008888888888888889,0.024444444444444446,15,0.03333333333333333,0.8955555555555555,224,99,1,1,0.0,True,True,auditable,,probe_country_service
KE,J-Root,dns_root,anycast,all_publicly_visible,30,28,15,0.5,0.5,0.2,0.0,0.2,0.3,15,0.5,0.9333333333333333,15,10,1,1,0.0,True,True,auditable,,probe_country_service
KG,J-Root,dns_root,anycast,all_publicly_visible,40,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9,20,13,1,1,0.0,True,True,auditable,,probe_country_service
KR,J-Root,dns_root,anycast,all_publicly_visible,44,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6363636363636364,22,12,1,1,0.0,True,True,auditable,,probe_country_service
KZ,J-Root,dns_root,anycast,all_publicly_visible,107,93,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8691588785046729,54,20,1,1,0.0,True,True,auditable,,probe_country_service
LT,J-Root,dns_root,anycast,all_publicly_visible,72,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8333333333333334,36,21,1,1,0.0,True,True,auditable,,probe_country_service
LU,J-Root,dns_root,anycast,all_publicly_visible,74,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.4864864864864865,37,20,1,1,0.0,True,True,auditable,,probe_country_service
LV,J-Root,dns_root,anycast,all_publicly_visible,60,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.75,30,19,1,1,0.0,True,True,auditable,,probe_country_service
MD,J-Root,dns_root,anycast,all_publicly_visible,50,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.92,25,15,1,1,0.0,True,True,auditable,,probe_country_service
MX,J-Root,dns_root,anycast,all_publicly_visible,83,74,4,0.04819277108433735,0.04819277108433735,0.04819277108433735,0.0,0.04819277108433735,0.0,4,0.04819277108433735,0.891566265060241,43,22,1,1,0.0,True,True,auditable,,probe_country_service
MY,J-Root,dns_root,anycast,all_publicly_visible,66,44,22,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.07575757575757576,0.09090909090909091,0.24242424242424243,22,0.3333333333333333,0.6666666666666666,33,18,1,1,0.0,True,True,auditable,,probe_country_service
NA,J-Root,dns_root,anycast,all_publicly_visible,3494,2915,425,0.12163709215798511,0.12163709215798511,0.06010303377218088,0.02575844304522038,0.03692043503148254,0.10045792787635947,425,0.12163709215798511,0.8342873497424156,1747,4,1,1,0.0017172295363480253,True,True,auditable,,probe_country_service
NL,J-Root,dns_root,anycast,all_publicly_visible,1151,949,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8245004344048653,576,159,1,1,0.0,True,True,auditable,,probe_country_service
NO,J-Root,dns_root,anycast,all_publicly_visible,178,165,136,0.7640449438202247,0.7640449438202247,0.29213483146067415,0.29213483146067415,0.0,0.6235955056179775,136,0.7640449438202247,0.9269662921348315,89,33,1,1,0.0,True,True,auditable,,probe_country_service
NZ,J-Root,dns_root,anycast,all_publicly_visible,196,179,175,0.8928571428571429,0.8928571428571429,0.8418367346938775,0.32142857142857145,0.8163265306122449,0.8928571428571429,175,0.8928571428571429,0.9132653061224489,98,32,1,1,0.0,True,True,auditable,,probe_country_service
