dataset_family,unit_count,median_top2_network_transition_share,median_top2_corridor_share,median_top2_corridor_minus_network_shift,median_network_transition_normalized_entropy,median_corridor_normalized_entropy,median_normalized_entropy_reduction,median_effective_network_transition_count,median_effective_corridor_count
DNS Roots,169,0.5454545454545454,0.8709677419354839,0.2442922374429224,0.7665050239233566,0.5648469056871313,0.16045917935701248,6.857947571711657,2.706108790209929
Applications,43,0.4621848739495798,0.8920110192837466,0.3405128205128205,0.7795019758860524,0.5680230349059107,0.20089413310153514,7.565418066851151,2.2931748431633987
Topology references,83,0.2884615384615385,0.514218009478673,0.2395209580838324,0.8572383814909187,0.698515173018585,0.15844893437004648,22.67137989121888,10.446242405972017
