probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AD,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,3,3,1,0.3333333333333333,1.0,3,1,3,3,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AE,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,20,18,6,0.3,0.9,20,14,19,19,0.55,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AF,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,8,8,3,0.375,1.0,6,2,7,7,0.875,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,23,21,3,0.13043478260869565,0.9130434782608695,23,14,23,22,0.6956521739130435,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AM,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,14,14,2,0.14285714285714285,1.0,14,7,14,14,0.6428571428571429,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AO,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,9,9,4,0.4444444444444444,1.0,9,4,9,9,0.7777777777777778,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
AR,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,49,48,13,0.2653061224489796,0.9795918367346939,48,38,49,46,0.46938775510204084,True,True,auditable,,probe_country_service
AT,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,210,203,41,0.19523809523809524,0.9666666666666667,205,81,205,180,0.5619047619047619,True,True,auditable,,probe_country_service
AU,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,246,221,163,0.6626016260162602,0.8983739837398373,240,71,245,222,0.5203252032520326,True,True,auditable,,probe_country_service
AX,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,2,2,2,1.0,1.0,2,2,2,2,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AZ,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,9,7,2,0.2222222222222222,0.7777777777777778,9,8,9,8,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BA,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,15,13,5,0.3333333333333333,0.8666666666666667,15,6,15,15,0.4666666666666667,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
BB,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,1,1,1,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BD,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,10,10,2,0.2,1.0,9,6,10,9,0.6,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BE,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,152,148,19,0.125,0.9736842105263158,146,25,151,140,0.5592105263157895,True,True,auditable,,probe_country_service
BF,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,4,3,1,0.25,0.75,4,3,4,4,0.25,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BG,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,84,82,18,0.21428571428571427,0.9761904761904762,83,51,83,75,0.5595238095238095,True,True,auditable,,probe_country_service
