metric,value
candidate_rows,15448.0
unique_links,3209.0
unique_units,122.0
units_with_network_layer_diversity,160.0
units_with_physical_diversity_cable,122.0
units_with_physical_diversity_corridor,122.0
units_with_network_physical_mismatch_cable,122.0
units_with_network_physical_mismatch_corridor,122.0
median_network_layer_diversity_score,7.320948539207517
median_cable_physical_candidate_diversity_score,5.833183841280768
median_corridor_physical_candidate_diversity_score,2.7889431993716975
cable_mismatch_network_high_physical_low,11.0
cable_mismatch_network_high_physical_high,50.0
cable_mismatch_network_low_physical_low,50.0
cable_mismatch_network_low_physical_high,11.0
corridor_mismatch_network_high_physical_low,11.0
corridor_mismatch_network_high_physical_high,50.0
corridor_mismatch_network_low_physical_low,50.0
corridor_mismatch_network_low_physical_high,11.0
cable_corridor_target_quadrant_preserved,4.0
cable_corridor_target_quadrant_jaccard,0.2222222222222222
cable_corridor_target_quadrant_recall_from_cable,0.36363636363636365
cable_corridor_target_quadrant_precision_to_corridor,0.36363636363636365
mean_corridor_minus_cable_physical_diversity,-3.388927940346737
cable_corridor_quadrant_agreement_rate,0.7704918032786885
spearman_cable_corridor_physical_diversity_score,0.7764104240636657
