mapping_resolution_state,atomic_segment_count,atomic_segment_share,rtt_conclusive_segments,rtt_inconclusive_segments,rtt_conclusive_share,rtt_inconclusive_share,insufficiently_resolved_traces,total_valid_traces,interpretation
uniquely_resolved,3552,0.026647861119030114,2437,1115,0.6860923423423423,0.31390765765765766,701,13775,exactly one feasible inter-region corridor candidate
bounded_candidate_set,3011,0.02258916380332198,1958,1053,0.6502822982397874,0.34971770176021255,701,13775,two or more feasible inter-region corridor candidates retained
no_matched_corridor,101170,0.7589989046768797,73177,27993,0.723307304536918,0.27669269546308195,701,13775,sufficient atomic segment with no feasible inter-region corridor candidate
insufficiently_resolved,25561,0.19176407040076823,20558,5003,0.8042721333281171,0.19572786667188294,701,13775,atomic segment lacks required country-level resolution
