feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,1369,0.7122788761706556
3,345,0.17950052029136315
4,74,0.03850156087408949
5,46,0.023933402705515087
6,14,0.007284079084287201
7,2,0.001040582726326743
8,4,0.002081165452653486
10,18,0.009365244536940686
11,2,0.001040582726326743
12,44,0.022892819979188347
14,1,0.0005202913631633715
21,3,0.0015608740894901144
