probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
IN,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,156,136,56,0.358974358974359,0.358974358974359,0.358974358974359,0.21153846153846154,0.23717948717948717,0.1987179487179487,56,0.358974358974359,0.8717948717948718,150,63,150,141,0.5064102564102564,True,0.13541666666666666,True,True,auditable,
SE,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,132,132,46,0.3484848484848485,0.5,0.3484848484848485,0.25,0.12878787878787878,0.30303030303030304,46,0.3484848484848485,1.0,131,57,129,120,1.0,True,0.02857142857142857,True,True,auditable,
IN,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,79,79,27,0.34177215189873417,0.34177215189873417,0.34177215189873417,0.24050632911392406,0.20253164556962025,0.22784810126582278,27,0.34177215189873417,1.0,79,40,78,76,1.0,True,0.09090909090909091,True,True,auditable,
CA,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,180,180,57,0.31666666666666665,0.3888888888888889,0.31666666666666665,0.24444444444444444,0.2,0.29444444444444445,57,0.31666666666666665,1.0,178,65,177,162,1.0,True,0.11570247933884298,True,True,auditable,
HK,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,71,63,22,0.30985915492957744,0.7183098591549296,0.30985915492957744,0.16901408450704225,0.18309859154929578,0.6619718309859155,22,0.30985915492957744,0.8873239436619719,66,40,70,67,0.4788732394366197,True,0.07894736842105263,True,True,auditable,
CA,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,317,305,94,0.29652996845425866,0.35962145110410093,0.29652996845425866,0.2302839116719243,0.19242902208201892,0.27129337539432175,94,0.29652996845425866,0.9621451104100947,310,96,311,280,0.5678233438485805,True,0.14354066985645933,True,True,auditable,
RU,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,279,279,73,0.2616487455197133,0.3046594982078853,0.2616487455197133,0.14336917562724014,0.15770609318996415,0.12186379928315412,73,0.2616487455197133,1.0,274,194,277,244,1.0,True,0.01020408163265306,True,True,auditable,
ZA,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,136,133,34,0.25,0.3088235294117647,0.25,0.058823529411764705,0.21323529411764705,0.14705882352941177,34,0.25,0.9779411764705882,132,71,133,129,0.5808823529411765,True,0.05555555555555555,True,True,auditable,
RU,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,531,511,125,0.23540489642184556,0.2768361581920904,0.23540489642184556,0.1374764595103578,0.12994350282485875,0.12617702448210924,125,0.23540489642184556,0.9623352165725048,516,308,515,441,0.5254237288135594,True,0.012048192771084338,True,True,auditable,
PT,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,107,99,25,0.2336448598130841,0.5887850467289719,0.2336448598130841,0.09345794392523364,0.19626168224299065,0.5420560747663551,25,0.2336448598130841,0.9252336448598131,104,23,104,98,0.4485981308411215,True,0.029411764705882353,True,True,auditable,
ES,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,130,130,25,0.19230769230769232,0.3,0.19230769230769232,0.08461538461538462,0.16153846153846155,0.2230769230769231,25,0.19230769230769232,1.0,126,46,130,116,1.0,True,0.020833333333333332,True,True,auditable,
JP,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,165,165,31,0.18787878787878787,0.2787878787878788,0.18787878787878787,0.12121212121212122,0.09696969696969697,0.20606060606060606,31,0.18787878787878787,1.0,161,83,165,146,1.0,True,0.0,True,True,auditable,
ES,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,258,240,48,0.18604651162790697,0.26356589147286824,0.18604651162790697,0.07364341085271318,0.15891472868217055,0.16666666666666666,48,0.18604651162790697,0.9302325581395349,249,78,255,228,0.5038759689922481,True,0.023255813953488372,True,True,auditable,
DK,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,111,106,20,0.18018018018018017,0.7117117117117117,0.18018018018018017,0.14414414414414414,0.09009009009009009,0.6576576576576577,20,0.18018018018018017,0.954954954954955,110,36,109,105,0.5495495495495496,True,0.03125,True,True,auditable,
IE,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,103,99,18,0.17475728155339806,0.1941747572815534,0.17475728155339806,0.06796116504854369,0.13592233009708737,0.10679611650485436,18,0.17475728155339806,0.9611650485436893,100,27,102,96,0.6310679611650486,True,0.0,True,True,auditable,
US,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,1112,1112,170,0.1528776978417266,0.2607913669064748,0.1528776978417266,0.11510791366906475,0.06115107913669065,0.20053956834532374,170,0.1528776978417266,1.0,1094,345,1097,762,1.0,True,0.0975609756097561,True,True,auditable,
IT,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,208,208,31,0.14903846153846154,0.22596153846153846,0.14903846153846154,0.057692307692307696,0.11538461538461539,0.14423076923076922,31,0.14903846153846154,1.0,206,84,205,179,1.0,True,0.018518518518518517,True,True,auditable,
JP,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,298,274,43,0.14429530201342283,0.2483221476510067,0.14429530201342283,0.09060402684563758,0.0738255033557047,0.1912751677852349,43,0.14429530201342283,0.9194630872483222,287,116,295,252,0.5536912751677853,True,0.03278688524590164,True,True,auditable,
GB,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,326,326,47,0.1441717791411043,0.25153374233128833,0.1441717791411043,0.08588957055214724,0.09815950920245399,0.1901840490797546,47,0.1441717791411043,1.0,322,131,323,268,1.0,True,0.038461538461538464,True,True,auditable,
PL,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,126,126,18,0.14285714285714285,0.23015873015873015,0.14285714285714285,0.07142857142857142,0.0873015873015873,0.15079365079365079,18,0.14285714285714285,1.0,126,84,124,113,1.0,True,0.0,True,True,auditable,
US,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,1932,1844,267,0.13819875776397517,0.2360248447204969,0.13819875776397517,0.09989648033126294,0.05848861283643892,0.17701863354037267,267,0.13819875776397517,0.9544513457556936,1888,512,1905,1317,0.5755693581780539,True,0.10434782608695652,True,True,auditable,
UA,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,169,161,23,0.13609467455621302,0.1952662721893491,0.13609467455621302,0.10059171597633136,0.05325443786982249,0.14201183431952663,23,0.13609467455621302,0.9526627218934911,165,115,162,147,0.5798816568047337,True,0.03225806451612903,True,True,auditable,
IT,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,349,333,47,0.1346704871060172,0.20057306590257878,0.1346704871060172,0.05730659025787966,0.10888252148997135,0.12607449856733524,47,0.1346704871060172,0.9541547277936963,341,117,339,289,0.5959885386819485,True,0.024096385542168676,True,True,auditable,
AT,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,229,221,30,0.13100436681222707,0.2052401746724891,0.13100436681222707,0.08296943231441048,0.07423580786026202,0.16593886462882096,30,0.13100436681222707,0.9650655021834061,224,85,224,198,0.5545851528384279,True,0.019230769230769232,True,True,auditable,
NL,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,392,392,51,0.13010204081632654,0.20408163265306123,0.13010204081632654,0.09948979591836735,0.0663265306122449,0.15051020408163265,51,0.13010204081632654,1.0,388,127,387,320,1.0,True,0.00980392156862745,True,True,auditable,
NL,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,677,645,85,0.1255539143279173,0.1861152141802068,0.1255539143279173,0.0930576070901034,0.0620384047267356,0.13884785819793205,85,0.1255539143279173,0.9527326440177253,664,183,663,539,0.5790251107828656,True,0.018867924528301886,True,True,auditable,
PL,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,241,223,28,0.11618257261410789,0.1825726141078838,0.11618257261410789,0.06224066390041494,0.06224066390041494,0.12448132780082988,28,0.11618257261410789,0.9253112033195021,232,132,235,207,0.5228215767634855,True,0.0,True,True,auditable,
CZ,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,165,165,19,0.11515151515151516,0.15151515151515152,0.11515151515151516,0.06060606060606061,0.07272727272727272,0.10909090909090909,19,0.11515151515151516,1.0,163,70,163,141,1.0,True,0.08823529411764706,True,True,auditable,
FR,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,603,603,68,0.11276948590381426,0.1691542288557214,0.11276948590381426,0.0779436152570481,0.07296849087893864,0.14096185737976782,68,0.11276948590381426,1.0,598,122,592,476,1.0,True,0.007352941176470588,True,True,auditable,
GB,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,621,591,70,0.11272141706924316,0.18357487922705315,0.11272141706924316,0.061191626409017714,0.07729468599033816,0.1320450885668277,70,0.11272141706924316,0.9516908212560387,608,203,607,488,0.5249597423510467,True,0.043859649122807015,True,True,auditable,
FR,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,1090,1052,122,0.11192660550458716,0.1614678899082569,0.11192660550458716,0.06330275229357799,0.0798165137614679,0.12110091743119267,122,0.11192660550458716,0.9651376146788991,1068,178,1066,841,0.5532110091743119,True,0.037037037037037035,True,True,auditable,
CH,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,191,191,21,0.1099476439790576,0.24083769633507854,0.1099476439790576,0.05759162303664921,0.07853403141361257,0.19895287958115182,21,0.1099476439790576,1.0,185,59,183,159,1.0,True,0.08108108108108109,True,True,auditable,
CH,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,350,342,38,0.10857142857142857,0.2342857142857143,0.10857142857142857,0.06571428571428571,0.07142857142857142,0.18857142857142858,38,0.10857142857142857,0.9771428571428571,339,86,331,293,0.5457142857142857,True,0.07936507936507936,True,True,auditable,
DE,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,1023,1023,106,0.10361681329423265,0.17497556207233628,0.10361681329423265,0.06549364613880743,0.059628543499511244,0.1378299120234604,106,0.10361681329423265,1.0,1014,266,999,713,1.0,True,0.0213903743315508,True,True,auditable,
CZ,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,298,290,30,0.10067114093959731,0.13758389261744966,0.10067114093959731,0.06040268456375839,0.05704697986577181,0.09731543624161074,30,0.10067114093959731,0.9731543624161074,286,113,290,249,0.5536912751677853,True,0.07692307692307693,True,True,auditable,
DE,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,1840,1778,183,0.09945652173913043,0.16032608695652173,0.09945652173913043,0.06521739130434782,0.057065217391304345,0.12445652173913044,183,0.09945652173913043,0.966304347826087,1801,402,1780,1245,0.5559782608695653,True,0.04189944134078212,True,True,auditable,
