country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,18,6,12,0,0.3333333333333333,0.6666666666666666,0.0,1,8966->5384,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1
AU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,8,3,3,2,0.375,0.375,0.25,2,7699->4826,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
BJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,8,0,2,0.8,0.0,0.2,2,28683->174,0.75,1.0,1.0,1.7547653506033232,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
CA,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,4,6,0,0.4,0.6,0.0,1,852->13335,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
CV,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,37575->8657,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CW,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,5,2,3,0,0.4,0.6,0.0,1,23520->13335,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
FI,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,30,7,15,8,0.23333333333333334,0.5,0.26666666666666666,1,719->6667,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,1
HK,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6,2,3,1,0.3333333333333333,0.5,0.16666666666666666,1,21859->4229,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
HN,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,23520->13335,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
ID,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,19,2,8,9,0.10526315789473684,0.42105263157894735,0.47368421052631576,1,149728->58389,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
