country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,11,4,8966->8966,0.36363636363636365,0.6363636363636364,0.8181818181818181,3.827122360601961,weak_network_transition_concentration,3,8,0,0.2727272727272727,0.7272727272727273,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,0.7272727272727273,0.2727272727272727
AL,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,5,1,6939->6939,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,5,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,128,14,1221->1221,0.3828125,0.515625,0.625,8.066162464434104,broad_network_transition_distribution,12,99,17,0.09375,0.7734375,0.1328125,True,True,auditable,,42,19,1.0,0.0
AX,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,3,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,3,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BJ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6,2,28683->24691,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,3,3,0,0.5,0.5,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
BR,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,3,1,COUNTRY_FALLBACK:BR->BR,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,3,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,1,1.0,0.0
CA,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,115,10,852->2906,0.41739130434782606,0.6260869565217391,0.7478260869565218,5.740551821434603,broad_network_transition_distribution,54,53,8,0.46956521739130436,0.4608695652173913,0.06956521739130435,True,True,auditable,,53,15,0.0,1.0
CM,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,1,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,1,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4,2,45102->24400,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,3,0,1,0.75,0.0,0.25,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1.0,0.0
CO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,19,4,23520->23520,0.42105263157894735,0.6842105263157894,0.894736842105263,3.5985610150933045,weak_network_transition_concentration,9,10,0,0.47368421052631576,0.5263157894736842,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,8,0.0,1.0
CW,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,24,2,23520->23520,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,8,16,0,0.3333333333333333,0.6666666666666666,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,12,9,0.0,1.0
CY,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9,3,5504->1299,0.6666666666666666,0.8888888888888888,1.0,2.336573541485641,moderate_network_transition_concentration,7,2,0,0.7777777777777778,0.2222222222222222,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,0.0,1.0
DK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,18,3,COUNTRY_FALLBACK:DK->SE,0.5,0.8333333333333333,1.0,2.7494592739972052,moderate_network_transition_concentration,6,3,9,0.3333333333333333,0.16666666666666666,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",6,5,0.0,1.0
DO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,12,3,COUNTRY_FALLBACK:DO->US,0.5833333333333334,0.9166666666666667,1.0,2.4295213819663615,moderate_network_transition_concentration,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",6,6,0.0,1.0
EE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,96,7,1299->1299,0.3229166666666667,0.5625,0.71875,5.5673881816639765,broad_network_transition_distribution,18,74,4,0.1875,0.7708333333333334,0.041666666666666664,True,True,auditable,,39,19,0.0,1.0
ES,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,16,2,6453->6453,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0,16,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,4,0.25,0.75
FI,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,201,18,24940->24940,0.24875621890547264,0.46766169154228854,0.6069651741293532,9.691826554471236,broad_network_transition_distribution,20,148,33,0.09950248756218906,0.736318407960199,0.16417910447761194,True,True,auditable,,84,21,0.24875621890547264,0.7512437810945274
