probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,8529->8529,as_transition,2,2,0.3333333333333333,1,True,False,False,False,6,3,3,0,2
AE,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4637->4637,as_transition,2,2,0.3333333333333333,2,False,True,False,False,6,3,3,1,1
AE,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,8966->8966,as_transition,2,2,0.3333333333333333,3,False,False,True,False,6,3,3,2,0
AE,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,8529->8529,as_transition,2,2,0.3333333333333333,1,True,False,False,False,6,3,3,0,2
AE,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4637->4637,as_transition,2,2,0.3333333333333333,2,False,True,False,False,6,3,3,1,1
AE,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,8966->8966,as_transition,2,2,0.3333333333333333,3,False,False,True,False,6,3,3,2,0
AF,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,-1->2906,as_transition,6,6,1.0,1,True,False,False,False,6,2,1,0,6
AF,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,-1->2906,as_transition,6,6,1.0,1,True,False,False,False,6,2,1,0,6
AL,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6939->6939,as_transition,5,5,1.0,1,True,False,False,False,5,2,2,0,5
AL,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6939->6939,as_transition,5,5,1.0,1,True,False,False,False,5,2,2,0,5
