country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
GU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,7131->7131,as_transition,16,16,0.6956521739130435,1,True,False,False,False,23,9,4,0,16
GU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,3605->3605,as_transition,5,5,0.21739130434782608,2,False,True,False,False,23,9,4,0,5
GU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,140627->140627,as_transition,2,2,0.08695652173913043,3,False,False,True,False,23,9,4,0,2
HK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,58453->58453,as_transition,26,26,0.4406779661016949,1,True,False,False,False,59,28,20,0,26
HK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,58453->2906,as_transition,14,14,0.23728813559322035,2,False,True,False,False,59,28,20,0,14
HK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,174->-1,as_transition,12,12,0.2033898305084746,3,False,False,True,False,59,28,20,0,12
HK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,8888->8888,as_transition,3,3,0.05084745762711865,4,False,False,False,False,59,28,20,0,3
HK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,983->983,as_transition,2,2,0.03389830508474576,5,False,False,False,False,59,28,20,0,2
HK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6453->2906,as_transition,1,1,0.01694915254237288,6,False,False,False,False,59,28,20,0,1
HK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6453->6453,as_transition,1,1,0.01694915254237288,7,False,False,False,False,59,28,20,0,1
HN,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,263725->54082,as_transition,12,12,0.5217391304347826,1,True,False,False,False,23,9,6,0,12
HN,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23520->23520,as_transition,5,5,0.21739130434782608,2,False,True,False,False,23,9,6,0,5
HN,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,64150->54082,as_transition,4,4,0.17391304347826086,3,False,False,True,False,23,9,6,0,4
HN,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23520->2906,as_transition,2,2,0.08695652173913043,4,False,False,False,False,23,9,6,0,2
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,38158->38158,as_transition,21,21,0.14,1,True,False,False,False,150,54,39,21,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,-1->-1,as_transition,17,17,0.11333333333333333,2,False,True,False,False,150,54,39,0,17
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4800->4800,as_transition,15,15,0.1,3,False,False,True,False,150,54,39,15,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,7713->7713,as_transition,9,9,0.06,4,False,False,False,False,150,54,39,8,1
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23700->7632,as_transition,9,9,0.06,5,False,False,False,False,150,54,39,9,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,45296->-1,as_transition,6,6,0.04,6,False,False,False,False,150,54,39,0,6
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,136106->136106,as_transition,6,6,0.04,7,False,False,False,False,150,54,39,6,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,133815->45430,as_transition,6,6,0.04,8,False,False,False,False,150,54,39,0,6
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,-1->17451,as_transition,5,5,0.03333333333333333,9,False,False,False,False,150,54,39,5,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,149697->-1,as_transition,5,5,0.03333333333333333,10,False,False,False,False,150,54,39,5,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,131111->2906,as_transition,4,4,0.02666666666666667,11,False,False,False,False,150,54,39,0,4
