country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
AE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,8966->5384,3,1.0,1,True,False,False,11,3,8,0,0.2727272727272727,0.7272727272727273,0.0,1,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4804->7474,6,0.5,1,True,False,False,128,12,99,17,0.09375,0.7734375,0.1328125,4,3
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,38008->7578,3,0.25,2,False,True,False,128,12,99,17,0.09375,0.7734375,0.1328125,4,3
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,7699->4826,3,0.25,3,False,False,True,128,12,99,17,0.09375,0.7734375,0.1328125,4,3
BJ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,28683->24691,3,1.0,1,True,False,False,6,3,3,0,0.5,0.5,0.0,1,1
CA,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,852->2906,48,0.8888888888888888,1,True,False,False,115,54,53,8,0.46956521739130436,0.4608695652173913,0.06956521739130435,31,4
CA,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,208951->6939,3,0.05555555555555555,2,False,True,False,115,54,53,8,0.46956521739130436,0.4608695652173913,0.06956521739130435,31,4
CA,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,11260->6461,2,0.037037037037037035,3,False,False,True,115,54,53,8,0.46956521739130436,0.4608695652173913,0.06956521739130435,31,4
CA,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,11260->2906,1,0.018518518518518517,4,False,False,False,115,54,53,8,0.46956521739130436,0.4608695652173913,0.06956521739130435,31,4
CN,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,45102->24400,3,1.0,1,True,False,False,4,3,0,1,0.75,0.0,0.25,1,0
CO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23520->2906,5,0.5555555555555556,1,True,False,False,19,9,10,0,0.47368421052631576,0.5263157894736842,0.0,6,4
CO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,13489->6762,4,0.4444444444444444,2,False,True,False,19,9,10,0,0.47368421052631576,0.5263157894736842,0.0,6,4
CW,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23520->2906,8,1.0,1,True,False,False,24,8,16,0,0.3333333333333333,0.6666666666666666,0.0,5,4
CY,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,5504->1299,6,0.8571428571428571,1,True,False,False,9,7,2,0,0.7777777777777778,0.2222222222222222,0.0,3,1
CY,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6866->3491,1,0.14285714285714285,2,False,True,False,9,7,2,0,0.7777777777777778,0.2222222222222222,0.0,3,1
DK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9158->1299,6,1.0,1,True,False,False,18,6,3,9,0.3333333333333333,0.16666666666666666,0.5,2,2
DO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23520->2906,1,1.0,1,True,False,False,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,1,1
EE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,2586->6667,12,0.6666666666666666,1,True,False,False,96,18,74,4,0.1875,0.7708333333333334,0.041666666666666664,8,3
EE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,3221->1299,6,0.3333333333333333,2,False,True,False,96,18,74,4,0.1875,0.7708333333333334,0.041666666666666664,8,3
