probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AD,I-Root,dns_root,anycast,6,2,0,0.0,0.3333333333333333,3,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AE,I-Root,dns_root,anycast,40,40,1,0.025,1.0,20,14,1,1,0.0,True,True,auditable,,probe_country_service
AF,I-Root,dns_root,anycast,12,12,6,0.5,1.0,6,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,I-Root,dns_root,anycast,46,42,0,0.0,0.9130434782608695,23,14,1,1,0.0,True,True,auditable,,probe_country_service
AM,I-Root,dns_root,anycast,29,29,0,0.0,1.0,14,7,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AO,I-Root,dns_root,anycast,19,19,0,0.0,1.0,10,4,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AR,I-Root,dns_root,anycast,101,96,0,0.0,0.9504950495049505,51,39,1,1,0.0,True,True,auditable,,probe_country_service
AT,I-Root,dns_root,anycast,412,406,2,0.0048543689320388345,0.9854368932038835,206,81,1,1,0.0048543689320388345,True,True,auditable,,probe_country_service
AU,I-Root,dns_root,anycast,480,370,264,0.55,0.7708333333333334,240,71,1,1,0.008333333333333333,True,True,auditable,,probe_country_service
AX,I-Root,dns_root,anycast,4,4,2,0.5,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AZ,I-Root,dns_root,anycast,16,12,0,0.0,0.75,8,7,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
