network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
application_observation_supplementary,cable,conservative_set,all,10,0,0.15384615384615385,0.2,0.7023809523809523,0.2901447186327311,0,,,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, all projections"
application_observation_supplementary,cable,conservative_set,strong_only,1,0,0.0,0.0,0.3333333333333333,1.0,0,,,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, strong projections only"
application_observation_supplementary,cable,conservative_set,strong_or_moderate,7,1,0.0,0.0,0.5268817204301075,-0.03591373078679092,0,,,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
application_observation_supplementary,cable,weighted_support,all,15,0,0.06060606060606061,0.1,0.5793103448275863,0.1388555326486977,0,,,"application_observation_supplementary network definition, cable-level, weighted support view, all projections"
application_observation_supplementary,cable,weighted_support,strong_only,1,0,0.0,0.0,0.3333333333333333,1.0,0,,,"application_observation_supplementary network definition, cable-level, weighted support view, strong projections only"
application_observation_supplementary,cable,weighted_support,strong_or_moderate,11,1,0.0,0.0,0.5161290322580645,0.07833661350273707,0,,,"application_observation_supplementary network definition, cable-level, weighted support view, strong/moderate projections only"
application_observation_supplementary,corridor,conservative_set,all,8,0,0.21739130434782608,0.25,0.7559523809523809,0.3641051949739588,0,,,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, all projections"
application_observation_supplementary,corridor,conservative_set,strong_only,1,0,0.0,0.0,0.3333333333333333,1.0,0,,,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, strong projections only"
application_observation_supplementary,corridor,conservative_set,strong_or_moderate,6,1,0.0,0.0,0.5376344086021505,0.07093157804912183,0,,,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
application_observation_supplementary,corridor,weighted_support,all,17,0,0.027777777777777776,0.05,0.5793103448275863,0.22097391870141456,0,,,"application_observation_supplementary network definition, corridor-level, weighted support view, all projections"
application_observation_supplementary,corridor,weighted_support,strong_only,1,0,0.0,0.0,0.3333333333333333,1.0,0,,,"application_observation_supplementary network definition, corridor-level, weighted support view, strong projections only"
application_observation_supplementary,corridor,weighted_support,strong_or_moderate,13,1,0.0,0.0,0.4946236559139785,0.08951414405307813,0,,,"application_observation_supplementary network definition, corridor-level, weighted support view, strong/moderate projections only"
as_egress_primary,cable,conservative_set,all,22,0,0.75,0.9,0.9107142857142857,0.9215965646554478,0,,,"as_egress_primary network definition, cable-level, conservative feasible-set view, all projections"
as_egress_primary,cable,conservative_set,strong_only,1,0,0.0,0.0,0.3333333333333333,1.0,0,,,"as_egress_primary network definition, cable-level, conservative feasible-set view, strong projections only"
as_egress_primary,cable,conservative_set,strong_or_moderate,11,1,0.03333333333333333,0.05,0.5913978494623656,0.6744670077129,0,,,"as_egress_primary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
as_egress_primary,cable,weighted_support,all,22,0,0.3548387096774194,0.55,0.7310344827586207,0.7783988004710953,0,,,"as_egress_primary network definition, cable-level, weighted support view, all projections"
as_egress_primary,cable,weighted_support,strong_only,1,0,0.0,0.0,0.3333333333333333,1.0,0,,,"as_egress_primary network definition, cable-level, weighted support view, strong projections only"
as_egress_primary,cable,weighted_support,strong_or_moderate,10,1,0.0,0.0,0.5698924731182796,0.7017912413099132,0,,,"as_egress_primary network definition, cable-level, weighted support view, strong/moderate projections only"
as_egress_primary,corridor,conservative_set,all,20,0,1.0,1.0,1.0,1.0,0,,,"as_egress_primary network definition, corridor-level, conservative feasible-set view, all projections"
as_egress_primary,corridor,conservative_set,strong_only,1,0,0.0,0.0,0.3333333333333333,1.0,0,,,"as_egress_primary network definition, corridor-level, conservative feasible-set view, strong projections only"
as_egress_primary,corridor,conservative_set,strong_or_moderate,6,2,0.0,0.0,0.6236559139784946,0.721234487591681,0,,,"as_egress_primary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
as_egress_primary,corridor,weighted_support,all,25,0,0.2857142857142857,0.5,0.7241379310344828,0.830550884061719,0,,,"as_egress_primary network definition, corridor-level, weighted support view, all projections"
as_egress_primary,corridor,weighted_support,strong_only,1,0,0.0,0.0,0.3333333333333333,1.0,0,,,"as_egress_primary network definition, corridor-level, weighted support view, strong projections only"
as_egress_primary,corridor,weighted_support,strong_or_moderate,11,2,0.0,0.0,0.5591397849462365,0.6923936762197059,0,,,"as_egress_primary network definition, corridor-level, weighted support view, strong/moderate projections only"
as_only,cable,conservative_set,all,8,0,0.07692307692307693,0.1,0.7023809523809523,0.3608003595576413,0,,,"as_only network definition, cable-level, conservative feasible-set view, all projections"
as_only,cable,conservative_set,strong_only,1,0,0.0,0.0,0.3333333333333333,1.0,0,,,"as_only network definition, cable-level, conservative feasible-set view, strong projections only"
