probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
CA,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,856,807,281,0.3282710280373832,0.3282710280373832,0.21378504672897197,0.04906542056074766,0.17172897196261683,0.24299065420560748,281,0.3282710280373832,0.9427570093457944,271,85,837,661,0.4088785046728972,True,True,auditable,,probe_country_service
CA,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,350,350,131,0.3742857142857143,0.3742857142857143,0.20857142857142857,0.037142857142857144,0.17142857142857143,0.29428571428571426,131,0.3742857142857143,1.0,206,74,346,281,1.0,True,True,auditable,,probe_country_service
CH,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,1045,982,238,0.22775119617224882,0.22775119617224882,0.09282296650717703,0.013397129186602871,0.08325358851674641,0.1799043062200957,238,0.22775119617224882,0.939712918660287,323,81,966,758,0.38564593301435407,True,True,auditable,,probe_country_service
CH,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,403,403,112,0.27791563275434245,0.27791563275434245,0.13647642679900746,0.017369727047146403,0.12406947890818859,0.22332506203473945,112,0.27791563275434245,1.0,247,72,384,312,1.0,True,True,auditable,,probe_country_service
CL,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,244,234,39,0.1598360655737705,0.1598360655737705,0.0778688524590164,0.028688524590163935,0.05327868852459016,0.09836065573770492,39,0.1598360655737705,0.9590163934426229,76,33,241,223,0.4098360655737705,True,True,auditable,,probe_country_service
CL,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,100,100,20,0.2,0.2,0.1,0.05,0.05,0.11,20,0.2,1.0,63,31,100,94,1.0,True,True,auditable,,probe_country_service
CN,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,163,151,68,0.4171779141104294,0.4171779141104294,0.17791411042944785,0.018404907975460124,0.15950920245398773,0.36809815950920244,68,0.4171779141104294,0.9263803680981595,50,23,159,149,0.38650306748466257,True,True,auditable,,probe_country_service
CN,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,63,63,24,0.38095238095238093,0.38095238095238093,0.12698412698412698,0.015873015873015872,0.1111111111111111,0.3492063492063492,24,0.38095238095238093,1.0,39,19,62,60,1.0,True,True,auditable,,probe_country_service
CO,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,98,89,13,0.1326530612244898,0.1326530612244898,0.061224489795918366,0.0,0.061224489795918366,0.10204081632653061,13,0.1326530612244898,0.9081632653061225,31,22,93,92,0.46938775510204084,True,True,auditable,,probe_country_service
CO,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,46,46,8,0.17391304347826086,0.17391304347826086,0.06521739130434782,0.0,0.06521739130434782,0.15217391304347827,8,0.17391304347826086,1.0,27,20,46,45,1.0,True,True,auditable,,probe_country_service
CR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,48,33,6,0.125,0.125,0.0625,0.020833333333333332,0.041666666666666664,0.08333333333333333,6,0.125,0.6875,16,8,46,44,0.25,True,True,auditable,,probe_country_service
CY,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,41,37,23,0.5609756097560976,0.5609756097560976,0.5609756097560976,0.04878048780487805,0.5121951219512195,0.12195121951219512,23,0.5609756097560976,0.9024390243902439,13,6,40,40,0.3170731707317073,True,True,auditable,,probe_country_service
CZ,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,894,869,170,0.19015659955257272,0.19015659955257272,0.09172259507829977,0.013422818791946308,0.07829977628635347,0.14317673378076062,170,0.19015659955257272,0.9720357941834452,278,112,879,678,0.4161073825503356,True,True,auditable,,probe_country_service
CZ,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,372,372,80,0.21505376344086022,0.21505376344086022,0.10752688172043011,0.013440860215053764,0.09408602150537634,0.1586021505376344,80,0.21505376344086022,1.0,222,99,371,294,1.0,True,True,auditable,,probe_country_service
DE,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,5150,4943,819,0.15902912621359222,0.15902912621359222,0.07106796116504854,0.015339805825242718,0.058058252427184466,0.12679611650485437,819,0.15902912621359222,0.9598058252427184,1596,376,4948,2804,0.43766990291262137,True,True,auditable,,probe_country_service
DE,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,2254,2254,432,0.19165927240461403,0.19165927240461403,0.0865128660159716,0.01774622892635315,0.0709849157054126,0.15483584738243122,432,0.19165927240461403,1.0,1309,333,2181,1296,1.0,True,True,auditable,,probe_country_service
DK,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,346,329,257,0.7427745664739884,0.7427745664739884,0.13583815028901733,0.049132947976878616,0.10404624277456648,0.7138728323699421,257,0.7427745664739884,0.9508670520231214,108,35,338,294,0.41040462427745666,True,True,auditable,,probe_country_service
DK,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,142,142,112,0.7887323943661971,0.7887323943661971,0.14084507042253522,0.035211267605633804,0.11267605633802817,0.7464788732394366,112,0.7887323943661971,1.0,82,28,135,120,1.0,True,True,auditable,,probe_country_service
EC,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,78,73,14,0.1794871794871795,0.1794871794871795,0.11538461538461539,0.01282051282051282,0.11538461538461539,0.10256410256410256,14,0.1794871794871795,0.9358974358974359,24,19,78,76,0.46153846153846156,True,True,auditable,,probe_country_service
EC,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,36,36,8,0.2222222222222222,0.2222222222222222,0.19444444444444445,0.027777777777777776,0.19444444444444445,0.08333333333333333,8,0.2222222222222222,1.0,21,18,36,35,1.0,True,True,auditable,,probe_country_service
EE,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,123,106,66,0.5365853658536586,0.5365853658536586,0.4878048780487805,0.056910569105691054,0.4878048780487805,0.07317073170731707,66,0.5365853658536586,0.8617886178861789,39,22,123,116,0.34959349593495936,True,True,auditable,,probe_country_service
EE,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,43,43,21,0.4883720930232558,0.4883720930232558,0.46511627906976744,0.023255813953488372,0.46511627906976744,0.06976744186046512,21,0.4883720930232558,1.0,25,18,43,41,1.0,True,True,auditable,,probe_country_service
ES,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,760,700,167,0.21973684210526315,0.21973684210526315,0.14605263157894738,0.02631578947368421,0.125,0.13026315789473683,167,0.21973684210526315,0.9210526315789473,230,73,740,583,0.4026315789473684,True,True,auditable,,probe_country_service
ES,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,306,306,80,0.26143790849673204,0.26143790849673204,0.16666666666666666,0.0392156862745098,0.13725490196078433,0.16993464052287582,80,0.26143790849673204,1.0,186,60,301,244,1.0,True,True,auditable,,probe_country_service
FI,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,455,434,277,0.6087912087912087,0.6087912087912087,0.5626373626373626,0.17142857142857143,0.5208791208791209,0.15384615384615385,277,0.6087912087912087,0.9538461538461539,142,50,440,368,0.43736263736263736,True,True,auditable,,probe_country_service
