setting,landing_catchment_radius_km,landing_region_maximum_diameter_km,rtt_tolerance_ms,all_atomic_segment_count,candidate_bearing_segment_count,single_corridor_segment_count,bounded_multi_corridor_segment_count,single_corridor_share_of_all_atomic_segments,bounded_multi_corridor_share_of_all_atomic_segments,single_corridor_share_among_candidate_bearing_segments,bounded_multi_corridor_share_among_candidate_bearing_segments,inter_region_candidate_bearing_segments,uniquely_resolved_segments,bounded_candidate_set_segments,uniquely_resolved_share,bounded_candidate_set_share,auditable_country_service_units,median_corridor_top2_share,median_corridor_normalized_entropy,median_normalized_entropy_reduction,analysis_type,is_baseline,global_landing_region_count,observed_landing_region_count,global_corridor_count,observed_corridor_count,baseline_auditable_unit_count,current_auditable_unit_count,shared_auditable_unit_count,newly_included_unit_count,excluded_baseline_unit_count,newly_included_units,excluded_units,shared_median_network_top2,baseline_shared_median_network_top2,current_shared_median_network_top2,baseline_shared_median_corridor_top2,current_shared_median_corridor_top2,baseline_shared_median_top2_shift,current_shared_median_top2_shift,shared_median_network_normalized_entropy,baseline_shared_median_network_normalized_entropy,current_shared_median_network_normalized_entropy,baseline_shared_median_corridor_normalized_entropy,current_shared_median_corridor_normalized_entropy,baseline_shared_median_entropy_reduction,current_shared_median_entropy_reduction,baseline_shared_positive_entropy_reduction_share,current_shared_positive_entropy_reduction_share,classification_agreement_numerator,classification_agreement_denominator,classification_agreement_rate,classification_agreement_with_baseline,segment_corridor_set_jaccard_with_baseline,segments_with_changed_corridor_set,corridor_id_comparison_semantics,observed_landing_station_count,baseline_comember_pair_count,current_comember_pair_count,comember_pair_intersection_count,comember_pair_union_count,landing_partition_comembership_jaccard,shared_candidate_bearing_segment_count,exact_candidate_set_jaccard_mean,exact_candidate_set_jaccard_median,exact_candidate_set_exact_match_share,segments_with_changed_exact_candidate_set,cable_set_jaccard_mean,cable_set_jaccard_median,cable_set_exact_match_share,segments_with_changed_cable_set
catchment50_diameter10_rtt5,50,10,5,61148,3543,1679,1864,0.02745797082488389,0.03048341728265847,0.47389218176686426,0.5261078182331358,3543,1679,1864,0.02745797082488389,0.03048341728265847,16,0.5627958638043564,0.7298116133251284,0.09935673226827846,landing_region_maximum_diameter_sensitivity,False,1637,207,12543,258,15,16,15,1,0,1,0,0.3965811965811966,0.4247491638795986,0.3965811965811966,0.6438356164383562,0.5364197530864198,0.3007898894154818,0.11282051282051275,0.7608363501943557,0.7855264895565086,0.7608363501943557,0.6319926528022545,0.7406846272469051,0.16196985954829435,0.0873620246382979,0.6666666666666666,0.6666666666666666,11,15,0.7333333333333333,0.7333333333333333,0.0268210253829007,3314,resolution_dependent_corridor_id_comparison,255,146,57,52,151,0.3443708609271523,2695,1.0,1.0,1.0,0,1.0,1.0,1.0,0
catchment50_diameter20_rtt5,50,20,5,61148,3273,1511,1762,0.024710538365931838,0.028815333289723296,0.46165597311335166,0.5383440268866483,3273,1511,1762,0.024710538365931838,0.028815333289723296,15,0.627939142461964,0.6787331223661709,0.1354532135915483,landing_region_maximum_diameter_sensitivity,False,1468,182,10339,221,15,15,15,0,0,0,0,0.4527220630372492,0.4247491638795986,0.4527220630372492,0.6438356164383562,0.627939142461964,0.3007898894154818,0.22950819672131145,0.7608363501943557,0.7855264895565086,0.7608363501943557,0.6319926528022545,0.6787331223661709,0.16196985954829435,0.13545321359154838,0.6666666666666666,0.6666666666666666,12,15,0.8,0.8,0.17483660130718953,2858,resolution_dependent_corridor_id_comparison,255,146,104,89,161,0.5527950310559007,2695,1.0,1.0,1.0,0,1.0,1.0,1.0,0
catchment50_diameter30_rtt5,50,30,5,61148,2695,1477,1218,0.02415451036828678,0.019918885327402366,0.548051948051948,0.45194805194805193,2695,1477,1218,0.02415451036828678,0.019918885327402366,15,0.6438356164383562,0.6319926528022545,0.1619698595482943,landing_region_maximum_diameter_sensitivity,True,1331,162,9043,182,15,15,15,0,0,0,0,0.4247491638795986,0.4247491638795986,0.4247491638795986,0.6438356164383562,0.6438356164383562,0.3007898894154818,0.3007898894154818,0.7855264895565086,0.7855264895565086,0.7855264895565086,0.6319926528022545,0.6319926528022545,0.16196985954829435,0.16196985954829435,0.6666666666666666,0.6666666666666666,15,15,1.0,1.0,1.0,0,direct_corridor_id_comparison,255,146,146,146,146,1.0,2695,1.0,1.0,1.0,0,1.0,1.0,1.0,0
catchment50_diameter40_rtt5,50,40,5,61148,2017,1817,200,0.029714790344737358,0.00327075292732387,0.9008428358948934,0.0991571641051066,2017,1817,200,0.029714790344737358,0.00327075292732387,13,0.8160919540229885,0.6397974496572632,0.1411806652075338,landing_region_maximum_diameter_sensitivity,False,1246,143,8319,142,15,13,13,0,2,0,2,0.444055944055944,0.4247491638795986,0.444055944055944,0.6358543417366946,0.8160919540229885,0.09523809523809523,0.22857142857142854,0.7802101066423057,0.7855264895565086,0.7802101066423057,0.7393493254214786,0.6397974496572632,0.1431874349239347,0.14118066520753386,0.6153846153846154,0.8461538461538461,7,13,0.5384615384615384,0.5384615384615384,0.10382109004739337,2067,resolution_dependent_corridor_id_comparison,255,146,199,135,210,0.6428571428571429,2017,1.0,1.0,1.0,0,1.0,1.0,1.0,0
catchment50_diameter50_rtt5,50,50,5,61148,2016,1912,104,0.0312683979852162,0.0017007915222084125,0.9484126984126984,0.051587301587301584,2016,1912,104,0.0312683979852162,0.0017007915222084125,13,0.8488372093023255,0.5685491797949368,0.1604591793570124,landing_region_maximum_diameter_sensitivity,False,1160,136,7679,133,15,13,13,0,2,0,2,0.444055944055944,0.4247491638795986,0.444055944055944,0.6358543417366946,0.8488372093023255,0.09523809523809523,0.3023255813953488,0.7802101066423057,0.7855264895565086,0.7802101066423057,0.7393493254214786,0.5685491797949368,0.1431874349239347,0.16045917935701248,0.6153846153846154,0.8461538461538461,6,13,0.46153846153846156,0.46153846153846156,0.0848061785236893,2152,resolution_dependent_corridor_id_comparison,255,146,212,132,226,0.584070796460177,2016,1.0,1.0,1.0,0,1.0,1.0,1.0,0
