probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
KN,2,2,0,0.0,1.0,1,1,1,1,1
KR,44,38,0,0.0,0.8636363636363636,1,22,12,1,1
KW,4,2,0,0.0,0.5,1,2,2,1,1
KY,2,2,2,1.0,1.0,1,1,1,1,1
KZ,107,107,0,0.0,1.0,1,54,20,1,1
LA,2,2,0,0.0,1.0,1,1,1,1,1
LB,4,0,0,0.0,0.0,1,2,2,1,1
LC,4,4,4,1.0,1.0,1,2,2,1,1
LI,6,6,6,1.0,1.0,1,3,3,1,1
LK,26,22,3,0.11538461538461539,0.8461538461538461,1,13,6,1,1
LS,2,2,0,0.0,1.0,1,1,1,1,1
LT,72,65,2,0.027777777777777776,0.9027777777777778,1,36,21,1,1
LU,76,58,0,0.0,0.7631578947368421,1,38,20,1,1
LV,60,52,0,0.0,0.8666666666666667,1,30,19,1,1
MA,2,2,0,0.0,1.0,1,1,1,1,1
MD,49,49,0,0.0,1.0,1,25,15,1,1
ME,12,12,2,0.16666666666666666,1.0,1,6,5,1,1
MG,4,4,0,0.0,1.0,1,2,1,1,1
MH,2,2,0,0.0,1.0,1,1,1,1,1
MK,20,18,0,0.0,0.9,1,10,8,1,1
ML,2,2,2,1.0,1.0,1,1,1,1,1
MM,6,6,2,0.3333333333333333,1.0,1,3,3,1,1
MN,14,14,0,0.0,1.0,1,7,7,1,1
MP,2,2,2,1.0,1.0,1,1,1,1,1
MT,17,17,17,1.0,1.0,1,8,2,1,1
MU,16,14,0,0.0,0.875,1,8,4,1,1
MV,22,22,17,0.7727272727272727,1.0,1,11,4,1,1
MW,2,2,0,0.0,1.0,1,1,1,1,1
MX,84,76,2,0.023809523809523808,0.9047619047619048,1,42,22,1,1
MY,66,44,0,0.0,0.6666666666666666,1,33,18,1,1
MZ,6,6,0,0.0,1.0,1,3,3,1,1
NA,3496,3124,270,0.07723112128146453,0.8935926773455377,1,1749,4,1,1
NC,10,10,0,0.0,1.0,1,5,2,1,1
NG,18,14,0,0.0,0.7777777777777778,1,9,6,1,1
NI,12,12,0,0.0,1.0,1,6,4,1,1
NL,1146,770,4,0.0034904013961605585,0.6719022687609075,1,574,159,1,1
NO,180,167,63,0.35,0.9277777777777778,1,89,33,1,1
NP,29,27,0,0.0,0.9310344827586207,1,15,9,1,1
NZ,194,175,20,0.10309278350515463,0.9020618556701031,1,97,32,1,1
OM,2,2,0,0.0,1.0,1,1,1,1,1
PA,36,22,2,0.05555555555555555,0.6111111111111112,1,18,11,1,1
PE,38,34,2,0.05263157894736842,0.8947368421052632,1,19,14,1,1
PF,10,0,0,0.0,0.0,1,5,1,1,1
PG,2,2,2,1.0,1.0,1,1,1,1,1
PH,118,103,62,0.5254237288135594,0.8728813559322034,1,59,33,1,1
PK,12,8,4,0.3333333333333333,0.6666666666666666,1,6,5,1,1
PL,405,385,0,0.0,0.9506172839506173,1,203,119,1,1
PR,2,2,0,0.0,1.0,1,1,1,1,1
PS,2,2,0,0.0,1.0,1,1,1,1,1
PT,189,122,14,0.07407407407407407,0.6455026455026455,1,95,21,1,1
PW,2,2,0,0.0,1.0,1,1,1,1,1
PY,20,18,0,0.0,0.9,1,10,8,1,1
QA,2,2,0,0.0,1.0,1,1,1,1,1
RE,72,72,0,0.0,1.0,1,36,4,1,1
RO,162,154,0,0.0,0.9506172839506173,1,81,43,1,1
RS,89,82,0,0.0,0.9213483146067416,1,45,16,1,1
RU,935,883,1,0.0010695187165775401,0.9443850267379679,1,468,281,1,1
RW,2,2,0,0.0,1.0,1,1,1,1,1
SA,30,16,4,0.13333333333333333,0.5333333333333333,1,15,8,1,1
SE,398,376,108,0.271356783919598,0.9447236180904522,1,200,70,1,1
SG,230,209,17,0.07391304347826087,0.908695652173913,1,115,57,1,1
SI,88,78,0,0.0,0.8863636363636364,1,44,19,1,1
SK,96,70,0,0.0,0.7291666666666666,1,48,21,1,1
SL,4,2,2,0.5,0.5,1,2,2,1,1
SM,2,2,0,0.0,1.0,1,1,1,1,1
SN,2,2,0,0.0,1.0,1,1,1,1,1
SS,2,2,0,0.0,1.0,1,1,1,1,1
SV,22,19,1,0.045454545454545456,0.8636363636363636,1,11,6,1,1
SY,2,0,0,0.0,0.0,1,1,1,1,1
TD,2,2,2,1.0,1.0,1,1,1,1,1
TG,2,2,0,0.0,1.0,1,1,1,1,1
TH,78,51,18,0.23076923076923078,0.6538461538461539,1,39,24,1,1
TJ,28,26,0,0.0,0.9285714285714286,1,14,10,1,1
TL,8,8,2,0.25,1.0,1,4,2,1,1
TN,16,14,0,0.0,0.875,1,8,5,1,1
TO,2,2,2,1.0,1.0,1,1,1,1,1
TR,116,106,0,0.0,0.9137931034482759,1,58,29,1,1
TT,2,2,0,0.0,1.0,1,1,1,1,1
TV,2,2,0,0.0,1.0,1,1,1,1,1
TW,127,99,24,0.1889763779527559,0.7795275590551181,1,64,30,1,1
TZ,8,8,0,0.0,1.0,1,4,3,1,1
UA,301,243,0,0.0,0.8073089700996677,1,151,104,1,1
UG,12,12,2,0.16666666666666666,1.0,1,6,4,1,1
US,3296,3095,297,0.09010922330097088,0.9390169902912622,1,1647,440,1,1
UY,38,38,0,0.0,1.0,1,19,5,1,1
UZ,20,18,0,0.0,0.9,1,10,8,1,1
VA,2,2,0,0.0,1.0,1,1,1,1,1
VE,71,54,2,0.028169014084507043,0.7605633802816901,1,36,24,1,1
VI,4,4,2,0.5,1.0,1,2,2,1,1
VN,48,48,17,0.3541666666666667,1.0,1,24,13,1,1
VU,2,0,0,0.0,0.0,1,1,1,1,1
XK,4,4,0,0.0,1.0,1,2,2,1,1
YE,2,2,0,0.0,1.0,1,1,1,1,1
ZA,228,221,16,0.07017543859649122,0.9692982456140351,1,113,63,1,1
ZM,8,6,0,0.0,0.75,1,4,4,1,1
ZW,6,6,0,0.0,1.0,1,3,2,1,1
