probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
NA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8346->174,as_transition,1,1,0.008,39,False,False,False,False,125,98,1,0,1
NA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->3356,as_transition,1,1,0.008,40,False,False,False,False,125,98,1,0,1
NA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,18041->7539,as_transition,1,1,0.008,41,False,False,False,False,125,98,1,1,0
NA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,38158->38158,as_transition,1,1,0.008,42,False,False,False,False,125,98,1,1,0
NA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,5786->20080,as_transition,1,1,0.008,43,False,False,False,False,125,98,1,0,1
NA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,39699->39699,as_transition,1,1,0.008,44,False,False,False,False,125,98,1,1,0
NA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,12400->12400,as_transition,1,1,0.008,45,False,False,False,False,125,98,1,0,1
NA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,19518->19518,as_transition,1,1,0.008,46,False,False,False,False,125,98,1,1,0
NA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,17476->2914,as_transition,1,1,0.008,47,False,False,False,False,125,98,1,0,1
NC,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,18200->38195,as_transition,4,4,0.6666666666666666,1,True,False,False,False,6,4,2,0,4
NC,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->38195,as_transition,1,1,0.16666666666666666,2,False,True,False,False,6,4,2,1,0
NC,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,38195->-1,as_transition,1,1,0.16666666666666666,3,False,False,True,False,6,4,2,1,0
NG,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,37282->37282,as_transition,2,2,1.0,1,True,False,False,False,2,2,2,0,2
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,29695->29695,as_transition,6,6,0.2857142857142857,1,True,False,False,False,21,18,7,6,0
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2119->2119,as_transition,3,3,0.14285714285714285,2,False,True,False,False,21,18,7,3,0
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,224->224,as_transition,3,3,0.14285714285714285,3,False,False,True,False,21,18,7,3,0
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,56655->56655,as_transition,2,2,0.09523809523809523,4,False,False,False,False,21,18,7,2,0
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,25400->25400,as_transition,2,2,0.09523809523809523,5,False,False,False,False,21,18,7,2,0
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,49409->57829,as_transition,1,1,0.047619047619047616,6,False,False,False,False,21,18,7,1,0
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,57829->3356,as_transition,1,1,0.047619047619047616,7,False,False,False,False,21,18,7,1,0
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,1,1,0.047619047619047616,8,False,False,False,False,21,18,7,1,0
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,25400->1299,as_transition,1,1,0.047619047619047616,9,False,False,False,False,21,18,7,1,0
NO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2603->2603,as_transition,1,1,0.047619047619047616,10,False,False,False,False,21,18,7,0,1
NP,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2914->2914,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7578->7578,as_transition,78,78,0.5379310344827586,1,True,False,False,False,145,51,15,52,26
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,64073->64073,as_transition,23,23,0.15862068965517243,2,False,True,False,False,145,51,15,23,0
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,56030->56030,as_transition,11,11,0.07586206896551724,3,False,False,True,False,145,51,15,11,0
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4637->4637,as_transition,9,9,0.06206896551724138,4,False,False,False,False,145,51,15,0,9
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,64073->137409,as_transition,7,7,0.04827586206896552,5,False,False,False,False,145,51,15,0,7
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,55850->55850,as_transition,4,4,0.027586206896551724,6,False,False,False,False,145,51,15,4,0
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,137409->7578,as_transition,4,4,0.027586206896551724,7,False,False,False,False,145,51,15,0,4
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,135069->2914,as_transition,3,3,0.020689655172413793,8,False,False,False,False,145,51,15,0,3
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4049->55850,as_transition,2,2,0.013793103448275862,9,False,False,False,False,145,51,15,2,0
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->174,as_transition,2,2,0.013793103448275862,10,False,False,False,False,145,51,15,0,2
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,24324->24324,as_transition,1,1,0.006896551724137931,11,False,False,False,False,145,51,15,1,0
NZ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,55785->55850,as_transition,1,1,0.006896551724137931,12,False,False,False,False,145,51,15,1,0
PA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,11556->23520,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
PE,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,23520->23520,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
PG,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,17828->4826,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,137074->137074,as_transition,4,4,0.13793103448275862,1,True,False,False,False,29,24,18,0,4
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,17639->17639,as_transition,4,4,0.13793103448275862,2,False,True,False,False,29,24,18,0,4
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4775->1299,as_transition,3,3,0.10344827586206896,3,False,False,True,False,29,24,18,0,3
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,3,3,0.10344827586206896,4,False,False,False,False,29,24,18,0,3
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,135607->15412,as_transition,2,2,0.06896551724137931,5,False,False,False,False,29,24,18,0,2
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4775->4775,as_transition,2,2,0.06896551724137931,6,False,False,False,False,29,24,18,0,2
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2914->2914,as_transition,2,2,0.06896551724137931,7,False,False,False,False,29,24,18,0,2
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,134707->134707,as_transition,2,2,0.06896551724137931,8,False,False,False,False,29,24,18,0,2
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,137818->132021,as_transition,1,1,0.034482758620689655,9,False,False,False,False,29,24,18,1,0
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,132021->4775,as_transition,1,1,0.034482758620689655,10,False,False,False,False,29,24,18,1,0
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,21859->4229,as_transition,1,1,0.034482758620689655,11,False,False,False,False,29,24,18,0,1
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6453->6453,as_transition,1,1,0.034482758620689655,12,False,False,False,False,29,24,18,0,1
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,9299->9299,as_transition,1,1,0.034482758620689655,13,False,False,False,False,29,24,18,1,0
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6939->6939,as_transition,1,1,0.034482758620689655,14,False,False,False,False,29,24,18,0,1
PH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,45209->17639,as_transition,1,1,0.034482758620689655,15,False,False,False,False,29,24,18,1,0
PT,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6453->6453,as_transition,11,11,0.6875,1,True,False,False,False,16,15,6,0,11
PT,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,3,3,0.1875,2,False,True,False,False,16,15,6,0,3
PT,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2860->6453,as_transition,1,1,0.0625,3,False,False,True,False,16,15,6,1,0
PT,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3257->3356,as_transition,1,1,0.0625,4,False,False,False,False,16,15,6,0,1
