country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
IL,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,12400->12400,as_transition,3,3,0.75,1,True,False,False,False,4,4,3,0,3
IL,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1680->1680,as_transition,1,1,0.25,2,False,True,False,False,4,4,3,0,1
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,64049->64049,as_transition,16,16,0.45714285714285713,1,True,False,False,False,35,34,15,0,16
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,9498->9498,as_transition,8,8,0.22857142857142856,2,False,True,False,False,35,34,15,0,8
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->3356,as_transition,4,4,0.11428571428571428,3,False,False,True,False,35,34,15,0,4
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6453->6453,as_transition,3,3,0.08571428571428572,4,False,False,False,False,35,34,15,0,3
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->1299,as_transition,1,1,0.02857142857142857,5,False,False,False,False,35,34,15,0,1
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4755->6453,as_transition,1,1,0.02857142857142857,6,False,False,False,False,35,34,15,1,0
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,9498->-1,as_transition,1,1,0.02857142857142857,7,False,False,False,False,35,34,15,1,0
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,9498->3356,as_transition,1,1,0.02857142857142857,8,False,False,False,False,35,34,15,0,1
IT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,34428->34428,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,1,0
JP,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6453->6453,as_transition,6,6,1.0,1,True,False,False,False,6,6,5,0,6
LC,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,23520->23520,as_transition,2,2,1.0,1,True,False,False,False,2,2,2,0,2
LK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,18001->8966,as_transition,4,4,0.5714285714285714,1,True,False,False,False,7,7,3,0,4
LK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,45489->45489,as_transition,3,3,0.42857142857142855,2,False,True,False,False,7,7,3,0,3
MM,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,136168->136168,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
MT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,15735->1299,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
MX,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,265539->23520,as_transition,2,2,1.0,1,True,False,False,False,2,2,2,0,2
MY,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,45352->45352,as_transition,2,2,0.5,1,True,False,False,False,4,4,4,0,2
MY,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,38466->6453,as_transition,1,1,0.25,2,False,True,False,False,4,4,4,0,1
MY,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2914->2914,as_transition,1,1,0.25,3,False,False,True,False,4,4,4,0,1
NC,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,18200->38195,as_transition,4,4,1.0,1,True,False,False,False,4,4,2,0,4
NG,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,37282->37282,as_transition,2,2,1.0,1,True,False,False,False,2,2,2,0,2
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,29695->29695,as_transition,6,6,0.2857142857142857,1,True,False,False,False,21,18,8,6,0
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2119->2119,as_transition,4,4,0.19047619047619047,2,False,True,False,False,21,18,8,4,0
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,56655->56655,as_transition,3,3,0.14285714285714285,3,False,False,True,False,21,18,8,3,0
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,224->224,as_transition,3,3,0.14285714285714285,4,False,False,False,False,21,18,8,3,0
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,25400->25400,as_transition,2,2,0.09523809523809523,5,False,False,False,False,21,18,8,2,0
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,49409->57829,as_transition,1,1,0.047619047619047616,6,False,False,False,False,21,18,8,1,0
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,57829->3356,as_transition,1,1,0.047619047619047616,7,False,False,False,False,21,18,8,1,0
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,25400->1299,as_transition,1,1,0.047619047619047616,8,False,False,False,False,21,18,8,1,0
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7578->7578,as_transition,31,31,0.2980769230769231,1,True,False,False,False,104,60,16,0,31
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,64073->64073,as_transition,25,25,0.2403846153846154,2,False,True,False,False,104,60,16,25,0
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,56030->56030,as_transition,13,13,0.125,3,False,False,True,False,104,60,16,13,0
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4637->4637,as_transition,10,10,0.09615384615384616,4,False,False,False,False,104,60,16,0,10
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,55850->55850,as_transition,8,8,0.07692307692307693,5,False,False,False,False,104,60,16,8,0
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,64073->137409,as_transition,7,7,0.0673076923076923,6,False,False,False,False,104,60,16,0,7
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,135069->2914,as_transition,3,3,0.028846153846153848,7,False,False,False,False,104,60,16,0,3
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->174,as_transition,3,3,0.028846153846153848,8,False,False,False,False,104,60,16,0,3
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4049->55850,as_transition,2,2,0.019230769230769232,9,False,False,False,False,104,60,16,2,0
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,24324->24324,as_transition,1,1,0.009615384615384616,10,False,False,False,False,104,60,16,1,0
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,55785->55850,as_transition,1,1,0.009615384615384616,11,False,False,False,False,104,60,16,1,0
PA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,11556->23520,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
PG,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,17828->4826,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,137074->137074,as_transition,4,4,0.18181818181818182,1,True,False,False,False,22,20,14,0,4
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,17639->17639,as_transition,4,4,0.18181818181818182,2,False,True,False,False,22,20,14,0,4
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4775->1299,as_transition,3,3,0.13636363636363635,3,False,False,True,False,22,20,14,0,3
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,135607->15412,as_transition,2,2,0.09090909090909091,4,False,False,False,False,22,20,14,0,2
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4775->4775,as_transition,2,2,0.09090909090909091,5,False,False,False,False,22,20,14,0,2
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,134707->134707,as_transition,2,2,0.09090909090909091,6,False,False,False,False,22,20,14,0,2
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,137818->132021,as_transition,1,1,0.045454545454545456,7,False,False,False,False,22,20,14,1,0
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,132021->4775,as_transition,1,1,0.045454545454545456,8,False,False,False,False,22,20,14,1,0
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4229->4229,as_transition,1,1,0.045454545454545456,9,False,False,False,False,22,20,14,0,1
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,9299->9299,as_transition,1,1,0.045454545454545456,10,False,False,False,False,22,20,14,1,0
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,45209->17639,as_transition,1,1,0.045454545454545456,11,False,False,False,False,22,20,14,1,0
PR,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,5786->20080,as_transition,1,1,0.5,1,True,False,False,False,2,2,2,0,1
PR,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,14638->23520,as_transition,1,1,0.5,2,False,True,False,False,2,2,2,0,1
PT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6453->6453,as_transition,14,14,0.7777777777777778,1,True,False,False,False,18,17,5,0,14
PT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->3356,as_transition,2,2,0.1111111111111111,2,False,True,False,False,18,17,5,0,2
PT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2860->6453,as_transition,1,1,0.05555555555555555,3,False,False,True,False,18,17,5,1,0
PT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3257->3356,as_transition,1,1,0.05555555555555555,4,False,False,False,False,18,17,5,0,1
SE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,39,39,0.639344262295082,1,True,False,False,False,61,58,22,39,0
SE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,42708->42708,as_transition,8,8,0.13114754098360656,2,False,True,False,False,61,58,22,8,0
SE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2603->2603,as_transition,8,8,0.13114754098360656,3,False,False,True,False,61,58,22,0,8
SE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8434->8434,as_transition,4,4,0.06557377049180328,4,False,False,False,False,61,58,22,4,0
SE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,29518->29518,as_transition,1,1,0.01639344262295082,5,False,False,False,False,61,58,22,1,0
SE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8473->8473,as_transition,1,1,0.01639344262295082,6,False,False,False,False,61,58,22,1,0
SG,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7473->7473,as_transition,6,6,0.75,1,True,False,False,False,8,8,6,0,6
SG,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2914->2914,as_transition,1,1,0.125,2,False,True,False,False,8,8,6,0,1
SG,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,58453->58453,as_transition,1,1,0.125,3,False,False,True,False,8,8,6,0,1
SL,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,329109->60171,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
SN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8346->174,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
TH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,58453->58453,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
TO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,24390->24390,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3462->-1,as_transition,15,15,0.5172413793103449,1,True,False,False,False,29,27,8,15,0
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,18041->7539,as_transition,3,3,0.10344827586206896,2,False,True,False,False,29,27,8,3,0
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4637->4637,as_transition,2,2,0.06896551724137931,3,False,False,True,False,29,27,8,0,2
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,9505->9505,as_transition,2,2,0.06896551724137931,4,False,False,False,False,29,27,8,0,2
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4780->4780,as_transition,2,2,0.06896551724137931,5,False,False,False,False,29,27,8,2,0
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7539->3491,as_transition,2,2,0.06896551724137931,6,False,False,False,False,29,27,8,2,0
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1659->1659,as_transition,2,2,0.06896551724137931,7,False,False,False,False,29,27,8,2,0
