metric,value
candidate_rows,10795.0
unique_links,2384.0
unique_units,72.0
units_with_network_layer_diversity,112.0
units_with_physical_diversity_cable,72.0
units_with_physical_diversity_corridor,72.0
units_with_network_physical_mismatch_cable,72.0
units_with_network_physical_mismatch_corridor,72.0
median_network_layer_diversity_score,4.454368957865485
median_cable_physical_candidate_diversity_score,2.6455794843491445
median_corridor_physical_candidate_diversity_score,1.1977061903849588
cable_mismatch_network_high_physical_low,12.0
cable_mismatch_network_high_physical_high,24.0
cable_mismatch_network_low_physical_low,24.0
cable_mismatch_network_low_physical_high,12.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,29.0
corridor_mismatch_network_low_physical_low,29.0
corridor_mismatch_network_low_physical_high,7.0
cable_corridor_target_quadrant_preserved,7.0
cable_corridor_target_quadrant_jaccard,0.5833333333333334
cable_corridor_target_quadrant_recall_from_cable,0.5833333333333334
cable_corridor_target_quadrant_precision_to_corridor,1.0
mean_corridor_minus_cable_physical_diversity,-1.9535642600318721
cable_corridor_quadrant_agreement_rate,0.75
spearman_cable_corridor_physical_diversity_score,0.6589086981903799
