probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
IL,Wikipedia,popular_web,distributed,resolved_entry_only,57,57,18,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.2807017543859649,0.14035087719298245,0.2807017543859649,18,0.3157894736842105,1.0,30,12,1,1,1.0,True,0.0,True,True,auditable,
IN,Wikipedia,popular_web,distributed,resolved_entry_only,229,229,64,0.2794759825327511,0.2794759825327511,0.2794759825327511,0.0,0.2794759825327511,0.0,64,0.2794759825327511,1.0,118,52,4,1,1.0,True,0.109375,True,True,auditable,
IN,Wikipedia,popular_web,distributed,all_publicly_visible,257,229,64,0.2490272373540856,0.2490272373540856,0.2490272373540856,0.0,0.2490272373540856,0.0,64,0.2490272373540856,0.8910505836575876,131,57,5,2,0.8910505836575876,True,0.109375,True,True,auditable,
SE,Wikipedia,popular_web,distributed,resolved_entry_only,355,355,80,0.22535211267605634,0.23661971830985915,0.22535211267605634,0.18309859154929578,0.05352112676056338,0.08450704225352113,80,0.22535211267605634,1.0,188,66,2,1,1.0,True,0.03508771929824561,True,True,auditable,
ES,Wikipedia,popular_web,distributed,resolved_entry_only,426,426,93,0.21830985915492956,0.21830985915492956,0.21830985915492956,0.0,0.21830985915492956,0.0,93,0.21830985915492956,1.0,220,70,3,1,1.0,True,0.0,True,True,auditable,
CA,Wikipedia,popular_web,distributed,resolved_entry_only,510,510,109,0.21372549019607842,0.21372549019607842,0.21372549019607842,0.0392156862745098,0.19019607843137254,0.03529411764705882,109,0.21372549019607842,1.0,262,83,4,1,1.0,True,0.0,True,True,auditable,
SE,Wikipedia,popular_web,distributed,all_publicly_visible,376,355,80,0.2127659574468085,0.22340425531914893,0.2127659574468085,0.17287234042553193,0.05053191489361702,0.0797872340425532,80,0.2127659574468085,0.9441489361702128,198,70,3,2,0.9441489361702128,True,0.03508771929824561,True,True,auditable,
ES,Wikipedia,popular_web,distributed,all_publicly_visible,446,427,93,0.2085201793721973,0.2085201793721973,0.2085201793721973,0.0,0.2085201793721973,0.0,93,0.2085201793721973,0.9573991031390134,228,73,4,2,0.9551569506726457,True,0.0,True,True,auditable,
CA,Wikipedia,popular_web,distributed,all_publicly_visible,526,510,109,0.20722433460076045,0.20722433460076045,0.20722433460076045,0.03802281368821293,0.1844106463878327,0.034220532319391636,109,0.20722433460076045,0.9695817490494296,269,85,5,2,0.9695817490494296,True,0.0,True,True,auditable,
ZA,Wikipedia,popular_web,distributed,resolved_entry_only,205,205,36,0.17560975609756097,0.2,0.17560975609756097,0.07317073170731707,0.11219512195121951,0.02926829268292683,36,0.17560975609756097,1.0,109,61,3,1,1.0,True,0.08771929824561403,True,True,auditable,
ZA,Wikipedia,popular_web,distributed,all_publicly_visible,211,205,36,0.17061611374407584,0.1943127962085308,0.17061611374407584,0.07109004739336493,0.10900473933649289,0.02843601895734597,36,0.17061611374407584,0.9715639810426541,112,63,3,1,0.9715639810426541,True,0.08771929824561403,True,True,auditable,
US,Wikipedia,popular_web,distributed,resolved_entry_only,3075,3075,206,0.06699186991869918,0.06731707317073171,0.06699186991869918,0.06471544715447154,0.0032520325203252032,0.015609756097560976,206,0.06699186991869918,1.0,1587,430,6,1,1.0,True,0.14285714285714285,True,True,auditable,
US,Wikipedia,popular_web,distributed,all_publicly_visible,3188,3075,206,0.06461731493099122,0.06493099121706399,0.06461731493099122,0.06242158092848181,0.003136762860727729,0.015056461731493099,206,0.06461731493099122,0.9645545796737767,1640,437,8,2,0.9645545796737767,True,0.14285714285714285,True,True,auditable,
