country_geography_type,path_scope_stratum,num_countries,num_geography_summary_eligible_countries,total_valid_traces,traces_with_inter_region_candidates,trace_weighted_candidate_dependency_proxy_rate,eligible_trace_weighted_candidate_dependency_proxy_rate,median_country_candidate_dependency_proxy_rate,country_candidate_dependency_proxy_rate_p25,country_candidate_dependency_proxy_rate_p75,high_or_very_high_country_share,num_service_country_units,num_auditable_service_country_units,auditable_corridor_concentrated_unit_share,auditable_network_broad_physical_concentrated_unit_share,interpretation_boundary
coastal_mainland_or_mixed,all_publicly_visible,94,50,19970,1989,0.09959939909864797,0.09704014748054077,0.03331053351573188,0.0,0.3916264414052025,0.32,94,13,0.6153846153846154,0.5384615384615384,"geography-stratified feasible-corridor candidate exposure; not real traffic, cable use, or national resilience"
island_or_archipelagic,all_publicly_visible,50,9,3286,1537,0.46774193548387094,0.459251837007348,0.8669001751313485,0.5865384615384616,0.9239130434782609,0.7777777777777778,50,3,0.3333333333333333,0.3333333333333333,"geography-stratified feasible-corridor candidate exposure; not real traffic, cable use, or national resilience"
landlocked,all_publicly_visible,40,14,2619,53,0.020236731576937762,0.011623080116230802,0.0,0.0,0.0,0.07142857142857142,40,0,,,"geography-stratified feasible-corridor candidate exposure; not real traffic, cable use, or national resilience"
unknown,all_publicly_visible,2,0,10,0,0.0,,,,,,2,0,,,"geography-stratified feasible-corridor candidate exposure; not real traffic, cable use, or national resilience"
coastal_mainland_or_mixed,resolved_entry_only,94,49,18958,1985,0.10470513767275029,0.101364837891784,0.03278688524590164,0.0,0.4090909090909091,0.3469387755102041,94,13,0.6153846153846154,0.5384615384615384,"geography-stratified feasible-corridor candidate exposure; not real traffic, cable use, or national resilience"
island_or_archipelagic,resolved_entry_only,50,9,3136,1537,0.4901147959183674,0.48228691687127323,0.9339622641509434,0.5865384615384616,0.9594594594594594,0.7777777777777778,50,3,0.3333333333333333,0.3333333333333333,"geography-stratified feasible-corridor candidate exposure; not real traffic, cable use, or national resilience"
landlocked,resolved_entry_only,40,14,2536,52,0.02050473186119874,0.011955593509820665,0.0,0.0,0.0,0.07142857142857142,40,0,,,"geography-stratified feasible-corridor candidate exposure; not real traffic, cable use, or national resilience"
unknown,resolved_entry_only,2,0,10,0,0.0,,,,,,2,0,,,"geography-stratified feasible-corridor candidate exposure; not real traffic, cable use, or national resilience"
