feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,1152,0.6137453383058071
3,452,0.24080980287693127
4,134,0.0713905167820991
5,70,0.03729355354288759
6,20,0.010655301012253596
7,3,0.0015982951518380393
8,12,0.006393180607352157
10,14,0.007458710708577517
11,4,0.002131060202450719
12,8,0.004262120404901438
14,2,0.0010655301012253596
21,6,0.0031965903036760787
