probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
NO,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,49409->57829,4,0.6666666666666666,1,True,False,False,61,6,45,10,0.09836065573770492,0.7377049180327869,0.16393442622950818,3,2
NO,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,48144->50304,2,0.3333333333333333,2,False,True,False,61,6,45,10,0.09836065573770492,0.7377049180327869,0.16393442622950818,3,2
PA,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,11556->23520,2,1.0,1,True,False,False,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1,1
PA,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,11556->23520,2,1.0,1,True,False,False,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1,1
PE,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3549->3356,5,0.5555555555555556,1,True,False,False,11,9,2,0,0.8181818181818182,0.18181818181818182,0.0,4,4
PE,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3356->3549,4,0.4444444444444444,2,False,True,False,11,9,2,0,0.8181818181818182,0.18181818181818182,0.0,4,4
PE,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3549->3356,5,0.5555555555555556,1,True,False,False,11,9,2,0,0.8181818181818182,0.18181818181818182,0.0,4,4
PE,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3356->3549,4,0.4444444444444444,2,False,True,False,11,9,2,0,0.8181818181818182,0.18181818181818182,0.0,4,4
PG,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,17828->6939,2,1.0,1,True,False,False,6,2,3,1,0.3333333333333333,0.5,0.16666666666666666,1,1
PG,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,17828->6939,2,1.0,1,True,False,False,6,2,3,1,0.3333333333333333,0.5,0.16666666666666666,1,1
PH,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9299->45430,10,0.45454545454545453,1,True,False,False,91,22,53,16,0.24175824175824176,0.5824175824175825,0.17582417582417584,15,9
PH,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,137818->132021,2,0.09090909090909091,2,False,True,False,91,22,53,16,0.24175824175824176,0.5824175824175825,0.17582417582417584,15,9
PH,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,64096->45430,2,0.09090909090909091,3,False,False,True,91,22,53,16,0.24175824175824176,0.5824175824175825,0.17582417582417584,15,9
PH,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,18187->6939,2,0.09090909090909091,4,False,False,False,91,22,53,16,0.24175824175824176,0.5824175824175825,0.17582417582417584,15,9
PH,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,45209->9821,2,0.09090909090909091,5,False,False,False,91,22,53,16,0.24175824175824176,0.5824175824175825,0.17582417582417584,15,9
