country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
NO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,49409->57829,4,0.6666666666666666,1,True,False,False,64,6,48,10,0.09375,0.75,0.15625,3,2
NO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,48144->50304,2,0.3333333333333333,2,False,True,False,64,6,48,10,0.09375,0.75,0.15625,3,2
PA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,11556->23520,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
PE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3356->3549,4,1.0,1,True,False,False,4,4,0,0,1.0,0.0,0.0,3,3
PG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,17828->6939,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
PH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,137818->132021,2,0.2222222222222222,1,True,False,False,86,9,57,20,0.10465116279069768,0.6627906976744186,0.23255813953488372,6,5
PH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,18187->6939,2,0.2222222222222222,2,False,True,False,86,9,57,20,0.10465116279069768,0.6627906976744186,0.23255813953488372,6,5
PH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,45209->9821,2,0.2222222222222222,3,False,False,True,86,9,57,20,0.10465116279069768,0.6627906976744186,0.23255813953488372,6,5
PH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,132400->134707,2,0.2222222222222222,4,False,False,False,86,9,57,20,0.10465116279069768,0.6627906976744186,0.23255813953488372,6,5
PH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,4775->6939,1,0.1111111111111111,5,False,False,False,86,9,57,20,0.10465116279069768,0.6627906976744186,0.23255813953488372,6,5
PR,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,5786->20080,2,0.5,1,True,False,False,6,4,1,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,2,1
PR,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,14638->23520,2,0.5,2,False,True,False,6,4,1,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,2,1
QA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8781->6939,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
SE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8434->29518,2,1.0,1,True,False,False,43,2,36,5,0.046511627906976744,0.8372093023255814,0.11627906976744186,1,0
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,4773->45430,10,0.22727272727272727,1,True,False,False,51,44,4,3,0.8627450980392157,0.0784313725490196,0.058823529411764705,28,14
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9299->45430,10,0.22727272727272727,2,False,True,False,51,44,4,3,0.8627450980392157,0.0784313725490196,0.058823529411764705,28,14
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9002->45430,9,0.20454545454545456,3,False,False,True,51,44,4,3,0.8627450980392157,0.0784313725490196,0.058823529411764705,28,14
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,132132->45430,6,0.13636363636363635,4,False,False,False,51,44,4,3,0.8627450980392157,0.0784313725490196,0.058823529411764705,28,14
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,4651->45430,3,0.06818181818181818,5,False,False,False,51,44,4,3,0.8627450980392157,0.0784313725490196,0.058823529411764705,28,14
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,38040->45430,2,0.045454545454545456,6,False,False,False,51,44,4,3,0.8627450980392157,0.0784313725490196,0.058823529411764705,28,14
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,64096->45430,2,0.045454545454545456,7,False,False,False,51,44,4,3,0.8627450980392157,0.0784313725490196,0.058823529411764705,28,14
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,4657->45430,2,0.045454545454545456,8,False,False,False,51,44,4,3,0.8627450980392157,0.0784313725490196,0.058823529411764705,28,14
SL,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,329109->60171,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
SN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8346->6453,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
TW,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,18041->7539,6,0.6,1,True,False,False,165,10,45,110,0.06060606060606061,0.2727272727272727,0.6666666666666666,5,3
TW,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,1659->7539,2,0.2,2,False,True,False,165,10,45,110,0.06060606060606061,0.2727272727272727,0.6666666666666666,5,3
TW,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,149791->7539,2,0.2,3,False,False,True,165,10,45,110,0.06060606060606061,0.2727272727272727,0.6666666666666666,5,3
US,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6360->395400,2,1.0,1,True,False,False,207,2,195,10,0.00966183574879227,0.9420289855072463,0.04830917874396135,1,1
ZA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6939->1299,4,1.0,1,True,False,False,221,4,83,134,0.01809954751131222,0.3755656108597285,0.6063348416289592,3,2
