metric,value
candidate_rows,16737.0
unique_links,3162.0
unique_units,71.0
units_with_network_layer_diversity,105.0
units_with_physical_diversity_cable,71.0
units_with_physical_diversity_corridor,71.0
units_with_network_physical_mismatch_cable,71.0
units_with_network_physical_mismatch_corridor,71.0
median_network_layer_diversity_score,4.4642702147413384
median_cable_physical_candidate_diversity_score,2.4641722623621165
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,12.0
cable_mismatch_network_high_physical_high,24.0
cable_mismatch_network_low_physical_low,24.0
cable_mismatch_network_low_physical_high,11.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,29.0
corridor_mismatch_network_low_physical_low,30.0
corridor_mismatch_network_low_physical_high,5.0
cable_corridor_target_quadrant_preserved,5.0
cable_corridor_target_quadrant_jaccard,0.35714285714285715
cable_corridor_target_quadrant_recall_from_cable,0.4166666666666667
cable_corridor_target_quadrant_precision_to_corridor,0.7142857142857143
mean_corridor_minus_cable_physical_diversity,-1.820087625364519
cable_corridor_quadrant_agreement_rate,0.704225352112676
spearman_cable_corridor_physical_diversity_score,0.5155089039244622
